# freq_modGR tau_modGR
2.411191916136537259e+02 4.942383973747618842e-03
2.547862180676624178e+02 5.825394356105219329e-03
2.526818651368796509e+02 4.048796914417836061e-03
2.555946998785969413e+02 4.756663477884416451e-03
2.563012042641761354e+02 4.814289352206918386e-03
2.551363310393566053e+02 5.230732375019138229e-03
2.575756023264712553e+02 5.490654395544646710e-03
2.498624013563248525e+02 4.197936145206314189e-03
2.609584576570470631e+02 3.321191535168122738e-03
2.504384082299099248e+02 5.571951939315669851e-03
2.433713862717776522e+02 4.941761610451530715e-03
2.622651796380951623e+02 4.885556197128090861e-03
2.639928174994248025e+02 4.033443367250594790e-03
2.590349940846231220e+02 3.972697816568652833e-03
2.430799037142942609e+02 4.931844608201187662e-03
2.443650381536913017e+02 4.690480832714104611e-03
2.692704362089450001e+02 3.751052866008461936e-03
2.534989832711353586e+02 4.974308416360936382e-03
2.556875311180369010e+02 3.785159896914249214e-03
2.637602971267828025e+02 4.534975586061529285e-03
2.522073161257644074e+02 4.892966005142752005e-03
2.502972693899632759e+02 5.399521339649009447e-03
2.415633636098133934e+02 5.266660454106088934e-03
2.533546272752389257e+02 3.728548782555671671e-03
2.610970935587689610e+02 4.415438921245531077e-03
2.460405668003725168e+02 5.586960041889342012e-03
2.515476101014550920e+02 5.517287890506207028e-03
2.588257703397737259e+02 4.364973117864078163e-03
2.495121713929169118e+02 3.969180429157288803e-03
2.682483091542372904e+02 5.114806332632820980e-03
2.527763006131939960e+02 4.878340774995768188e-03
2.607872353377107970e+02 3.855976474765788857e-03
2.430304243386469523e+02 5.151932586466326583e-03
2.451762871818083340e+02 4.958394929951993532e-03
2.524061481657632839e+02 4.257397638882872391e-03
2.570306880481037979e+02 4.564387378642018392e-03
2.595466726079330329e+02 4.287880064580022743e-03
2.514653722361632617e+02 4.928506820595213340e-03
2.654200290027381470e+02 4.361196988835476518e-03
2.513963283918712079e+02 4.677846240106391627e-03
2.626186016594500643e+02 4.012474025549410059e-03
2.583310915412755548e+02 4.924041425111555861e-03
2.454218795362805281e+02 5.172325064198974448e-03
2.542438934306541682e+02 5.688321920352128365e-03
2.538959201230846361e+02 5.378503994176078024e-03
2.497359281232084243e+02 3.924307433021006347e-03
2.635831229713894572e+02 4.053306006995855727e-03
2.589022455353786540e+02 4.078860301472073992e-03
2.546438915946175143e+02 4.648662957935616701e-03
2.538432506764035850e+02 4.524797528570532502e-03
2.531030041957396008e+02 6.663725606127759646e-03
2.552283762304591903e+02 4.419834475167573780e-03
2.566199016340134449e+02 4.402130604371675728e-03
2.519646483093636959e+02 4.124745316701716909e-03
2.472657571561840655e+02 5.548893796312241895e-03
2.699253225830139513e+02 3.957279393610867169e-03
2.602941952077644601e+02 4.776516585337082371e-03
2.728831173965795642e+02 3.555634060343206351e-03
2.650058433978558128e+02 3.394340683659251203e-03
2.462055245243253125e+02 4.195742943316400388e-03
2.837928318011917668e+02 2.867136599842441073e-03
2.525124334298203621e+02 4.953012507886685525e-03
2.478336394992900864e+02 5.318065779534158002e-03
2.370744120181317385e+02 5.152884699084397946e-03
2.567101575180770965e+02 5.043869712460221331e-03
2.497243088561498610e+02 5.225925013255651105e-03
2.636452792402656655e+02 4.763807533141619505e-03
2.623788578681178478e+02 4.208780284455751995e-03
2.598930446409286787e+02 4.995640268476151009e-03
2.530257830266622250e+02 5.553298187259645205e-03
2.494938049018346078e+02 4.678715106281009992e-03
2.601253352934392069e+02 4.223552183836760260e-03
2.496758838162731138e+02 4.557264381228168931e-03
2.607194654884614806e+02 4.077361255686083250e-03
2.503250143488382662e+02 5.421374469443411732e-03
2.539181901613532091e+02 4.206809229665289980e-03
2.449281072225860498e+02 4.192792786595194235e-03
2.589096511544875625e+02 5.099503103831399230e-03
2.419547413050021589e+02 4.700121384895065285e-03
2.419924480366049409e+02 5.740653369289288460e-03
2.571058307743294904e+02 4.251670831083191777e-03
2.489264490850139850e+02 4.048874875852370714e-03
2.534213220996784344e+02 4.669942830024264441e-03
2.458846092594849324e+02 5.122098905427419947e-03
2.442315318540133831e+02 4.605934013510480825e-03
2.633109818470593382e+02 3.615471471503648501e-03
2.403326391979412620e+02 3.604087272903049727e-03
2.654166011461161929e+02 5.210097014388781304e-03
2.488056314296523226e+02 4.471700747734602861e-03
2.437214490978195158e+02 4.514231835891659335e-03
2.439339804851955478e+02 5.338314894005781117e-03
2.534108673185122313e+02 5.219922550169296509e-03
2.474357064801014019e+02 5.518764704700716839e-03
2.523216457105414463e+02 5.803844078780544431e-03
2.427938516837947986e+02 5.969984550998981045e-03
2.656414113785314726e+02 4.903359468054096712e-03
2.428936122313346289e+02 6.183949243893607783e-03
2.521192084020802895e+02 4.898938552027251418e-03
2.565350125571059721e+02 5.191428612293442178e-03
2.490240967669687961e+02 5.602928291596974072e-03
2.514938642853203987e+02 5.382383672817975077e-03
2.526150322148486111e+02 5.326929704660132540e-03
2.518402739163171589e+02 6.799137270977575684e-03
2.521695174179156709e+02 5.793279525595411081e-03
2.469098190335026572e+02 5.535563689014108210e-03
2.448275664226350727e+02 6.140110536891738371e-03
2.698443228549986088e+02 5.521219980072746870e-03
2.440854339220155964e+02 6.087387275637627833e-03
2.427611674978820702e+02 4.921297994414737011e-03
2.558620128148709227e+02 5.303747500206737291e-03
2.473094816106977589e+02 5.412913328165777638e-03
2.702022886744287007e+02 4.129081705275226832e-03
2.500317898642063597e+02 4.492026290908627574e-03
2.617046061713817267e+02 4.454328655997509372e-03
2.736946743804362541e+02 4.914815526483280912e-03
2.566188291316984191e+02 4.543832581183505220e-03
2.608446713748542720e+02 5.226161159781748597e-03
2.353013596545116286e+02 4.832702036972519148e-03
2.517437353821517547e+02 6.142441632029320593e-03
2.577553611183417956e+02 4.239484951457074546e-03
2.586860180313455544e+02 4.856073222774801891e-03
2.541362120339930755e+02 5.147889798837932546e-03
2.593120424091254677e+02 4.087664848483291841e-03
2.478192080279099514e+02 5.200577628285350459e-03
2.507004070229254182e+02 5.509160030550941910e-03
2.434868752300789652e+02 5.446764299611567967e-03
2.606094004143503184e+02 4.491966669112019278e-03
2.600904825844369839e+02 4.879252986781513861e-03
2.546107631518231358e+02 5.241895586221553827e-03
2.839531949645827353e+02 4.324588880485698977e-03
2.563040306780129640e+02 5.550197295575452772e-03
2.525236344006462730e+02 4.904821343150627018e-03
2.481906823412997767e+02 4.369081670762161446e-03
2.551245235127329352e+02 4.900261143360051634e-03
2.549976289307363686e+02 4.864845968540901580e-03
2.657212430675654673e+02 4.693146887808836466e-03
2.514622473249274037e+02 4.442680175293091741e-03
2.513983195022669577e+02 5.218131670413246603e-03
2.626707704616190995e+02 4.265837035098713620e-03
2.598221218537559594e+02 4.556322862369505469e-03
2.549171965986454893e+02 4.721325439071353235e-03
2.611657532345363961e+02 5.328081748054554201e-03
2.673713690655456503e+02 3.546071516661323132e-03
2.454058160911763764e+02 6.037423996126261433e-03
2.666192111658018007e+02 4.940017895502525971e-03
2.606592788401559915e+02 5.005331768449820286e-03
2.514828698040654444e+02 5.127192517697092694e-03
2.578451057840943577e+02 5.527719270081777637e-03
2.390375924195071491e+02 6.261043219163230956e-03
2.527183788180103932e+02 5.599877745152617194e-03
2.585845480267205403e+02 5.057136451139144541e-03
2.413510081183661384e+02 4.235035227636216142e-03
2.525388116627134423e+02 5.341858120605644938e-03
2.486573046738254504e+02 5.563956028381185533e-03
2.566175308858867652e+02 5.237488937238908224e-03
2.615835652857420541e+02 5.164013400660871084e-03
2.522353626257539645e+02 5.334061986584874744e-03
2.587246663015039303e+02 4.389979416973052023e-03
2.503683942464232075e+02 5.328173939021673203e-03
2.520823345765025181e+02 5.099017937652983862e-03
2.657684831449889771e+02 5.026442849959439525e-03
2.531038742014782770e+02 4.698739451552036601e-03
2.449771445298894150e+02 4.347222549322900080e-03
2.531733101145414651e+02 5.180304126136607394e-03
2.627268759556685040e+02 5.296401996492765100e-03
2.669829134216681155e+02 4.231730940848526211e-03
2.641218852379329292e+02 4.387929968519600939e-03
2.567100807052710820e+02 6.086102000564861010e-03
2.547151861752503237e+02 5.227997042727536639e-03
2.531707192212532220e+02 5.387424894078596781e-03
2.453307979887281363e+02 4.788791657708505421e-03
2.494763045928572751e+02 5.169811942252361923e-03
2.523579708555026002e+02 4.827745248878511156e-03
2.500667093673657746e+02 5.203362013330788301e-03
2.651612370527614644e+02 5.217444438142865640e-03
2.711987198769122642e+02 4.161836413014824085e-03
2.579443594630415646e+02 4.836319343200473631e-03
2.555261352020965546e+02 5.297420913558689368e-03
2.630749545042202158e+02 4.791687439609194736e-03
2.524628382358341128e+02 5.473602730080855301e-03
2.580085943093745868e+02 4.207796945350450457e-03
2.512704466570169757e+02 5.908873410771265343e-03
2.498743258158390290e+02 4.872348082746648379e-03
2.681993926866951483e+02 4.675764948894267636e-03
2.499808602256164534e+02 5.203150978464309712e-03
2.554076741657844991e+02 3.798863832613425667e-03
2.432895034565443382e+02 4.570407577157432379e-03
2.436805467384795350e+02 5.465392919045815485e-03
2.511562184018206949e+02 5.246659339771013279e-03
2.444404522461777844e+02 5.156064963919825168e-03
2.495272021589464657e+02 4.567310555130761444e-03
2.554119913184463826e+02 4.316009952556322006e-03
2.479370529457602856e+02 4.507817889865989823e-03
2.581139606377072369e+02 4.643960343112658873e-03
2.499042512522400159e+02 5.820987235934401045e-03
2.440120211587431527e+02 5.594525984187101106e-03
2.564580387373376311e+02 4.829931344947324158e-03
2.578971732049404295e+02 3.742671299308462929e-03
2.449538283309181850e+02 4.979782706107899019e-03
2.485247100214970715e+02 4.991090595138070879e-03
2.521991059846610028e+02 6.389948883129893328e-03
2.712532243277682937e+02 4.657672435661974232e-03
2.586290052109716271e+02 3.972441907775300408e-03
2.631251073963062481e+02 3.642778984239157351e-03
2.790927864256030944e+02 3.856841167947119495e-03
2.589963420075989688e+02 3.616786227856597612e-03
2.481429692760217449e+02 4.578343261341048104e-03
2.582860667600013471e+02 4.302230427448487833e-03
2.727587965511174843e+02 4.818266239196337085e-03
2.613226244750762248e+02 4.918663517607623631e-03
2.528037808494168530e+02 4.045729596938540777e-03
2.597443260323358345e+02 4.610244146388798106e-03
2.710189420133750673e+02 4.202856445111211384e-03
2.654524375013052691e+02 4.558306377837662016e-03
2.604247133901894244e+02 3.844344224815014234e-03
3.004253366930271909e+02 3.502181778155582983e-03
2.576452075878640358e+02 4.697552006561321603e-03
2.573854974135880411e+02 4.930071344118816187e-03
2.514839056721845054e+02 4.351502099099840461e-03
2.584094632342324189e+02 4.070486325974506832e-03
2.609051664990708446e+02 3.980549920705165647e-03
2.654764724287899753e+02 5.138776088633537423e-03
2.547037724926206863e+02 4.870571445148024099e-03
2.539690868440545444e+02 5.433255903184834763e-03
2.651950946725455083e+02 5.550959357611247313e-03
2.537349857237292383e+02 5.559805537267751251e-03
2.590597454755439912e+02 4.714031844353638694e-03
2.484394452870734540e+02 5.327484801760920194e-03
2.531767002731843377e+02 4.850244785544521008e-03
2.510059417573769451e+02 4.670252516164115526e-03
2.503630504681774198e+02 5.782055949838419209e-03
2.657574284757342866e+02 3.769948740989348401e-03
2.602723914657343016e+02 4.802251483499188171e-03
2.594452857638378305e+02 4.146750446828602159e-03
2.519442344052445151e+02 4.990539216567478793e-03
2.596871371934983586e+02 4.561613680022198226e-03
2.472316577113112430e+02 4.556265059928494773e-03
2.537967110442455976e+02 4.319596239354638739e-03
2.552585028573634247e+02 4.182036161165972148e-03
2.543829238333259468e+02 3.803313939294627761e-03
2.746319828465952924e+02 4.794562748596770119e-03
2.556010114877212231e+02 4.910759701697020585e-03
2.499813696463650956e+02 4.177477024680876019e-03
2.637346995554872251e+02 4.383882059876940615e-03
2.510159215467768945e+02 4.876841408319471799e-03
2.420383125179394312e+02 4.756491594982278567e-03
2.413351609188379143e+02 4.959351251225030226e-03
2.510256982407145472e+02 4.272291744586658932e-03
2.488206476013305348e+02 4.860788362216867178e-03
2.523339157508414416e+02 4.969260185270851261e-03
2.564627201302374147e+02 4.818301896867301440e-03
2.503230597019675940e+02 4.357183272683945452e-03
2.432910820384826422e+02 4.724662753564557241e-03
2.485719071695939135e+02 5.106801948504688209e-03
2.542750372737571922e+02 4.380638941762613273e-03
2.637198103323952978e+02 5.028279405953316183e-03
2.494503826593555971e+02 5.353571708889349676e-03
2.575789762207134004e+02 4.445145159223186891e-03
2.503511635306031735e+02 4.282514625318666925e-03
2.547910556344844792e+02 6.067343236163361651e-03
2.648698273359825066e+02 5.159793090590049543e-03
2.506290582751072407e+02 3.982045520743914165e-03
2.443038341558244326e+02 5.384517572022266482e-03
2.552511389580959928e+02 4.494280045313609438e-03
2.490888548787362708e+02 4.433669060335799182e-03
2.611166764171011891e+02 3.720691656346247246e-03
2.505975207603214301e+02 4.722239632047091351e-03
2.433171339300028535e+02 4.037479791530899920e-03
2.547593470712200485e+02 4.092586001359319395e-03
2.405282294698876626e+02 5.140704395985769629e-03
2.680177653125066399e+02 4.626878381245375614e-03
2.481320110034550623e+02 3.884743001727683064e-03
2.406297348546083299e+02 5.199152559766547638e-03
2.608976529550181453e+02 4.114603246163132076e-03
2.635136433414650696e+02 3.379687423588806534e-03
2.682616873496377821e+02 4.208727352623928969e-03
2.545952842146343471e+02 4.563705309719024231e-03
2.524558926967818593e+02 5.151830747935154386e-03
2.654383305651932687e+02 4.491930205951212562e-03
2.641037756731928994e+02 4.112482219993517964e-03
2.533633903249792922e+02 4.794455641874894800e-03
2.609579586841131231e+02 4.715774341371780504e-03
2.532385538529533449e+02 5.589082320170057558e-03
2.817832483358720310e+02 3.775657616127241212e-03
2.380546392384350156e+02 4.760447640659437075e-03
2.546343751522843775e+02 4.794928007906000891e-03
2.515374361819545470e+02 4.655942702883316374e-03
2.597814136457453174e+02 5.622832955478526511e-03
2.513186105046182774e+02 4.898162485279874620e-03
2.634201551359490736e+02 5.289592570303333283e-03
2.562801626126223482e+02 4.123026507340189079e-03
2.525609295911431502e+02 3.757119804362465260e-03
2.543983856400346326e+02 4.564572116721158160e-03
2.494392707422960029e+02 4.566834603326252323e-03
2.725652962999338342e+02 4.611106003150291024e-03
2.667699869297699138e+02 4.730530647131058093e-03
2.638595367440865971e+02 4.746827634819087392e-03
2.629566127990476048e+02 4.632826134659553084e-03
2.555208390065364483e+02 4.094001142263175089e-03
2.619932521448346847e+02 3.796967779758712511e-03
2.801782156786755422e+02 4.184380550933336843e-03
2.676032728052116454e+02 4.350805290932675644e-03
2.676832139533930786e+02 4.222328424842095550e-03
2.483364925193419026e+02 5.624671757028157533e-03
2.723707370022368650e+02 3.755768243165481714e-03
2.480334936816077516e+02 5.783082816574220721e-03
2.488456897164205941e+02 3.862533214472506620e-03
2.483597881518884378e+02 5.198606666269590428e-03
2.498593609038442480e+02 5.857454871500929368e-03
2.713943213767019529e+02 3.680923533186927343e-03
2.467817310398248196e+02 4.547572215526201646e-03
2.496373373006123302e+02 4.628618312056935122e-03
2.637865117551609728e+02 4.600214497236929621e-03
2.652450247399765431e+02 3.772509168243146256e-03
2.557403285428430024e+02 3.630239963109779377e-03
2.405769317859497107e+02 5.352343451837327827e-03
2.540196641202148271e+02 4.625188562738006930e-03
2.478359608403196148e+02 4.728827054669978297e-03
2.613562495707175231e+02 4.257113425881010882e-03
2.477356820161047324e+02 4.545252209624014821e-03
2.402157334997943678e+02 4.782954662232349538e-03
2.610663341971312548e+02 4.663225808023222126e-03
2.534323380163104389e+02 4.687973096582941090e-03
2.437786899077826774e+02 4.485034429437764585e-03
2.695278872005495145e+02 5.014572894292245418e-03
2.386778299787552839e+02 4.364934392780050673e-03
2.474086767176593753e+02 4.290754824081512153e-03
2.541195740331303625e+02 5.307487872618716490e-03
2.441069600767751240e+02 4.903058904882329726e-03
2.434125937427812119e+02 3.767553596938294242e-03
2.508241219784957536e+02 5.130336311729422755e-03
2.495829560904656148e+02 4.477179842083245549e-03
2.571760736933547378e+02 4.665561336696036863e-03
2.459979775738072760e+02 4.927620071206510050e-03
2.590215687612159172e+02 4.656129678592899925e-03
2.456059162905707751e+02 6.691848083412124670e-03
2.510478700219796622e+02 4.048551506046162499e-03
2.537979572449692398e+02 4.905658742135367290e-03
2.536993351628691187e+02 4.923783177260031459e-03
2.565015646892757673e+02 3.767575713373094107e-03
2.643738516311461808e+02 4.196714977411068574e-03
2.569236235578822516e+02 5.082715670195519543e-03
2.603592252500549762e+02 4.152757790499673508e-03
2.509089454829038175e+02 5.282379841024809931e-03
2.501555786520046922e+02 5.345232117784689228e-03
2.591482140583540854e+02 4.130337071587786464e-03
2.500876676008044512e+02 3.744774161662754123e-03
2.538391821572122353e+02 4.891121454807695855e-03
2.426582959369485764e+02 4.396843385121146017e-03
2.557331797955476134e+02 3.857740180539784205e-03
2.575785762149714628e+02 4.670624876905641806e-03
2.480378671566554090e+02 5.207861871149038584e-03
2.596756133818119565e+02 4.085668804486042652e-03
2.604305237062860670e+02 4.314085180652798765e-03
2.651948780313840075e+02 5.083275451680548812e-03
2.607030554141081780e+02 4.258870201446478959e-03
2.490765498617392666e+02 3.421108722661602829e-03
2.414502015552704393e+02 5.545323100487958672e-03
2.585064062883690781e+02 5.230801726967764832e-03
2.959897798999852512e+02 3.474647184057441576e-03
2.619920901874168635e+02 3.682487498234027299e-03
2.517352814140757857e+02 4.270431078174221316e-03
2.591225837127412888e+02 3.903655184484225438e-03
2.405700667250102640e+02 4.615904406736903373e-03
2.540654908386261184e+02 5.345725466761254603e-03
2.581062850490068854e+02 4.596565579293086963e-03
2.547098486095060821e+02 4.289719659941345492e-03
2.383291076447069372e+02 3.917266056598748235e-03
2.343610843754228199e+02 4.716419303055495969e-03
2.640088311914181531e+02 3.910476860442134613e-03
2.430935489000153211e+02 5.127241413254548900e-03
2.525680609252625572e+02 5.081811934337572903e-03
2.548298639169954640e+02 3.951739732466974346e-03
2.593981835181824067e+02 5.664029546823043555e-03
2.549247821924711275e+02 4.224756235425602274e-03
2.432123388857439465e+02 4.546286221158577640e-03
2.570133006107260485e+02 4.979780016298229750e-03
2.462784291977361875e+02 3.765937342369109642e-03
2.479836168603556814e+02 5.204062697165007766e-03
2.545295267136368977e+02 5.394309235033429260e-03
2.515687536946388150e+02 4.600306321013616917e-03
2.533050613281195353e+02 4.858336252661079116e-03
2.474205810695481773e+02 5.006521295482476916e-03
2.506872158708480356e+02 3.978590382875435948e-03
2.465319518780991359e+02 4.991053149054667550e-03
2.369903945611835923e+02 4.345012792654836392e-03
2.404675380113427536e+02 3.917233909234557436e-03
2.501271125905770703e+02 5.043200877158921305e-03
2.659873146131396311e+02 4.176382380483422731e-03
2.612664909968822826e+02 4.149507616850299334e-03
2.544594307474240793e+02 5.429101062787650492e-03
2.649725812195999310e+02 4.032089730201790512e-03
2.517923265669858210e+02 4.591597085487649291e-03
2.712247887454731199e+02 3.947378090150691250e-03
2.488826781457879918e+02 4.326742998158522591e-03
2.598464582855343110e+02 4.438543518856312604e-03
2.557012668660702843e+02 5.155429170796857127e-03
2.628712998888778998e+02 3.486309176935551649e-03
2.598326724067675286e+02 4.463201771701738076e-03
2.458673227106032755e+02 4.699645858939486068e-03
2.572863559574543615e+02 4.096372169223053139e-03
2.502857162960729625e+02 4.748963942837519138e-03
2.650195278738742672e+02 3.291935205143720327e-03
2.640849693107368239e+02 4.739164286791318695e-03
2.497711739823966184e+02 4.641877025427133471e-03
2.526176592599089474e+02 5.116825957188872627e-03
2.573462102863734344e+02 5.674466107771672201e-03
2.600892538291676033e+02 3.649724585470852378e-03
2.514683974302248544e+02 5.058209387849052496e-03
2.535257829792651307e+02 4.694068849735755743e-03
2.383774953381428645e+02 3.699119506777717292e-03
2.480736048694490137e+02 5.122643775770404154e-03
2.607236934494090974e+02 4.145825322982740063e-03
2.448934975465490709e+02 4.356052460487869205e-03
2.503999521871215279e+02 3.843402096678217184e-03
2.575586165099289246e+02 4.776705666347426903e-03
2.454987203046163984e+02 4.616366984755248051e-03
2.564231541656650961e+02 4.870407722030276054e-03
2.567132202961149687e+02 4.088799795067234004e-03
3.072498170963418715e+02 3.328281226342749873e-03
2.562184838813257670e+02 4.269673325177907042e-03
2.648786841603967446e+02 5.281910806956491115e-03
2.691712456199275039e+02 4.041732398045785705e-03
2.555270065262568266e+02 4.981730782587584332e-03
2.557583446360298751e+02 4.729317804446880880e-03
2.602450845424223758e+02 5.659097216405116135e-03
2.499250714110262948e+02 4.878665104300622737e-03
2.450892332292128799e+02 5.399163875262973436e-03
2.542136869476410652e+02 4.379596880751360222e-03
2.574189081378193578e+02 4.687117830822033759e-03
2.616197819909032773e+02 4.859648658646516933e-03
2.655515798890533006e+02 4.575750198586714737e-03
2.628375188256720776e+02 4.187759547607896628e-03
2.653791941452433321e+02 3.981910569642411329e-03
2.510976799802253367e+02 4.460097058744311171e-03
2.492432029527329007e+02 4.334823591927145989e-03
2.553009965595649078e+02 4.477898835890637211e-03
2.478037919630681643e+02 4.459897578394181501e-03
2.497551976614271041e+02 5.019598056176109019e-03
2.506880584741035989e+02 5.185734742159672263e-03
2.454557220937149680e+02 5.606019660465630383e-03
2.552448137400790813e+02 3.761541991688537034e-03
2.431402118521068871e+02 5.317118328011275277e-03
2.458837734048678101e+02 4.700243459328348576e-03
2.491275385281469710e+02 5.147438684761212850e-03
2.506417730445079997e+02 5.377668836315433083e-03
2.723946046905172693e+02 4.424793108175840463e-03
2.616615625782631014e+02 4.661995297688090699e-03
2.683082003460881424e+02 3.913437154335822413e-03
2.530107008141069116e+02 5.235542412370639519e-03
2.506422719177454326e+02 5.065797365774830051e-03
2.746432825144998446e+02 3.774824998174435009e-03
2.673066405881829724e+02 4.073528123769628966e-03
2.654643088283945076e+02 4.155504815351571818e-03
2.544691330826441629e+02 5.889277758270139440e-03
2.689314845742952116e+02 4.316437963915890907e-03
2.589790720402811530e+02 4.601602407780045617e-03
2.581598347449941002e+02 3.912118118523142708e-03
2.619079519691231894e+02 3.727040750993114524e-03
2.494156789913567138e+02 4.942247018969599635e-03
2.495446624883647928e+02 5.130239373904933904e-03
2.483567870205611712e+02 4.905646946529306808e-03
2.440478877559947648e+02 5.531928514169122402e-03
2.447153749348817939e+02 5.135690984860235078e-03
2.460390535955064024e+02 5.451544837985215081e-03
2.441614437934543389e+02 4.547006926104254186e-03
2.533318160540946451e+02 5.136492389895385390e-03
2.527541998257538864e+02 4.270990593480749470e-03
2.454175571830954539e+02 5.850651848596341749e-03
2.475941202211204484e+02 5.328628669096543979e-03
2.658475893254600919e+02 3.400497193265935528e-03
2.453317023089693976e+02 3.591458662100220633e-03
2.587562955263342133e+02 4.436034164065397710e-03
2.479011977532081801e+02 4.255135620955380164e-03
2.457081662703367897e+02 4.505014442891212313e-03
2.526214944476768665e+02 5.234143060422082397e-03
2.592513337459364493e+02 4.469077846049970652e-03
2.532797946745588433e+02 3.547230012798270431e-03
2.591262843870206325e+02 4.202848209606639684e-03
2.577028992148878501e+02 3.998029178180539933e-03
2.487621875984325186e+02 5.634633248262260578e-03
2.498071582015375327e+02 5.744445044599898360e-03
2.466991904360572505e+02 5.135831410330140082e-03
2.547529404476941011e+02 3.762323412377795682e-03
2.475242977612901996e+02 4.621547335661948912e-03
2.616530504147752367e+02 4.500844810648867850e-03
2.550649944535122984e+02 4.891983770700198027e-03
2.488021196521359286e+02 4.861966564322673344e-03
2.431346555056169620e+02 3.330707634069801030e-03
2.530724418175925905e+02 5.012855481096021616e-03
2.494065919150739887e+02 5.120037810774384288e-03
2.548756432055017740e+02 5.019112750882938345e-03
2.514029854499417524e+02 5.234478849237484029e-03
2.521169535245035718e+02 4.642264056096065405e-03
2.524892944058961177e+02 6.419745509840689771e-03
2.429929658696938475e+02 5.078259363832886460e-03
2.568210489216775159e+02 4.169405961488283248e-03
2.582249817806080046e+02 4.303047215795471718e-03
2.455913861304082104e+02 4.824377861796151287e-03
2.574466639586970587e+02 4.646605256080964426e-03
2.440226125624515987e+02 4.292831491804907987e-03
2.512928287223703023e+02 4.510570507299287851e-03
2.738837321388935493e+02 4.201808516188644364e-03
2.611336356719909304e+02 4.831466762965791646e-03
2.592605850400709642e+02 5.225441880846449540e-03
2.646416768406453457e+02 3.780988517771897723e-03
2.572898290810110780e+02 4.708478233012823762e-03
2.602549784042590204e+02 4.551823432490726372e-03
2.589636971080330454e+02 4.086859139430115868e-03
2.475116565072175092e+02 4.606901382614304007e-03
2.591735746715680193e+02 3.949409145821041953e-03
2.560037855448198911e+02 4.897519576631452140e-03
2.536686299790779628e+02 4.368042448092459770e-03
2.453011511374382678e+02 4.998837312183553212e-03
2.565229166914016901e+02 4.538581612268597666e-03
2.416074862461772454e+02 5.362772730680745101e-03
2.498310846125384046e+02 4.882574150039932503e-03
2.470126957431014603e+02 4.864923077229522420e-03
2.441297937589945661e+02 4.435677484303987388e-03
2.579630820533561177e+02 3.434478379479948690e-03
2.492021323021845092e+02 5.308470151079532594e-03
