nlocaltemps	dist	chain	redshift	v1_end_time	f_ref	psdscaleflag	h1l1_relative_phase	l1_optimal_snr	mtotal	logll1	signalmodelflag	alpha	logl	l_peak	nulllogl	samplerate	h1_cplx_snr_arg	m1_source	sky_frame	temperature	deltalogl	h1_cplx_snr_amp	l1v1_delay	mc_source	l1h1_delay	segmentstart	m1	ra	l1_end_time	m2	e_rad	lal_pnorder	v1h1_delay	m2_source	v1l1_delay	psi	domega220	loglh1	af	costheta_jn	a2z	time	segmentlength	a1	mf_source	a2	nifo	ntemps	optimal_snr	phase	dtau220	a1z	cycle	mf	theta_jn	randomseed	h1l1_delay	mc	l1_cplx_snr_amp	h1v1_delay	logprior	logpost	flow	l1_cplx_snr_arg	t0	chi_eff	q	mtotal_source	h1_end_time	eta	lal_approximant	h1_optimal_snr	azimuth	lal_amporder	dec	matched_filter_snr	
1.000000000000000000e+00	5.047107301523453771e+02	0.000000000000000000e+00	1.059887384028587731e-01	1.126259462422421217e+09	2.000000000000000000e+01	0.000000000000000000e+00	1.086743259252376248e-02	1.548326818546307848e+01	7.292456109675542564e+01	1.107456094524368382e+02	1.000000000000000000e+00	7.994368469372030717e-01	-1.718774781707255897e+04	3.500938259924381679e+00	-1.752479825523077307e+04	4.096000000000000000e+03	3.260228162696662824e-02	3.815663187545495560e+01	1.000000000000000000e+00	1.000000000000000000e+00	3.370504381582140923e+02	2.132960965903374628e+01	4.916429519653320312e-03	2.827167609467613119e+01	6.979942321777343750e-03	1.126259460390000105e+09	4.220080514963673579e+01	1.665002965890038267e+00	1.126259462417504787e+09	3.072375594711869340e+01	3.051824842640783686e+00	8.000000000000000000e+00	2.063512802124023438e-03	2.777944736714624341e+01	-4.916429519653320312e-03	1.222317830679101602e+00	-3.401397158776650262e-03	2.263048287057736161e+02	6.723440176256993972e-01	-9.973097959890874220e-01	3.491112439939156320e-02	1.126259462410997868e+09	4.000000000000000000e+00	1.697251217231957390e-02	6.288425439996041177e+01	3.491112439939156320e-02	2.000000000000000000e+00	8.000000000000000000e+00	2.746261929755426223e+01	3.071270371202044380e+00	1.796852986206519676e-01	-1.697251217231957390e-02	6.000000000000000000e+03	6.954927718921663882e+01	3.068224934849495433e+00	5.502423860000000000e+08	-6.979942321777343750e-03	3.126815537648511523e+01	1.489775188940853923e+01	-2.063512802124023438e-03	2.394353262477301669e+01	3.609939707829871054e+02	2.000000000000000000e+01	2.173484903444298372e-02	1.126259462424484730e+09	4.886518087228716722e-03	7.280371982993589786e-01	6.593607924260119546e+01	1.126259462424484730e+09	2.438076877499800454e-01	8.500000000000000000e+01	2.268179589405183449e+01	5.562161305264416100e+00	3.000000000000000000e+00	-1.273078533803008172e+00	2.600437197055520500e+01
1.000000000000000000e+00	5.012777247379779055e+02	0.000000000000000000e+00	1.053146844570199969e-01	1.126259462422637939e+09	2.000000000000000000e+01	0.000000000000000000e+00	6.416893961039527028e-02	1.535466857022117360e+01	7.444591859236933828e+01	1.097255838402506924e+02	1.000000000000000000e+00	7.905023835671194377e-01	-1.718838408275407710e+04	3.458752611468050464e+00	-1.752479825523077307e+04	4.096000000000000000e+03	3.548448699318214328e-02	4.009092551296565432e+01	1.000000000000000000e+00	1.000000000000000000e+00	3.364141724766959669e+02	2.133119827586954287e+01	5.031824111938476562e-03	2.867405057236705801e+01	7.044076919555664062e-03	1.126259460390000105e+09	4.431308868295352710e+01	1.653782332071379368e+00	1.126259462417606115e+09	3.013282990941581829e+01	3.104598333483821193e+00	8.000000000000000000e+00	2.012252807617187500e-03	2.726176566107814736e+01	-5.031824111938476562e-03	1.522006094337608140e+00	7.105358725175356382e-02	2.266885886364416365e+02	6.771047437792174772e-01	-9.495972134843982948e-01	5.705081651380579377e-02	1.126259462411291599e+09	4.000000000000000000e+00	2.478015343288044250e-02	6.424809284055997693e+01	5.705081651380579377e-02	2.000000000000000000e+00	8.000000000000000000e+00	2.711805396476652774e+01	2.981674005430022589e+00	3.593133752767206923e-01	2.478015343288044250e-02	8.000000000000000000e+03	7.101436046502888644e+01	2.822744796094265318e+00	5.502423860000000000e+08	-7.044076919555664062e-03	3.169384916050053036e+01	1.482950779786868090e+01	-2.012252807617187500e-03	2.375149227500555327e+01	3.601656647517015131e+02	2.000000000000000000e+01	-2.868445261721323108e-02	1.126259462424650192e+09	3.784207032594782277e-02	6.799984114176043093e-01	6.735269117404379813e+01	1.126259462424650192e+09	2.409295980058450137e-01	8.500000000000000000e+01	2.235224829708750960e+01	5.555457821853519107e+00	3.000000000000000000e+00	-1.263510286289848406e+00	2.596456953767638254e+01
1.000000000000000000e+00	4.582542272785779573e+02	0.000000000000000000e+00	9.682092211357556932e-02	1.126259462421569824e+09	2.000000000000000000e+01	0.000000000000000000e+00	-9.610146572833455636e-02	1.611299562647316819e+01	7.241554306763069349e+01	1.084067889315192588e+02	1.000000000000000000e+00	8.174081795838797904e-01	-1.719203216071369388e+04	3.518056907895874996e+00	-1.752479825523077307e+04	4.096000000000000000e+03	-6.250355661829956264e-03	3.790110173077803069e+01	1.000000000000000000e+00	1.000000000000000000e+00	3.327660945170791820e+02	2.133132502230760252e+01	3.732919692993164062e-03	2.835827505040353103e+01	6.850004196166992188e-03	1.126259460390000105e+09	4.157072134947240016e+01	1.822542397907167988e+00	1.126259462417836905e+09	3.084482171815828977e+01	3.064933921349478396e+00	8.000000000000000000e+00	3.117084503173828125e-03	2.812202165028022094e+01	-3.732919692993164062e-03	7.862052377814732207e-01	3.680650629292682441e-02	2.243593055855562852e+02	6.725772335309424532e-01	-9.343692961108164274e-01	2.565665926996875401e-02	1.126259462410412788e+09	4.000000000000000000e+00	1.969666961784944867e-02	6.295818945970877678e+01	2.565665926996875401e-02	2.000000000000000000e+00	8.000000000000000000e+00	2.877346770775094242e+01	3.269703861871493533e+00	-2.678164521148937438e-02	-1.969666961784944867e-02	1.000000000000000000e+04	6.905385941779897507e+01	2.777281144548964242e+00	5.502423860000000000e+08	-6.850004196166992188e-03	3.110394939033400519e+01	1.484428841001860100e+01	-3.117084503173828125e-03	2.367965841774675795e+01	3.564457529348259186e+02	2.000000000000000000e+01	8.985111006650456367e-02	1.126259462424686909e+09	-3.787817085746606610e-04	7.419842792444051316e-01	6.602312338105825518e+01	1.126259462424686909e+09	2.445154136031402192e-01	8.500000000000000000e+01	2.383870415669112930e+01	5.625226363914623384e+00	3.000000000000000000e+00	-1.293386281423744011e+00	2.595176653943401845e+01
1.000000000000000000e+00	3.907309064350737913e+02	0.000000000000000000e+00	8.331104744443570964e-02	1.126259462422148705e+09	2.000000000000000000e+01	0.000000000000000000e+00	9.542726134971157848e-02	1.445830043598106229e+01	7.281073836368551611e+01	1.083776328640233260e+02	1.000000000000000000e+00	7.888067653148084224e-01	-1.718807318726575613e+04	3.304789667056378555e+00	-1.752479825523077307e+04	4.096000000000000000e+03	-2.555329030567141113e-02	4.084631452752262959e+01	1.000000000000000000e+00	1.000000000000000000e+00	3.367250679650169332e+02	2.137788302511561511e+01	4.484415054321289062e-03	2.843280757595594821e+01	7.055997848510742188e-03	1.126259460390000105e+09	4.424926377505541097e+01	1.723468960955812701e+00	1.126259462417664289e+09	2.856147458863010158e+01	2.970437053908455027e+00	8.000000000000000000e+00	2.571582794189453125e-03	2.636498045137405910e+01	-4.484415054321289062e-03	1.495241026365706327e+00	6.885805540393065416e-02	2.283474351009899692e+02	6.576542397529189232e-01	-7.330941007827052047e-01	1.555530015695905620e-02	1.126259462411056042e+09	4.000000000000000000e+00	1.550961866295574518e-02	6.424085792498823366e+01	1.555530015695905620e-02	2.000000000000000000e+00	8.000000000000000000e+00	2.568336044397559448e+01	3.032936957829619473e+00	1.412527960565495011e-01	-1.550961866295574518e-02	1.200000000000000000e+04	6.959283108744817525e+01	2.393656490442328533e+00	5.502423860000000000e+08	-7.055997848510742188e-03	3.080157455689492352e+01	1.483344761936462142e+01	-2.571582794189453125e-03	2.352322269669824095e+01	3.602482906617151457e+02	2.000000000000000000e+01	-1.209805516553829757e-01	1.126259462424720287e+09	-3.323780290584890055e-03	6.454677920478991693e-01	6.721129497889668869e+01	1.126259462424720287e+09	2.383942655969533697e-01	8.500000000000000000e+01	2.122716543012938573e+01	5.585023957411364037e+00	3.000000000000000000e+00	-1.264334271109611496e+00	2.595231146899622843e+01
1.000000000000000000e+00	5.020184557015021483e+02	0.000000000000000000e+00	1.054601689620760646e-01	1.126259462421766520e+09	2.000000000000000000e+01	0.000000000000000000e+00	-1.866034825242079975e-02	1.530170729168187194e+01	7.105325279629893487e+01	1.112261790579086664e+02	1.000000000000000000e+00	8.029867587530307160e-01	-1.718600043871998787e+04	3.555461291651402345e+00	-1.752479825523077307e+04	4.096000000000000000e+03	8.748514771155475184e-03	3.571442739251070719e+01	1.000000000000000000e+00	1.000000000000000000e+00	3.387978165107851964e+02	2.136663579216947184e+01	3.924369812011718750e-03	2.776876344878374780e+01	6.954431533813476562e-03	1.126259460390000105e+09	3.948087693970867917e+01	1.795233337581620958e+00	1.126259462417842150e+09	3.157237585659025214e+01	2.994920065997376923e+00	8.000000000000000000e+00	3.030061721801757812e-03	2.856039208199945278e+01	-3.924369812011718750e-03	7.917580418813535692e-01	3.444780860874865902e-02	2.275716374528765300e+02	6.693427203938148162e-01	-9.714075929027401468e-01	3.153163900090211191e-05	1.126259462410722017e+09	4.000000000000000000e+00	5.144189020285490355e-02	6.127989940851279016e+01	3.153163900090211191e-05	2.000000000000000000e+00	8.000000000000000000e+00	2.723481622058787011e+01	3.488588506274784784e+00	1.810075999276386516e-01	-5.144189020285490355e-02	1.400000000000000000e+04	6.774248795411357094e+01	2.901885707824776173e+00	5.502423860000000000e+08	-6.954431533813476562e-03	3.069726193396040159e+01	1.492533338057043579e+01	-3.030061721801757812e-03	2.462311730335932225e+01	3.634209338141445187e+02	2.000000000000000000e+01	2.740886302357613269e-02	1.126259462424796581e+09	-2.856977447192604255e-02	7.996878059422157792e-01	6.427481947451016708e+01	1.126259462424796581e+09	2.469028628585431540e-01	8.500000000000000000e+01	2.252982397909238088e+01	5.615242238175119027e+00	3.000000000000000000e+00	-1.279188789245848223e+00	2.605728704197508705e+01
1.000000000000000000e+00	5.681756304349966058e+02	0.000000000000000000e+00	1.183546716608188942e-01	1.126259462420033932e+09	2.000000000000000000e+01	0.000000000000000000e+00	1.729629007631960924e-01	1.394521099261455177e+01	7.223209525109818685e+01	1.093691284570886637e+02	1.000000000000000000e+00	7.705026242689446692e-01	-1.718882152153917195e+04	3.340306416263362443e+00	-1.752479825523077307e+04	4.096000000000000000e+03	7.867719168093467719e-02	3.893288109176199896e+01	1.000000000000000000e+00	1.000000000000000000e+00	3.359767336916011118e+02	2.135825752318460502e+01	2.442836761474609375e-03	2.739444026783002428e+01	7.184982299804687500e-03	1.126259460390000105e+09	4.354076945018719158e+01	1.968065542024331149e+00	1.126259462417591095e+09	2.869132580091099172e+01	2.878158128608390598e+00	8.000000000000000000e+00	4.742145538330078125e-03	2.565494339850414107e+01	-2.442836761474609375e-03	1.175046682450873181e+00	5.603364324852263406e-02	2.266076052345106291e+02	6.602331593404113796e-01	-9.918470852333370891e-01	1.156209458389511821e-02	1.126259462410145998e+09	4.000000000000000000e+00	1.373229865311722912e-02	6.170966636165775299e+01	1.156209458389511821e-02	2.000000000000000000e+00	8.000000000000000000e+00	2.513803488745314141e+01	2.897370430406353670e+00	2.642888396939466755e-01	-1.373229865311722912e-02	1.600000000000000000e+04	6.901329366219043493e+01	3.013811455817777318e+00	5.502423860000000000e+08	-7.184982299804687500e-03	3.063670025106096162e+01	1.488147644683810888e+01	-4.742145538330078125e-03	2.471716967416612576e+01	3.606939033657672553e+02	2.000000000000000000e+01	-9.428570908226127645e-02	1.126259462424776077e+09	-3.685107376488059878e-03	6.589531182662101694e-01	6.458782449026614358e+01	1.126259462424776077e+09	2.394342592922779900e-01	8.500000000000000000e+01	2.091535054390132586e+01	5.696271190289770026e+00	3.000000000000000000e+00	-1.239707115681220717e+00	2.593429182558410417e+01
1.000000000000000000e+00	5.777654400564891830e+02	0.000000000000000000e+00	1.202078841348640931e-01	1.126259462419888496e+09	2.000000000000000000e+01	0.000000000000000000e+00	2.684325358420025509e-02	1.357863317310928686e+01	7.520264435439472095e+01	1.107612285221493948e+02	1.000000000000000000e+00	7.935685728496779667e-01	-1.718856273261110255e+04	3.441918721575490725e+00	-1.752479825523077307e+04	4.096000000000000000e+03	1.989835437858852515e-02	4.110101273309606285e+01	1.000000000000000000e+00	1.000000000000000000e+00	3.362355226196705189e+02	2.125670171335852388e+01	1.823902130126953125e-03	2.832869600337937754e+01	7.021903991699218750e-03	1.126259460390000105e+09	4.604167850954164720e+01	2.055074338582915772e+00	1.126259462418064594e+09	2.916096584485306664e+01	3.108637958219361508e+00	8.000000000000000000e+00	5.198001861572265625e-03	2.603174487329560449e+01	-1.823902130126953125e-03	2.000812563131912636e-01	8.148593636885814728e-02	2.254742940975193051e+02	6.906166064493960421e-01	-9.082854910270360405e-01	3.648433498868443314e-02	1.126259462409989595e+09	4.000000000000000000e+00	1.169063035899260417e-01	6.402411964817230228e+01	3.648433498868443314e-02	2.000000000000000000e+00	8.000000000000000000e+00	2.450925480332871942e+01	3.513081216978620969e+00	2.615555868361869596e-01	1.169063035899260417e-01	1.800000000000000000e+04	7.172032360467648004e+01	2.709963724398987583e+00	5.502423860000000000e+08	-7.021903991699218750e-03	3.173402861024539590e+01	1.494670043612565280e+01	-5.198001861572265625e-03	2.385390962528730441e+01	3.600894322449578340e+02	2.000000000000000000e+01	-6.944899205611595495e-03	1.126259462425086498e+09	8.572146561395127540e-02	6.333601812281836052e-01	6.713275760639166378e+01	1.126259462425086498e+09	2.374033419567957715e-01	8.500000000000000000e+01	2.040402637139611031e+01	5.727459516359384217e+00	3.000000000000000000e+00	-1.255597398933620878e+00	2.597334407900508779e+01
1.000000000000000000e+00	5.198866239930406437e+02	0.000000000000000000e+00	1.089620328019700463e-01	1.126259462422564268e+09	2.000000000000000000e+01	0.000000000000000000e+00	1.229172510990306222e-02	1.481188461074007456e+01	7.198325375909809054e+01	1.112239503991786478e+02	1.000000000000000000e+00	7.962206026003616488e-01	-1.718613189974731722e+04	3.557755486355863361e+00	-1.752479825523077307e+04	4.096000000000000000e+03	-1.768764024702930773e-02	3.694652518334767421e+01	1.000000000000000000e+00	1.000000000000000000e+00	3.386663554834558454e+02	2.133692589790096150e+01	4.523277282714843750e-03	2.792803120414298590e+01	7.003307342529296875e-03	1.126259460390000105e+09	4.097229367229441266e+01	1.717041851345836090e+00	1.126259462418040991e+09	3.101096008680367078e+01	3.043901581069249573e+00	8.000000000000000000e+00	2.480030059814453125e-03	2.796395112684743367e+01	-4.523277282714843750e-03	8.551579520556131797e-01	1.500985567933462578e-02	2.274424050842753786e+02	6.771184413782429523e-01	-9.968498929612210624e-01	3.066050903722885787e-02	1.126259462411351442e+09	4.000000000000000000e+00	9.074891269200083960e-03	6.186657472912585831e+01	3.066050903722885787e-02	2.000000000000000000e+00	8.000000000000000000e+00	2.637291279348366047e+01	3.484742157069338653e+00	1.375501453302355528e-02	-9.074891269200083960e-03	2.000000000000000000e+04	6.860768247410639731e+01	3.062197914571751500e+00	5.502423860000000000e+08	-7.003307342529296875e-03	3.097112625630325766e+01	1.492174922434182349e+01	-2.480030059814453125e-03	2.416371937306599449e+01	3.628300748565218328e+02	2.000000000000000000e+01	-2.997936535693216872e-02	1.126259462425044298e+09	8.043436238746030920e-03	7.568763500241475484e-01	6.491047631019510789e+01	1.126259462425044298e+09	2.452124642549320943e-01	8.500000000000000000e+01	2.182060043836593266e+01	5.583156299815291490e+00	3.000000000000000000e+00	-1.271618555896423697e+00	2.602790315445865943e+01
1.000000000000000000e+00	4.997753540780563526e+02	0.000000000000000000e+00	1.050195316972083875e-01	1.126259462419242859e+09	2.000000000000000000e+01	0.000000000000000000e+00	-9.655396110650915631e-02	1.441013912659336960e+01	7.440567164359555363e+01	1.058143967830710608e+02	1.000000000000000000e+00	8.111375759759061888e-01	-1.719240738366621372e+04	3.570634347519720642e+00	-1.752479825523077307e+04	4.096000000000000000e+03	2.943634636103692470e-02	3.930914089479680484e+01	1.000000000000000000e+00	1.000000000000000000e+00	3.323908715645593475e+02	2.130959920704502863e+01	9.713172912597656250e-04	2.881226413132380415e+01	6.895780563354492188e-03	1.126259460390000105e+09	4.343736846298794774e+01	2.169452979049217412e+00	1.126259462418271542e+09	3.096830318060759879e+01	3.198276759687061599e+00	8.000000000000000000e+00	5.924463272094726562e-03	2.802511837328624367e+01	-9.713172912597656250e-04	1.242765506542775178e+00	8.585015691844825880e-02	2.265764747814846487e+02	6.873847020154578713e-01	-8.692958922711175873e-01	1.884733935437689079e-01	1.126259462409551144e+09	4.000000000000000000e+00	7.338159848839589244e-03	6.413598250839599757e+01	1.884733935437689079e-01	2.000000000000000000e+00	8.000000000000000000e+00	2.633593849872823256e+01	3.410988404635071802e+00	-2.269402685079849880e-01	-7.338159848839589244e-03	2.200000000000000000e+04	7.087151335636809790e+01	2.624572381002109100e+00	5.502423860000000000e+08	-6.895780563354492188e-03	3.183811461753170846e+01	1.466435514222705194e+01	-5.924463272094726562e-03	2.344248569975603758e+01	3.558333572643153957e+02	2.000000000000000000e+01	1.259903074675459422e-01	1.126259462425167322e+09	7.416035253304528729e-02	7.129415127206664149e-01	6.733425926808305917e+01	1.126259462425167322e+09	2.429790525339212415e-01	8.500000000000000000e+01	2.204380971976075543e+01	5.770273034311730775e+00	3.000000000000000000e+00	-1.259463316597603244e+00	2.578915879157664293e+01
1.000000000000000000e+00	4.409370818133645571e+02	0.000000000000000000e+00	9.337744614013107625e-02	1.126259462428390265e+09	2.000000000000000000e+01	0.000000000000000000e+00	-5.359171783891447660e-03	1.551159648610400765e+01	7.528931481364750766e+01	1.119535531132896722e+02	1.000000000000000000e+00	7.998468792273196737e-01	-1.718691326334950645e+04	3.871625437622898680e+00	-1.752479825523077307e+04	4.096000000000000000e+03	-3.127199755102132855e-02	3.726360041403344070e+01	1.000000000000000000e+00	1.000000000000000000e+00	3.378849918812666147e+02	2.126757389471693216e+01	1.057481765747070312e-02	2.985079151633039984e+01	6.977081298828125000e-03	1.126259460390000105e+09	4.074318025468221549e+01	1.096441904693244540e+00	1.126259462417815447e+09	3.454613455896529928e+01	3.513346297112320826e+00	8.000000000000000000e+00	-3.597736358642578125e-03	3.159579949350605688e+01	-1.057481765747070312e-02	1.980295948813877827e+00	2.363599349776284581e-02	2.259314387679751235e+02	7.186822888697256273e-01	-9.340479444760275696e-01	1.005525666798859907e-01	1.126259462415200949e+09	4.000000000000000000e+00	1.272345495438778340e-01	6.534605361042716254e+01	1.005525666798859907e-01	2.000000000000000000e+00	8.000000000000000000e+00	2.636998786595401612e+01	6.092761539054107445e+00	2.675675065460996760e-01	1.272345495438778340e-01	2.400000000000000000e+04	7.144790121190494858e+01	2.776380310742200042e+00	5.502423860000000000e+08	-6.977081298828125000e-03	3.263818219338682525e+01	1.497823681189299094e+01	3.597736358642578125e-03	2.236468480486305310e+01	3.602496766861296464e+02	2.000000000000000000e+01	-2.591282576713005784e-02	1.126259462424792528e+09	1.149916519613860683e-01	8.478998041640416483e-01	6.885939990753948337e+01	1.126259462424792528e+09	2.483062757085106320e-01	8.500000000000000000e+01	2.132525813449506202e+01	5.245110731729621278e+00	3.000000000000000000e+00	-1.154833185052958733e+00	2.599823425749838890e+01
