# freq_modGR tau_modGR
2.544992302461224654e+02 3.967629891004661839e-03
2.540915490289617935e+02 3.526876877496665143e-03
2.544548718044783584e+02 5.168083221422909920e-03
2.422733602805345186e+02 5.111155066250206748e-03
2.302405343416376979e+02 4.908931235139931890e-03
2.355491582942057107e+02 3.976151062500743114e-03
2.409592345389335151e+02 3.471578278754021505e-03
2.491700603255509066e+02 3.141705078725613113e-03
2.474399022994911661e+02 5.061684472889527338e-03
2.428811094863660287e+02 3.408389001694410187e-03
2.539219117040370577e+02 4.433614513810669143e-03
2.395615012814236593e+02 3.894745595160148833e-03
2.550975467128280343e+02 4.161784955480785607e-03
2.462386766581734321e+02 5.179111303675593483e-03
2.520003400982344033e+02 4.475798840329246742e-03
2.570079747373334271e+02 4.391352017249534542e-03
2.316820330806407640e+02 3.873914611480001619e-03
2.355115445423009817e+02 3.854573993290708826e-03
2.486517133301023534e+02 4.638680326950010528e-03
2.462825468690250830e+02 3.739715279098317600e-03
2.507903027955604216e+02 4.255937627936697866e-03
2.643107019815240051e+02 3.385614130403491722e-03
2.655246489015779048e+02 3.268912443656867440e-03
2.565787483499865971e+02 4.580175772363624144e-03
2.401717788664514046e+02 4.517783866339445537e-03
2.506668027207665261e+02 4.018745609337312161e-03
2.536413831331809945e+02 4.313301268127730376e-03
2.525906828698448976e+02 4.407507598164738839e-03
2.425213152915685839e+02 4.020741220572280478e-03
2.565467332054823828e+02 4.164858895567378518e-03
2.679299855370133514e+02 3.615225889191117994e-03
2.493754025541572048e+02 4.822961365322774377e-03
2.460528457904776758e+02 4.741877867017207406e-03
2.419250947794850504e+02 4.373086748619696602e-03
2.405277793554899119e+02 4.672082517906490408e-03
2.533373798151160656e+02 4.483545138144136993e-03
2.426743853890524178e+02 3.359678501737049967e-03
2.570024013683648150e+02 4.305345693229691018e-03
2.495987449210348075e+02 4.847997443751477994e-03
2.509025203785997746e+02 4.067439466140177623e-03
2.556750151328738809e+02 3.279658687333351225e-03
2.499216989897214205e+02 5.255570527967449480e-03
2.402604953385725821e+02 3.194454210557243733e-03
2.404504962489268962e+02 5.432302414323500819e-03
2.600671311925898408e+02 3.961843978995290699e-03
2.564572945885316244e+02 5.062162706727911694e-03
2.683693278428422673e+02 3.617211558744133377e-03
2.776838902302896486e+02 3.707722302669083474e-03
2.477295462252429843e+02 4.648959848879932744e-03
2.598766554884094262e+02 5.488478161248055466e-03
2.440507425296935651e+02 4.096169727691560854e-03
2.450667090124957497e+02 4.877833282359804630e-03
2.388557459013224786e+02 4.236395823953027773e-03
2.348602316506169245e+02 3.486514676102570650e-03
2.515614388563061254e+02 4.794424180003580872e-03
2.504791603180807158e+02 4.101393043089611792e-03
2.774514096301155064e+02 3.290972149293683400e-03
2.546427204966725526e+02 4.748429014453907013e-03
2.577134064141329759e+02 4.903556167149405315e-03
2.426472191509144238e+02 4.908075910828358507e-03
2.562163415033129468e+02 3.923945803523885313e-03
2.682378360020671835e+02 3.293675143075814465e-03
2.505973011300904432e+02 4.937047334206449804e-03
2.518113119769622585e+02 5.270756056353379133e-03
2.650057924177856989e+02 3.926098073774524945e-03
2.616929167904967244e+02 4.412277862942155272e-03
2.547565861873644337e+02 4.156260749014478208e-03
2.520047562405480335e+02 3.720821951585670528e-03
2.446802068203384124e+02 4.335310768653584564e-03
2.549071684759920515e+02 3.750806312268321636e-03
2.522693523727378988e+02 3.792360538149899905e-03
2.520650810677133222e+02 4.993919313067221762e-03
2.628970265986490062e+02 4.039396277920377469e-03
2.552295628584048757e+02 3.726659096787082043e-03
2.548941025605125219e+02 4.350914291335577187e-03
2.506085648041323566e+02 4.920637430349494162e-03
2.393196342066452189e+02 4.599356768152810214e-03
2.383793128984476084e+02 4.250309598331137965e-03
2.277592776767237410e+02 4.348327120557999269e-03
2.607829652166925030e+02 4.510527957866030703e-03
2.582574245053056643e+02 4.612624232385909191e-03
2.556031222833231027e+02 3.554622805522854919e-03
2.606587618742670998e+02 3.918208976234513648e-03
2.434231498755233645e+02 4.652332940781425327e-03
2.580135534894835132e+02 4.364189523272716045e-03
2.722438515334484350e+02 4.145114076413300257e-03
2.543393215630720476e+02 4.515978207509169923e-03
2.423984448733833403e+02 3.845758706532705073e-03
2.740436442452721622e+02 3.275567045633639724e-03
2.627132616710338198e+02 2.934574700459128323e-03
2.430694063775999041e+02 3.677638463191839052e-03
2.469792893700051764e+02 4.017898218805562860e-03
2.616398348475735816e+02 4.322607236072531327e-03
2.548865355532336707e+02 3.443307232400514249e-03
2.412728927892104025e+02 4.221205296527644896e-03
2.575991023629364918e+02 4.534278335409388724e-03
2.313917400255163273e+02 4.607781991682956269e-03
2.290528140720324757e+02 4.178043073003276375e-03
2.645768733726654887e+02 3.655296014451042512e-03
2.417496288961692699e+02 4.227755706205297941e-03
2.456358878157049617e+02 4.901101974295905828e-03
2.501749650356290431e+02 4.106401153344521951e-03
2.420191834814151264e+02 4.344520654683249605e-03
2.584026803960239818e+02 4.731702401748851157e-03
2.412386108821383459e+02 4.234376845824326142e-03
2.610965379010971787e+02 4.371794832428704987e-03
2.544607887650703617e+02 3.474794793305284544e-03
2.448535070614266260e+02 3.175954503271257497e-03
2.494063786178989801e+02 4.338793114407657470e-03
2.602577390272483058e+02 4.559172822715115876e-03
2.628098235271134513e+02 3.734899422795854174e-03
2.499492299036804468e+02 5.656470192973630379e-03
2.491223582539642223e+02 4.651290705580508715e-03
2.607297070658725602e+02 3.788777053280637831e-03
2.389194152685427355e+02 3.588503243528331881e-03
2.342870442764986194e+02 3.510381479644142898e-03
2.531261586986536543e+02 4.671768800987335241e-03
2.586800128764896272e+02 4.455253883185157984e-03
2.444562570566613999e+02 4.415933569537805296e-03
2.481221950574033315e+02 4.266654469207676985e-03
2.414264207250807317e+02 4.653283387061796922e-03
2.560841718393031670e+02 4.065096783456061125e-03
2.476391402312366949e+02 4.300997331088244474e-03
2.469812389819307157e+02 4.235871158482672726e-03
2.404894880624105724e+02 3.248729832474490497e-03
2.531707019472027298e+02 3.378333460210614266e-03
2.682110220076834253e+02 4.808547959152790867e-03
2.529860155918962903e+02 4.817722880745484333e-03
2.322318935757586189e+02 3.228001297941139949e-03
2.344035240030989371e+02 5.046966967136497575e-03
2.647566677001128710e+02 4.609484930881885961e-03
2.712957590491977840e+02 4.023415501767325410e-03
2.494648289287717660e+02 3.443244074625601524e-03
2.581106092842459248e+02 3.375385405935227116e-03
2.447778674848034655e+02 4.907854018772001004e-03
2.483944471029102772e+02 4.576982296267686004e-03
2.557604544537752247e+02 4.577704968631196233e-03
2.570353377512931274e+02 3.757077411804894598e-03
2.645721048544538121e+02 4.173236352932284399e-03
2.496843990847649764e+02 3.322629393827061794e-03
2.631742168704121809e+02 3.878156893215548191e-03
2.415840637290044697e+02 4.031050337367986409e-03
2.559862003801031847e+02 4.029613079153336261e-03
2.512471921891155091e+02 2.911476915610529750e-03
2.488888424311023755e+02 5.651461840621815197e-03
2.392941738980263722e+02 3.560875305212154399e-03
2.221064392871579400e+02 4.243295895421985917e-03
2.465901239845780424e+02 3.337614436985494263e-03
2.451475307053979407e+02 3.477436498181577570e-03
2.587873086780158474e+02 4.397920815711025243e-03
2.400693241540238603e+02 4.257893851468014593e-03
2.594654543081319957e+02 3.948178305975593057e-03
2.610550038940790500e+02 4.849244739085621647e-03
2.576430242956124061e+02 4.794790578553915876e-03
2.524805912955777387e+02 4.795583495869109626e-03
2.558854791857676787e+02 4.450353933644939780e-03
2.382273413115938467e+02 4.173794761507453217e-03
2.429184528532073841e+02 4.203429364952120453e-03
2.488843338278250599e+02 3.920345346642969096e-03
2.512953871719057304e+02 5.231780278371020790e-03
2.467894968874144865e+02 4.200201506769328519e-03
2.484210174581413071e+02 4.071560356958035289e-03
2.434793157115928466e+02 4.798319920171695459e-03
2.437884953115638780e+02 4.271315078414635383e-03
2.430245241300777082e+02 3.222519498922384821e-03
2.571874796320194037e+02 3.490365981213129892e-03
2.570068233507176956e+02 4.988384274694235461e-03
2.461112351776207845e+02 5.512926221961754122e-03
2.460134966926827360e+02 3.993770953151992882e-03
2.575755619602451247e+02 3.645904121847912561e-03
2.594448149857597059e+02 4.066445521907922390e-03
2.624456104912718502e+02 3.023171896920362478e-03
2.707532208296801741e+02 3.930360783097559818e-03
2.402616510617350514e+02 4.779958546284988549e-03
2.469495170707956788e+02 4.776628660801144483e-03
2.683397327295089667e+02 4.098421277988410598e-03
2.480976541846130203e+02 4.226574236690439253e-03
2.475089048833519314e+02 3.343851932289212958e-03
2.354489669600701802e+02 4.087370520734451979e-03
2.771896815723646341e+02 3.801650734216769148e-03
2.457513555619952399e+02 4.094929490130224357e-03
2.478811224114410834e+02 4.474524820561567168e-03
2.457515760241607268e+02 4.407753686673222988e-03
2.558453762414960693e+02 4.412916684864273166e-03
2.520577910594070943e+02 5.219799976152112060e-03
2.260835253921729020e+02 3.250900832517167327e-03
2.553184187895109574e+02 3.919171234077954008e-03
2.266516916514233344e+02 4.997856309460448759e-03
2.406825016327720448e+02 5.630510860090787682e-03
2.384761146950647230e+02 3.823789640022872988e-03
2.571393368391393324e+02 3.766648542813675130e-03
2.699428327515375372e+02 4.105239255793089077e-03
2.811675937475030764e+02 4.119029300718673667e-03
2.416694919535268014e+02 5.139078940894929726e-03
2.557676551137008687e+02 4.400045555250353506e-03
2.585287183364795851e+02 4.282504970562848318e-03
2.536051421497359115e+02 4.772371744614860301e-03
2.351042721044490804e+02 4.238040719834038073e-03
2.480554374007784304e+02 4.334493147673983311e-03
2.489141897385147786e+02 5.061895430735991429e-03
2.381335439738808759e+02 3.676334459108811150e-03
2.518033046049221184e+02 3.807239369959741684e-03
2.394920744878197638e+02 4.065449440643290578e-03
2.644583937737293127e+02 4.695351146556031585e-03
2.666115203558931626e+02 3.623691566900810214e-03
2.506008992296576992e+02 3.333353837146964000e-03
2.446377899978973289e+02 5.352788447452324141e-03
2.389409956785076758e+02 4.351104306126465059e-03
2.401063875892727140e+02 3.692203265742241818e-03
2.522283212886643753e+02 3.969798671701735109e-03
2.412635240955728761e+02 6.059665314211891418e-03
2.515343428003766348e+02 3.582587751663277986e-03
2.792922712059929040e+02 3.482837502791887464e-03
2.557149117791123842e+02 4.819228461842687411e-03
2.473073541263481729e+02 3.845154021814973372e-03
2.573483901449436075e+02 3.642376411506974016e-03
2.402250620510498891e+02 4.860457665882799740e-03
2.610206929397313047e+02 3.043950095882232837e-03
