# azimuth cos_altitude psi t0 logA0 f0 tau0 phi0 logL logPrior
1.847807866644699093e+00 8.044631983488894633e-01 1.893971074420915945e+00 5.206259508299443742e-03 -2.067719480923732789e+01 2.202428620918980471e+02 5.158601493501530078e-03 2.012225317657667212e+00 7.703637280042232014e+05 0.000000000000000000e+00
1.548622051359637375e+00 8.381289596472381032e-01 1.417482552140659990e+00 5.358396651620389237e-03 -2.054970645885577341e+01 2.194128803769834235e+02 5.307282955552102693e-03 8.815693495208365427e-01 7.703667809217396425e+05 0.000000000000000000e+00
2.044286968657490267e+00 8.151380467778995831e-01 2.849607909663241512e-01 5.082727984043398407e-03 -2.048297150851011850e+01 2.814905778249636228e+02 3.575312411640757700e-03 4.388779348484229459e+00 7.703669744647461921e+05 0.000000000000000000e+00
2.041204984689043211e+00 8.328850238571577913e-01 1.741278225129993196e+00 5.119333027727645917e-03 -2.055369942862856902e+01 2.401989023314994540e+02 3.051765372390774153e-03 1.568558032446486283e+00 7.703679393922975287e+05 0.000000000000000000e+00
1.978323478372032262e+00 8.284668820589680127e-01 1.056659558669139187e+00 5.301521264640298402e-03 -2.022153507397083416e+01 2.575115742672061856e+02 2.577441626467173036e-03 2.406791961394968427e-01 7.703680848957565613e+05 0.000000000000000000e+00
1.862079137082972791e+00 8.289386139044668811e-01 3.074251565358168570e+00 5.243334013924010918e-03 -2.046398598287994375e+01 2.468928146677409075e+02 8.346768240692907515e-03 3.968679871952384364e+00 7.703682960003359476e+05 0.000000000000000000e+00
1.872946170942033195e+00 7.796349733962297801e-01 1.858043167489832115e+00 5.051454806660430653e-03 -2.068850186697726912e+01 2.398333709872898112e+02 1.010889507362280892e-02 1.988542807926027001e+00 7.703688727688791696e+05 0.000000000000000000e+00
1.592332043361117000e+00 8.257418560385574313e-01 2.659821435754750940e+00 5.249706155711725448e-03 -2.030837854971098011e+01 2.472478380712627200e+02 4.931915478141246471e-03 3.128802066830619122e+00 7.703688898699629353e+05 0.000000000000000000e+00
1.829068748281400092e+00 9.631974706992869617e-01 4.003819601152924790e-03 5.156517783041148634e-03 -2.033414232251277198e+01 2.341144945376748296e+02 6.924465797019471562e-03 3.162173438246993484e+00 7.703689466265466763e+05 0.000000000000000000e+00
1.909957911618347381e+00 8.431982513456218742e-01 2.110553925008968434e+00 5.080800175318209502e-03 -2.062979621508150174e+01 2.513218437368424816e+02 9.215989914896596802e-03 1.507859104317886612e+00 7.703690202655789908e+05 0.000000000000000000e+00
1.876054066070179882e+00 9.605820506827991156e-01 2.355814388363568934e+00 6.406640472141173284e-03 -2.020274282868059146e+01 2.192490044783182555e+02 3.451301056516594724e-03 3.395933184984298858e+00 7.703692857119947439e+05 0.000000000000000000e+00
1.630338966413246160e+00 8.624485687979857040e-01 1.596322514131053083e+00 5.552750243530635288e-03 -2.041835351910492591e+01 2.514522382354069805e+02 3.891483368466331499e-03 1.099590886723691874e+00 7.703694035088907694e+05 0.000000000000000000e+00
2.014408443631523493e+00 8.512875891605863332e-01 5.834944961948891340e-01 5.573772596569790370e-03 -2.049510303066944417e+01 2.429028468443151780e+02 5.615252451054561153e-03 5.835619189864058143e+00 7.703694754932881333e+05 0.000000000000000000e+00
1.508999260923877372e+00 7.891208307061411409e-01 1.270215997640003369e+00 5.112741863342397212e-03 -2.045218538915205997e+01 2.586101540363841309e+02 4.782144541234019733e-03 5.955410169162888678e+00 7.703700097490684129e+05 0.000000000000000000e+00
1.637741852702550016e+00 8.234869237656585739e-01 3.036174746470658548e+00 5.247549299864763019e-03 -2.052887216050394059e+01 2.416371221375070775e+02 8.135166588080134167e-03 3.664866010563320398e+00 7.703701862513300730e+05 0.000000000000000000e+00
1.861309246754628166e+00 8.290216954103096780e-01 2.717757582154257001e+00 5.338845833262460816e-03 -2.060761477314244061e+01 2.427799966214343783e+02 4.640476077773044231e-03 3.536921601332799980e+00 7.703703238406870514e+05 0.000000000000000000e+00
