# azimuth cos_altitude psi t0 logA0 f0 tau0 phi0 logL logPrior
3.348243298992463313e+00 6.495462807724166066e-01 3.097107730216043908e+00 2.356867446298337859e-02 -2.108874645340429765e+01 6.804809815633778669e+01 6.909197597211946297e-03 1.908091975405913132e+00 7.905678731122373138e+05 0.000000000000000000e+00
2.923122924912773257e+00 6.525879181515994443e-01 2.542321635101326915e+00 2.182429909011707886e-02 -2.117572493670613198e+01 5.318021816096284482e+01 1.392384439844786444e-02 5.343559889972637755e-01 7.905680004551948514e+05 0.000000000000000000e+00
2.942923477899613172e+00 8.396501512059357797e-01 2.699117772576160146e+00 2.550070507353100618e-02 -2.105425170006741808e+01 6.702282855387545624e+01 1.701796178297721590e-02 8.488113154781602443e-01 7.905694660598305054e+05 0.000000000000000000e+00
3.160191878768168650e+00 3.586306043551254485e-01 1.070664289001985736e+00 1.873836640726639705e-02 -2.147686048866269104e+01 5.677382422057776523e+01 1.854197241691396547e-02 4.089607660403806300e+00 7.905698572768724989e+05 0.000000000000000000e+00
2.300668795258582033e+00 9.411898477795686002e-01 2.434056897461216007e+00 2.574422866259554535e-02 -2.073684595037153500e+01 6.249674483031238026e+01 1.290783134063601054e-02 2.200480874775188056e-01 7.905698694339632057e+05 0.000000000000000000e+00
3.029280642975392013e+00 5.200229050143944098e-01 2.742449663606567167e+00 1.988834652994831212e-02 -2.113121868714625506e+01 5.319774635088563031e+01 1.114000427639618915e-02 9.762313544709341206e-01 7.905699691538771149e+05 0.000000000000000000e+00
8.226445023376999233e-02 3.876134094906041327e-01 2.749486847898562569e+00 1.968873082398320956e-02 -2.110239633310951746e+01 5.992255949499249823e+01 1.265813948274570507e-02 5.403319071111897465e+00 7.905699771226634039e+05 0.000000000000000000e+00
3.758940266368176353e+00 5.499884925088009968e-01 1.827757159281254928e+00 2.158398236924641278e-02 -2.115197321422624910e+01 6.208190251452327146e+01 1.922403506673754647e-02 5.839499812793762068e+00 7.905703045301899547e+05 0.000000000000000000e+00
2.914740045798734691e+00 5.692018690162131689e-01 6.835557739380668796e-01 2.092952074372214991e-02 -2.131453314008468070e+01 5.635160796430344732e+01 1.536694386279380438e-02 3.060562305862746246e+00 7.905703710384787992e+05 0.000000000000000000e+00
3.087253521303226389e+00 1.877860227648334712e-01 2.775225400320123104e+00 1.852820557627977635e-02 -2.149361255180827968e+01 6.537470263014282068e+01 1.750570066456788587e-02 1.324149205247002081e+00 7.905705029024365358e+05 0.000000000000000000e+00
3.135837007618717642e+00 3.333736683327647721e-01 2.848985773956481893e+00 1.966715163442821213e-02 -2.145110237299678602e+01 6.586323939641802383e+01 1.737561213141988747e-02 1.401845819377523394e+00 7.905707243278736714e+05 0.000000000000000000e+00
3.292449176945487554e+00 7.151710572520344478e-01 7.469060230024299196e-01 2.256319180969975496e-02 -2.129909292676668287e+01 5.814468623107168810e+01 1.896065686205743867e-02 3.462585981335475793e+00 7.905710360210475046e+05 0.000000000000000000e+00
2.414058439152773516e+00 9.147780026216607574e-01 1.374597002956946312e+00 2.558405853461565363e-02 -2.081902844741485126e+01 6.247301633824447720e+01 1.735353204304210251e-02 4.290713427642488753e+00 7.905712206857628189e+05 0.000000000000000000e+00
3.340761210025733785e+00 3.433578075982620104e-01 7.541495951125651298e-02 1.928254749219322772e-02 -2.147040076523239094e+01 6.321010728195269479e+01 1.786424130017794445e-02 2.284593101903609202e+00 7.905712759449477307e+05 0.000000000000000000e+00
3.204491513428132432e+00 7.734849958851031104e-01 1.475226629684005530e+00 2.308959286717281179e-02 -2.126665176960030124e+01 6.280446168094761816e+01 1.927197144887095662e-02 4.851320625229352146e+00 7.905714179874189431e+05 0.000000000000000000e+00
2.980587174551745377e+00 3.389236351491677901e-01 2.798920045312046412e+00 1.937773801755669767e-02 -2.125591598304450613e+01 5.998175609699910638e+01 1.091242370382038834e-02 1.096811127781997186e+00 7.905714653984496836e+05 0.000000000000000000e+00
3.496244111685441691e+00 4.687149780104722940e-01 1.743642733309077153e+00 2.067437519025367570e-02 -2.127840217200931860e+01 6.006509474837744023e+01 1.924267220143330293e-02 5.584043689004453803e+00 7.905718669341143686e+05 0.000000000000000000e+00
2.528313820205305706e+00 9.088507908223948384e-01 2.595290362518205551e+00 2.618401999994050128e-02 -2.094574927050943458e+01 6.266786322400854203e+01 1.077890784718376488e-02 6.383704675784337423e-01 7.905719852679545293e+05 0.000000000000000000e+00
3.047940312446078881e+00 7.882636367274724609e-01 1.741471673415865506e+00 2.372746554472207267e-02 -2.128088614311135629e+01 5.993289433866917904e+01 1.937660627944064878e-02 5.260328910572670935e+00 7.905720176160642877e+05 0.000000000000000000e+00
2.707185195833160751e+00 9.115993509046318444e-01 2.234964758839602661e-01 2.497243296602049203e-02 -2.101438055829844842e+01 5.557473314230971084e+01 1.516008994569313303e-02 2.159082002000224154e+00 7.905720360849908320e+05 0.000000000000000000e+00
3.537066847843253203e+00 6.339385272370601232e-01 1.809539386990959953e+00 2.249529538157978015e-02 -2.126663179866482878e+01 6.151159236749339243e+01 1.760160512651224099e-02 5.709656461579984743e+00 7.905721208185509313e+05 0.000000000000000000e+00
3.369362267662741939e+00 4.343264391864984919e-01 1.088458230752955558e-01 2.013535150269670296e-02 -2.136465359910026862e+01 5.860762914476251950e+01 1.620016826892181627e-02 2.331476816071955227e+00 7.905723225241478067e+05 0.000000000000000000e+00
3.440141302214013930e+00 6.904203686796209771e-01 1.167742599754350685e+00 2.316664437979587890e-02 -2.120743901647055196e+01 6.262570747374709157e+01 1.511639588150434296e-02 4.336303413501852333e+00 7.905723750429684296e+05 0.000000000000000000e+00
3.069358253878884391e+00 3.424707827982268471e-01 1.357421453295254210e+00 1.875049430760454897e-02 -2.120889268529239402e+01 6.330522736941912143e+01 1.966524197753413347e-02 4.577431800765523917e+00 7.905723929738507140e+05 0.000000000000000000e+00
3.199982032104224050e+00 3.342850889805227821e-01 1.623773714693437897e+00 2.037993720045202378e-02 -2.122401775694522641e+01 6.465404817991064590e+01 1.595830424692457061e-02 5.292655909926405222e+00 7.905723931244097184e+05 0.000000000000000000e+00
2.992636365356517114e+00 4.651523218910142976e-01 1.519416886756748575e+00 2.049156143857682952e-02 -2.113712520237863046e+01 6.366861843311595237e+01 1.585815887735737839e-02 4.827141354427894271e+00 7.905725827157616150e+05 0.000000000000000000e+00
2.110839842132618216e+00 9.386119288044514342e-01 5.975375869395855855e-01 2.523929841419762787e-02 -2.068372409642348586e+01 6.619326364851576727e+01 1.053144689148699173e-02 2.820405057026438733e+00 7.905726445230653044e+05 0.000000000000000000e+00
3.098432349136317043e+00 6.074936013452515438e-01 3.452545914562104024e-01 2.054304997437704158e-02 -2.128609878769371377e+01 5.497635661541374219e+01 1.998957806784014760e-02 2.474148830746675021e+00 7.905727623391264351e+05 0.000000000000000000e+00
2.410784742858957941e+00 9.034827794678825796e-01 2.647190971723904163e+00 2.581794661242851549e-02 -2.081054878282133203e+01 6.790533443988699958e+01 1.145062243524253356e-02 6.366564385674362558e-01 7.905728001896752976e+05 0.000000000000000000e+00
3.322396054987795111e+00 3.001756221349228815e-01 1.967078343744394608e+00 1.945491679796304205e-02 -2.132365710442380902e+01 6.451210723110851575e+01 1.558026776293898637e-02 6.147144083443461859e+00 7.905728473459151573e+05 0.000000000000000000e+00
3.187211365592379941e+00 3.547687635636334602e-01 3.043345329985747139e-01 1.991145871781814167e-02 -2.135926612917808853e+01 6.415729919238329160e+01 1.520388468979571965e-02 2.601728082803945519e+00 7.905728732461585896e+05 0.000000000000000000e+00
2.339089668613159922e+00 9.238875806184168038e-01 7.920323181273725144e-01 2.374997727350670884e-02 -2.080585800245071226e+01 5.322409198490994697e+01 1.517141870109623043e-02 3.116454025571336217e+00 7.905728869516719133e+05 0.000000000000000000e+00
2.744971355932949386e+00 8.943485746873975906e-01 4.007652157545145699e-01 2.549706072440549587e-02 -2.113145581356403468e+01 6.287695411681217195e+01 1.836808819790069006e-02 2.614767923913637659e+00 7.905729205778108444e+05 0.000000000000000000e+00
3.308463379329821930e+00 8.525062438273425247e-01 2.092250124277601486e-01 2.415522065031884547e-02 -2.112795226386737468e+01 6.028977913792704157e+01 1.713490814093643691e-02 2.352614602230978846e+00 7.905729414838897064e+05 0.000000000000000000e+00
3.251024493743242871e+00 4.661725989325247177e-01 1.233767641196102494e+00 1.914993144644366527e-02 -2.118641754384843168e+01 5.610222948104059526e+01 1.889339955550414785e-02 4.381655313124785955e+00 7.905730301104839891e+05 0.000000000000000000e+00
2.759480381414298744e+00 8.378066143557476586e-01 1.298053861755851912e+00 2.422052489827901736e-02 -2.093665937453965142e+01 5.780121359814304327e+01 1.526018229185070393e-02 4.328055569347217357e+00 7.905730455021131784e+05 0.000000000000000000e+00
