# freq_GR tau_GR
2.713374025033648422e+02 3.783406783926077706e-03
2.694121130074123016e+02 3.790530484489672194e-03
2.716974086863898492e+02 3.784101266922482165e-03
2.711403287343208603e+02 3.789921093402974072e-03
2.719908416905561808e+02 3.778492344893345702e-03
2.665490955819670944e+02 4.134282465321293190e-03
2.693316634571598343e+02 3.794205382884042761e-03
2.703904093896191512e+02 3.981076603280107352e-03
2.638194820824913336e+02 3.990060059756062212e-03
2.710473137715295024e+02 3.972744203296085970e-03
2.710761332916428046e+02 3.970956538532682302e-03
2.663700041868557378e+02 3.893610761402790683e-03
2.723296716911341377e+02 4.003808211208066854e-03
2.716677760120539915e+02 3.998323971134235336e-03
2.699759079159053954e+02 3.750098454750178806e-03
2.703515148748120964e+02 3.736534039908889250e-03
2.677252802997434173e+02 3.747078789307689561e-03
2.688198389491020635e+02 3.778491850266636753e-03
2.694713281084765413e+02 3.763719902362567052e-03
2.707857877818264569e+02 3.794161389347884984e-03
2.681087134660746187e+02 3.801950773594341484e-03
2.683702597741178693e+02 3.779349621662008319e-03
2.699717212977006966e+02 3.943843440604236951e-03
2.694855996886665821e+02 3.992133507338074469e-03
2.710312370326826112e+02 3.972775758449387067e-03
2.710134556222359947e+02 3.974115932267159590e-03
2.587525611456564434e+02 4.076434996035151366e-03
2.594210592824460377e+02 4.050184973823663277e-03
2.703371633324767345e+02 3.955954186165028946e-03
2.705406749395904171e+02 3.900018163703590935e-03
2.585423837775029483e+02 4.089262099724973697e-03
2.701383030263962723e+02 3.885920522737078622e-03
2.699687189033200525e+02 3.897790755497115758e-03
2.719975964627627718e+02 3.815895996752497518e-03
2.702418286262894753e+02 3.909361649158442364e-03
2.701734192273883082e+02 3.915840418770668609e-03
2.711992515219142774e+02 3.726321458113069501e-03
2.713042977283211599e+02 3.723363294103802443e-03
2.728555027105679756e+02 3.710213122949178582e-03
2.518411031403225309e+02 4.188559598032839081e-03
2.606710346525029536e+02 3.972829251670401303e-03
2.599699279462134882e+02 3.731880925952080121e-03
2.590364026888963735e+02 3.981312207265020123e-03
2.639545146897405630e+02 3.979310661319621252e-03
2.601784238302142853e+02 3.980413108951469728e-03
2.603008645923897006e+02 3.979846603174112644e-03
2.634368235380101169e+02 3.972029839399778169e-03
2.584918149722693670e+02 3.962930470396576650e-03
2.532216848129523612e+02 3.861946518430474980e-03
2.707850139137498786e+02 3.775330402964531019e-03
2.708708532576991956e+02 3.774767402296562435e-03
2.696746984235253990e+02 3.788376970116290234e-03
2.715355029532325375e+02 3.778985758391553013e-03
2.714524287481696661e+02 3.782502728195857433e-03
2.691839140455678034e+02 3.860630701057932070e-03
2.706845904000757628e+02 3.776736916722611172e-03
2.658656638797777418e+02 3.979802762568292532e-03
2.667169863093430990e+02 3.993261365045324383e-03
2.694253913933835634e+02 3.991665366645859650e-03
2.674044621203368024e+02 4.015374019829176869e-03
2.684628497425335354e+02 3.831342714515201513e-03
2.699048197359323922e+02 3.928403378932586280e-03
2.672827980712751241e+02 3.808838558881805138e-03
2.685138317593056740e+02 3.965074905756368201e-03
2.689002741834254380e+02 3.970574842986633775e-03
2.653593418559115094e+02 3.835833767284841430e-03
2.644592508180553523e+02 3.967444658970193175e-03
2.651308684288269433e+02 3.968909674239917001e-03
2.650279552094882547e+02 3.943119341754454735e-03
2.630814362558302832e+02 3.946557466733074775e-03
2.625032818676909869e+02 3.935747915772380527e-03
2.717417542288094410e+02 3.545608232700271818e-03
2.668858830688945432e+02 3.671875688350629760e-03
2.699035707167610667e+02 3.786446607005461689e-03
2.701926868080854547e+02 3.778638550209359806e-03
2.708756139102608245e+02 3.774668435960199051e-03
2.700255331546431989e+02 3.771547033773486272e-03
2.698047909813915908e+02 3.798951579412330245e-03
2.690065174561067352e+02 3.828788316668188269e-03
2.688808944755837160e+02 3.823311003873144237e-03
2.668683325629830279e+02 3.832683648500004488e-03
2.652818159993577183e+02 3.852376975705470649e-03
2.673471030476304122e+02 3.893527660342573082e-03
2.693499707279821678e+02 3.880815821895268556e-03
2.684255627743863215e+02 3.889828894530539174e-03
2.696499393352005427e+02 3.877512703381512382e-03
2.633698915490355716e+02 3.938249032521898806e-03
2.636016808322961538e+02 3.941238919418817675e-03
2.634755182977637560e+02 3.949291679581142835e-03
2.602615183729409978e+02 4.121310008273041531e-03
2.569774321758632709e+02 4.163263243337720146e-03
2.585510798809669382e+02 4.119279913340133555e-03
2.550654897395627643e+02 4.113861659524711660e-03
2.651292139601934537e+02 4.036446165640173410e-03
2.685230877074950513e+02 3.757939158080781175e-03
2.690530801009691686e+02 3.745049205214484589e-03
2.660682864394807439e+02 4.047986833316269233e-03
2.654356886005130036e+02 4.070936884812215509e-03
2.682793049310993183e+02 3.698289500495219491e-03
2.687001588779384633e+02 3.683916061449739581e-03
2.653932653124562080e+02 3.983220447213071252e-03
