# freq_modGR tau_modGR
2.545828190590357281e+02 3.671942065375031865e-03
2.511928506045103404e+02 6.388423989274894486e-03
2.661670641989673527e+02 5.824754223052953407e-03
2.492579047717528056e+02 6.089297625886065657e-03
2.421832448443461487e+02 4.898808999698434433e-03
2.587726661424665622e+02 2.584331235072370031e-03
2.850238444781753628e+02 2.542301805657297235e-03
2.646160982074519552e+02 2.356466738328995801e-03
2.544189740141738980e+02 5.077016407634063824e-03
2.503917450714055235e+02 2.809804736659516754e-03
2.488451203794159312e+02 4.383775280726225597e-03
1.835240847074828139e+02 2.491982780343075972e-03
2.273023276053141331e+02 2.344074645565852755e-03
2.649230638734380250e+02 3.279826294988308962e-03
2.420863877611980399e+02 5.391517492098040452e-03
2.503994691357197837e+02 2.736393301104712069e-03
2.364809463876058828e+02 3.473360315552892832e-03
2.435078107720492255e+02 3.917966175064916713e-03
1.986367792032670820e+02 2.535871106310707505e-03
2.538404579907476375e+02 4.673329420186848361e-03
2.342932209186213868e+02 2.367088101827100836e-03
2.434151659898557796e+02 1.689445376515933805e-03
2.307404848911426427e+02 1.839791272074555286e-03
2.657209124790157375e+02 2.711047563843280942e-03
2.235854515954119393e+02 3.339060093821513090e-03
2.439658110219147602e+02 3.687056675230916940e-03
2.564791083697100476e+02 4.658023768528159365e-03
2.559245199118119558e+02 4.156562627439917661e-03
2.367835816120711456e+02 1.573599455274109823e-03
1.930989248833988938e+02 1.805933386232929337e-03
2.075000012086265144e+02 2.500353784120645882e-03
2.487424665915999071e+02 3.347360193521356671e-03
2.705431078655223587e+02 2.623470646724132289e-03
2.461334140012263845e+02 2.004562329549619461e-03
2.599176829139196911e+02 3.205509818787118451e-03
2.688508440457964639e+02 2.724287530546106763e-03
2.128928496529523500e+02 2.358660257631345347e-03
2.549849784260649983e+02 4.567604204839045313e-03
2.786800659016190025e+02 2.472964075793721364e-03
2.261238753836026376e+02 3.057898506507819060e-03
2.551185715289198583e+02 2.126896861008135530e-03
2.529589780735483941e+02 7.337862175392579484e-03
2.159262657869599593e+02 3.025371936986335965e-03
2.260462168904568045e+02 3.606531948381062110e-03
2.426731260595690287e+02 3.797038317228258394e-03
2.646690701566241160e+02 4.790581302993845644e-03
2.679593279517390556e+02 4.409164425314299543e-03
2.257456604085307958e+02 3.069657599448440046e-03
2.594594694118720781e+02 3.448147582724693950e-03
2.557689866822724980e+02 4.674868252381865832e-03
2.591068911422505039e+02 5.203712194152359215e-03
2.963123568723225958e+02 1.764253368333126501e-03
1.592648651451120543e+02 3.915310243842852998e-03
2.459836147221794249e+02 4.690699199632843673e-03
2.491714049308691301e+02 5.744907683136302352e-03
2.333152041964645491e+02 4.343143635992199707e-03
2.470358890553958418e+02 4.120173279603924626e-03
2.327943257373502206e+02 3.395058500817253397e-03
2.570392040079962612e+02 3.278906275160390835e-03
2.482888057638452040e+02 4.716192893222048536e-03
2.446913064906593434e+02 4.310950456363460068e-03
2.494411343076075980e+02 2.577290559292520593e-03
2.444541973906957821e+02 5.300079515548026220e-03
2.581112796188359084e+02 5.122570298764748953e-03
2.696937291816051925e+02 3.167981415223352065e-03
1.990645941773841798e+02 4.791395412825351537e-03
2.495155909217415626e+02 4.000958534193741097e-03
2.403473526698711282e+02 2.117753750619714818e-03
2.402655622852190902e+02 2.949074626147044249e-03
2.436412624094684816e+02 3.661494958934784390e-03
2.374421156832116537e+02 5.355945972575382186e-03
2.021077320849385330e+02 3.770493454617229907e-03
2.682708430286004386e+02 3.942921369474510288e-03
2.369552568091753244e+02 5.356052242832951699e-03
2.411711430903562814e+02 4.383765872582050423e-03
2.508433307255588147e+02 4.062916959146989013e-03
2.495761622671305702e+02 4.428832474637623209e-03
