# omega_GR tau_GR
1.704863180697415373e+03 3.783406783926077706e-03
1.692766230024379411e+03 3.790530484489672194e-03
1.707125166257091905e+03 3.784101266922482165e-03
1.703624929687327949e+03 3.789921093402974072e-03
1.708968860197511276e+03 3.778492344893345702e-03
1.674777361002622911e+03 4.134282465321293190e-03
1.692260750592263776e+03 3.794205382884042761e-03
1.698913047479128409e+03 3.981076603280107352e-03
1.657626693568437531e+03 3.990060059756062212e-03
1.703040499439769292e+03 3.972744203296085970e-03
1.703221577825105214e+03 3.970956538532682302e-03
1.673652096580216721e+03 3.893610761402790683e-03
1.711097791878774615e+03 4.003808211208066854e-03
1.706938978673092379e+03 3.998323971134235336e-03
1.696308657909685735e+03 3.750098454750178806e-03
1.698668666035162687e+03 3.736534039908889250e-03
1.682167547539884026e+03 3.747078789307689561e-03
1.689044862363380844e+03 3.778491850266636753e-03
1.693138289477349417e+03 3.763719902362567052e-03
1.701397283183821628e+03 3.794161389347884984e-03
1.684576729176861818e+03 3.801950773594341484e-03
1.686220073096706074e+03 3.779349621662008319e-03
1.696282352611695160e+03 3.943843440604236951e-03
1.693227960460309532e+03 3.992133507338074469e-03
1.702939486310459188e+03 3.972775758449387067e-03
1.702827762413599885e+03 3.974115932267159590e-03
1.625790290385476055e+03 4.076434996035151366e-03
1.629990588056429260e+03 4.050184973823663277e-03
1.698578492635225984e+03 3.955954186165028946e-03
1.699857193774882944e+03 3.900018163703590935e-03
1.624469707033992336e+03 4.089262099724973697e-03
1.697329016481879762e+03 3.885920522737078622e-03
1.696263488011436493e+03 3.897790755497115758e-03
1.709011301682993235e+03 3.815895996752497518e-03
1.697979487010045659e+03 3.909361649158442364e-03
1.697549658079996789e+03 3.915840418770668609e-03
1.703995152480592651e+03 3.726321458113069501e-03
1.704655177261263361e+03 3.723363294103802443e-03
1.714401685614140433e+03 3.710213122949178582e-03
1.582364318995173335e+03 4.188559598032839081e-03
1.637844414935907480e+03 3.972829251670401303e-03
1.633439231580184469e+03 3.731880925952080121e-03
1.627573719399528272e+03 3.981312207265020123e-03
1.658475128462296198e+03 3.979310661319621252e-03
1.634749249855145536e+03 3.980413108951469728e-03
1.635518567853046079e+03 3.979846603174112644e-03
1.655222379024086422e+03 3.972029839399778169e-03
1.624151973859947248e+03 3.962930470396576650e-03
1.591038769476002471e+03 3.861946518430474980e-03
1.701392420827293108e+03 3.775330402964531019e-03
1.701931765331973338e+03 3.774767402296562435e-03
1.694416102852780796e+03 3.788376970116290234e-03
1.706107882533370002e+03 3.778985758391553013e-03
1.705585911908713115e+03 3.782502728195857433e-03
1.691332413660204338e+03 3.860630701057932070e-03
1.700761441281680618e+03 3.776736916722611172e-03
1.670483232972965880e+03 3.979802762568292532e-03
1.675832249554083319e+03 3.993261365045324383e-03
1.692849660584017101e+03 3.991665366645859650e-03
1.680151787468760403e+03 4.015374019829176869e-03
1.686801833025847827e+03 3.831342714515201513e-03
1.695861997701765176e+03 3.928403378932586280e-03
1.679387349703284144e+03 3.808838558881805138e-03
1.687122162484560931e+03 3.965074905756368201e-03
1.689550251845860885e+03 3.970574842986633775e-03
1.667301917871908245e+03 3.835833767284841430e-03
1.661646479087726220e+03 3.967444658970193175e-03
1.665866376991769357e+03 3.968909674239917001e-03
1.665219754164106234e+03 3.943119341754454735e-03
1.652989414874335580e+03 3.946557466733074775e-03
1.649356763717497643e+03 3.935747915772380527e-03
1.707403797517661815e+03 3.545608232700271818e-03
1.676893459192127466e+03 3.671875688350629760e-03
1.695854149882859701e+03 3.786446607005461689e-03
1.697670719859938117e+03 3.778638550209359806e-03
1.701961677394201160e+03 3.774668435960199051e-03
1.696620462480588230e+03 3.771547033773486272e-03
1.695233498500938822e+03 3.798951579412330245e-03
1.690217798015758717e+03 3.828788316668188269e-03
1.689428485550292407e+03 3.823311003873144237e-03
1.676783186111250416e+03 3.832683648500004488e-03
1.666814808549082954e+03 3.852376975705470649e-03
1.679791389785898218e+03 3.893527660342573082e-03
1.692375778567309226e+03 3.880815821895268556e-03
1.686567552095435758e+03 3.889828894530539174e-03
1.694260536912798898e+03 3.877512703381512382e-03
1.654801832934381309e+03 3.938249032521898806e-03
1.656258207953326064e+03 3.941238919418817675e-03
1.655465505370035544e+03 3.949291679581142835e-03
1.635271348265112692e+03 4.121310008273041531e-03
1.614636826124122763e+03 4.163263243337720146e-03
1.624524346263506914e+03 4.119279913340133555e-03
1.602623737500186280e+03 4.113861659524711660e-03
1.665855981658760356e+03 4.036446165640173410e-03
1.687180319322228343e+03 3.757939158080781175e-03
1.690510359741821730e+03 3.745049205214484589e-03
1.671756348062995130e+03 4.047986833316269233e-03
1.667781618615839307e+03 4.070936884812215509e-03
1.685648586963435037e+03 3.698289500495219491e-03
1.688292890298683233e+03 3.683916061449739581e-03
1.667515065235638531e+03 3.983220447213071252e-03
1.675957755450318928e+03 3.989731003498027222e-03
1.683697855759766071e+03 3.961708825278895119e-03
1.687970952191913284e+03 3.967941957461091317e-03
1.690553623544604307e+03 3.972063619995758361e-03
1.689880323570877863e+03 3.992390371219679303e-03
1.674128796314763349e+03 4.081690316422007317e-03
1.703205995386204222e+03 3.825115415585580731e-03
1.565417534196030829e+03 4.486491112726693001e-03
1.560778942490512236e+03 4.487972643990117104e-03
1.702446468699102070e+03 3.804440402115961267e-03
1.686234110710084906e+03 3.830016793507585050e-03
1.690503168901930849e+03 3.963807589366298567e-03
1.683208631147380174e+03 3.966474922943889932e-03
1.660890302175233273e+03 4.041849117612522288e-03
1.658073737510427236e+03 4.047001547997770149e-03
1.687860227704124100e+03 3.889414190365207431e-03
1.698598871623801415e+03 3.884323725028287263e-03
1.661809096492242816e+03 4.113189322938221038e-03
1.663876785209723266e+03 4.182425949139124098e-03
1.666702207781774632e+03 4.216936107046155915e-03
1.660890011278176189e+03 4.213549498102802521e-03
1.709868929166198086e+03 3.710946513072813525e-03
1.704456521182718689e+03 3.813059339386856445e-03
1.620209247354675654e+03 4.115717556296459058e-03
1.690322308245764589e+03 3.789068448579787935e-03
1.679484885738078219e+03 3.796026647406977074e-03
1.607553596674698156e+03 3.959658643236451531e-03
1.717037874549464277e+03 3.800543377656236121e-03
1.606519740678623521e+03 3.982354480262257496e-03
1.722506815292218107e+03 3.543149087361357509e-03
1.620117451609429736e+03 4.044735859119546161e-03
1.636980540790732221e+03 4.042618817112029507e-03
1.636386221726036183e+03 4.057711647543576355e-03
1.632857499418247244e+03 4.059974446554219865e-03
1.638190922119525339e+03 4.046310703222068261e-03
1.570009738878500002e+03 3.984760400338605534e-03
1.613113255030008531e+03 3.883586817674268641e-03
1.637216738811265031e+03 3.885403602879764287e-03
1.705827060391906343e+03 3.777657556585092488e-03
1.636530559691661210e+03 3.999244067096095062e-03
1.640508113558195419e+03 3.998274345321553049e-03
1.640471454941610318e+03 3.999232360740075966e-03
1.651249579546627729e+03 3.985234367754906214e-03
1.691170729980784927e+03 3.802803537108068524e-03
1.687540877831790112e+03 3.829934813263284957e-03
