# omega_modGR tau_modGR
1.599591028172092365e+03 3.671942065375031865e-03
1.578291228186816170e+03 6.388423989274894486e-03
1.672376987030077316e+03 5.824754223052953407e-03
1.566133604960245748e+03 6.089297625886065657e-03
1.521682205651072081e+03 4.898808999698434433e-03
1.625916613806034320e+03 2.584331235072370031e-03
1.790857631821110999e+03 2.542301805657297235e-03
1.662631980300252508e+03 2.356466738328995801e-03
1.598561559393562447e+03 5.077016407634063824e-03
1.573257733671711776e+03 2.809804736659516754e-03
1.563540004131281648e+03 4.383775280726225597e-03
1.153115832547637865e+03 2.491982780343075972e-03
1.428182645097430623e+03 2.344074645565852755e-03
1.664560702462584686e+03 3.279826294988308962e-03
1.521073634649339510e+03 5.391517492098040452e-03
1.573306265399122822e+03 2.736393301104712069e-03
1.485853607770528697e+03 3.473360315552892832e-03
1.530004698826406639e+03 3.917966175064916713e-03
1.248071692555443406e+03 2.535871106310707505e-03
1.594926636015202575e+03 4.673329420186848361e-03
1.472107723247662761e+03 2.367088101827100836e-03
1.529422594492142025e+03 1.689445376515933805e-03
1.449785224439520789e+03 1.839791272074555286e-03
1.669573733098504590e+03 2.711047563843280942e-03
1.404828824363404919e+03 3.339060093821513090e-03
1.532882399267046367e+03 3.687056675230916940e-03
1.611505765307083038e+03 4.658023768528159365e-03
1.608021183256886388e+03 4.156562627439917661e-03
1.487755120966323830e+03 1.573599455274109823e-03
1.213276327659546496e+03 1.805933386232929337e-03
1.303760958833788436e+03 2.500353784120645882e-03
1.562895011359949649e+03 3.347360193521356671e-03
1.699872480299351992e+03 2.623470646724132289e-03
1.546501850458455920e+03 2.004562329549619461e-03
1.633110966360902694e+03 3.205509818787118451e-03
1.689239673131378595e+03 2.724287530546106763e-03
1.337645224943022868e+03 2.358660257631345347e-03
1.602117869998155356e+03 4.567604204839045313e-03
1.750998495476891321e+03 2.472964075793721364e-03
1.420778211412759902e+03 3.057898506507819060e-03
1.602957260219153568e+03 2.126896861008135530e-03
1.589388134350882410e+03 7.337862175392579484e-03
1.356704740626780904e+03 3.025371936986335965e-03
1.420290268709648217e+03 3.606531948381062110e-03
1.524760220104823702e+03 3.797038317228258394e-03
1.662964812872983657e+03 4.790581302993845644e-03
1.683638112308083009e+03 4.409164425314299543e-03
1.418401816638433047e+03 3.069657599448440046e-03
1.630231926017285787e+03 3.448147582724693950e-03
1.607043939154265900e+03 4.674868252381865832e-03
1.628016611413968803e+03 5.203712194152359215e-03
1.861785447035931384e+03 1.764253368333126501e-03
1.000690660629706258e+03 3.915310243842852998e-03
1.545560633829321887e+03 4.690699199632843673e-03
1.565590110430932100e+03 5.744907683136302352e-03
1.465962662948830939e+03 4.343143635992199707e-03
1.552172268458909457e+03 4.120173279603924626e-03
1.462689887067697555e+03 3.395058500817253397e-03
1.615024949992178335e+03 3.278906275160390835e-03
1.560044576312558320e+03 4.716192893222048536e-03
1.537440821736687667e+03 4.310950456363460068e-03
1.567284870087769832e+03 2.577290559292520593e-03
1.535951021323598070e+03 5.300079515548026220e-03
1.621760999718391531e+03 5.122570298764748953e-03
1.694535676632332297e+03 3.167981415223352065e-03
1.250759733315007225e+03 4.791395412825351537e-03
1.567752694791718795e+03 4.000958534193741097e-03
1.510146954914844628e+03 2.117753750619714818e-03
1.509633050771730268e+03 2.949074626147044249e-03
1.530843200193858365e+03 3.661494958934784390e-03
1.491892812566391058e+03 5.355945972575382186e-03
1.269880332703474096e+03 3.770493454617229907e-03
1.685595419261983579e+03 3.942921369474510288e-03
1.488833788042376000e+03 5.356052242832951699e-03
1.515322982781032124e+03 4.383765872582050423e-03
1.576095130018820782e+03 4.062916959146989013e-03
1.568133275779103087e+03 4.428832474637623209e-03
1.374846778622421880e+03 2.835903297834820036e-03
1.374675391262117046e+03 2.520871706045672064e-03
1.483432529832951104e+03 3.836264811731203775e-03
1.567573378092970188e+03 5.189834083954478726e-03
1.538186063675787864e+03 4.755998544996967690e-03
1.571121696737294997e+03 4.730514750218270219e-03
1.574501582256047868e+03 5.960933669206663031e-03
1.653887490298129251e+03 3.323694784295004676e-03
1.044485894729092479e+03 2.415238800895721377e-03
1.242435097817165115e+03 2.808357403527574243e-03
1.578426343885323831e+03 2.935770907350886139e-03
1.752419945565135549e+03 4.307151302722220070e-03
1.551630034458620912e+03 4.396045586871888226e-03
1.589288983729238453e+03 4.598524938181128806e-03
1.662420543735475576e+03 3.596054498429773153e-03
1.560431075983656456e+03 7.203195450387167575e-03
1.385795983846367108e+03 2.528932875778096973e-03
1.706196474932832643e+03 3.569191228398436218e-03
1.788365797361975410e+03 1.961910752751446982e-03
1.614228176460623899e+03 3.211403050598080674e-03
1.594896077489713889e+03 3.958467912333675856e-03
1.448853750565825067e+03 4.093319054527443969e-03
