# domega dtau
-6.174815299973750171e-02 -2.946146817323664832e-02
-6.762599572648285429e-02 6.853640975624504250e-01
-2.035479290789241752e-02 5.392701759776329373e-01
-8.070516128941380984e-02 6.067082864826822686e-01
-1.095904430492629644e-01 2.964983259312944375e-01
-2.917447317734082890e-02 -3.749021125794000375e-01
5.826340958055069297e-02 -3.299514525160341938e-01
-2.135545855787640557e-02 -4.080830455793177380e-01
-3.563234979506953171e-02 2.724160367511996861e-01
-7.620650584102423020e-02 -2.927295106671372049e-01
-8.201021846622405520e-02 1.039595216386037801e-01
-3.110182009129577874e-01 -3.599815356362781604e-01
-1.653413078575157735e-01 -4.145387286523956050e-01
-2.482705986563794182e-02 -1.796997145136552121e-01
-1.033037368778649268e-01 4.377002516477152549e-01
-7.380038446735259772e-02 -2.676653626387314189e-01
-1.167029646104266738e-01 -7.304849701475552015e-02
-9.415982196851697961e-02 3.691269700328648345e-02
-2.628648821469227737e-01 -3.262327771206122162e-01
-6.257835734249010684e-02 2.317160343540550227e-01
-1.261260483118617770e-01 -3.774016964482499459e-01
-9.298755311138529045e-02 -5.529798654158429860e-01
-1.453160953968855584e-01 -5.335029648659986856e-01
-1.396990122663370124e-02 -3.209025803220224016e-01
-1.750565210000106509e-01 -1.595145820350099830e-01
-9.980185130742277866e-02 -7.223223024409378135e-02
-8.786203954389547668e-03 1.426709301285746523e-01
-1.347824027974221101e-02 2.626488772828217480e-02
-1.241175327386987992e-01 -6.022200002271551611e-01
-2.862480847786885718e-01 -5.369423140024678354e-01
-1.974236557391791380e-01 -3.885562423869067250e-01
-7.920326808562830334e-02 -1.385927288179283345e-01
2.127613023225755073e-03 -3.269339450753711018e-01
-9.508974637236278227e-02 -4.746810889878566586e-01
-3.820335943125514888e-02 -1.800426498077608850e-01
-4.895282390747322451e-03 -3.042904615093164344e-01
-2.149947005449255877e-01 -3.670271649548663695e-01
-6.015134827903818177e-02 2.267414818403983290e-01
2.134669498393601886e-02 -3.334711527762564964e-01
-1.021168801916761959e-01 -2.699403136238137657e-01
-2.130065249092605306e-02 -4.646392466744277416e-01
-2.696831101986395252e-02 9.662637476892538269e-01
-1.664250138375795440e-01 -2.401068342578869808e-01
-1.436167812618860118e-01 -9.367921850437732623e-02
-6.728189644990985319e-02 -4.606928645441941972e-02
1.678137170644680015e-02 2.037100372595099795e-01
1.716732062355885713e-02 1.100531978834724811e-01
-1.266815917063043029e-01 -2.254071520106041837e-01
2.463369045003933888e-02 -1.071477644061088197e-01
-5.545368635599701862e-02 2.382673179308977818e-01
-4.343015121031415515e-02 3.785517462576446501e-01
9.877700282791315733e-02 -5.342983598913151333e-01
-4.134657773552993798e-01 3.607435808631453966e-02
-9.382422601058401646e-02 2.401046441201561688e-01
-7.434511525570181023e-02 4.880749100301201571e-01
-1.380550926389224886e-01 1.499725111277030731e-01
-7.082439510841301300e-02 3.527072204579462245e-02
-1.271859773214772116e-01 -1.498030831300923849e-01
-4.597260607595243104e-02 -1.785618347272407425e-01
-7.148592886190957563e-02 1.745338964519888014e-01
-8.854686327986192873e-02 1.251800680819401546e-01
-7.581815489010500231e-02 -3.439343390462070160e-01
-8.540991356462732109e-02 3.915211772861326711e-01
-3.874121520039456451e-02 2.919227052502757491e-01
2.950740755431773433e-03 -2.021353228439782546e-01
-2.498300878155063631e-01 2.491144568595044795e-01
-5.650647443826723598e-02 8.447219332416910573e-03
-9.347653823118981520e-02 -4.664142234415339372e-01
-9.343313577881261212e-02 -2.520960258750676308e-01
-7.389412998132413590e-02 -7.223067450586564964e-02
-9.546991567561007030e-02 3.608457876866567049e-01
-2.562507272446556961e-01 6.342641576779339818e-02
5.189333897246078617e-03 7.381668229776913726e-02
-1.220743905687783765e-01 4.145326208808801649e-01
-1.074105448988071226e-01 1.601442726876224354e-01
-7.395380815394696217e-02 7.636393184649749311e-02
-7.573124899933544873e-02 1.742747564801050697e-01
-1.889926786851654772e-01 -2.535037000199109047e-01
-1.866874240255158857e-01 -3.416006586022663494e-01
-1.219323324303027700e-01 3.388112514241342632e-03
-6.513054813696968204e-02 3.540992578361175092e-01
-7.717038762408334751e-02 2.345620833553084261e-01
-6.469237413013174953e-02 2.149688310682387749e-01
-6.965013196481023572e-02 5.360001460454597577e-01
-1.937666935232090076e-02 -1.455421628009323509e-01
-3.835151843692794493e-01 -3.771164698469116061e-01
-2.491940284994645372e-01 -2.869020266782841277e-01
-4.699259070491239310e-02 -2.551147069805652645e-01
5.856627026090074906e-02 9.061362192904212631e-02
-5.114827817122118148e-02 6.666219674019857599e-02
-1.569878872125747560e-02 1.045482039935711205e-01
2.332756511721838927e-02 -1.270186600371376318e-01
-2.632724109175067079e-02 7.509571411352167214e-01
-1.681177730223269717e-01 -3.734753860201645015e-01
1.127096813116168668e-02 -5.022644639588585980e-02
5.788514519076845555e-02 -4.761321827174536114e-01
-3.441181585404298054e-02 -2.066666264407847342e-01
-4.370208923792803790e-02 -2.762729456654983845e-02
-1.404769880442147401e-01 1.068141241996680701e-01
-1.325994358268551832e-01 1.853926936621797805e-01
-1.334651183484458492e-01 1.161879160532827832e-01
-1.184201873638191793e-01 6.222683625233233623e-02
-3.885135784576352475e-02 1.559897988201494334e-01
-1.274652264191607487e-01 2.147430836562884693e-01
-8.884640090638873389e-02 -4.323990247741860693e-01
-2.899762583255350856e-01 -3.763878148101067467e-01
-7.315031967758836573e-02 4.682407928687482013e-01
6.629226283336343319e-03 -6.756561447935735543e-02
5.690318720078241244e-02 -3.900130338584124612e-01
6.063827956886038567e-02 -2.767265815392174755e-01
-1.009889830376151099e-01 -2.147330227369514122e-01
-1.736459634734448532e-01 -1.584594024995397699e-01
2.227123048880752521e-02 -2.915383217174191133e-01
-4.319930353098046238e-02 -5.505065698903436472e-02
-3.403678439627365326e-02 -4.082629340322704165e-02
-2.376043740073247729e-02 2.612627461133618101e-01
-2.427843329703872552e-02 -2.932437176134180534e-01
-1.062802602013445397e-01 -2.122444420939584298e-01
-4.947721485712346101e-02 1.292213715187660872e-01
-6.657188351861864639e-02 -4.387046421675732666e-01
-1.699232977877576101e-01 -4.390839808167231739e-01
2.312959481430160516e-02 -4.180510176453576809e-01
-1.689832579364580756e-02 -8.436172898569571643e-02
-8.882580555239572018e-02 3.694311912145115673e-01
1.515564691172650164e-02 -2.333405724683989546e-01
-2.049589451845131027e-01 2.262644268495983546e-01
-7.097763589155245412e-02 -1.939966662366176542e-01
-4.811695088172905643e-02 6.147952197302876121e-01
-3.648453695057083529e-02 -1.197916273814494392e-01
-7.992471393242261968e-02 -9.370442354371011362e-02
-6.254676066156202030e-02 -2.124548035128503987e-01
-4.570440884338561327e-02 -4.048694920864518432e-01
-9.541298925545109444e-02 6.292953507672308655e-01
-1.170653050018963803e-01 -1.681673197325286306e-01
-1.148195832228271485e-01 2.739777685569447785e-01
-3.372715659899019197e-02 1.663979168908926720e-01
-2.073924400447553149e-02 3.068598083166520496e-01
6.440097841189602879e-03 -2.310433695693752676e-01
1.452886459537610156e-02 2.706132763486679971e-01
-3.088882162422794120e-01 5.530741522656312803e-02
-1.692741567339673125e-01 -2.029798434642947069e-01
-2.985048119732566872e-03 -3.487896030129590264e-01
-2.975270081564502372e-02 -3.804455655407057435e-02
-1.483535006127653932e-01 -2.686264945399647330e-01
-4.881226381624077792e-02 4.029006515373687036e-02
-4.147915035750950885e-01 3.585109694515029033e-01
-7.025040753039289709e-02 4.321769683246017013e-02
1.504548682026727452e-02 -2.987917370132331940e-01
-1.097709727772684940e-01 2.182167718971563808e-01
8.668365571540255499e-02 -3.186634531762246869e-01
-2.621517970865809566e-02 2.493309847696727477e-01
-4.059898941911370407e-02 -2.029223553149627490e-01
1.023558408283904361e-02 1.237198134242876862e-01
-3.436807286549203311e-01 -3.394916315709113341e-01
-4.532581978860824035e-01 1.668350552794333197e-01
-9.876603564630062615e-02 3.288177902468869540e-02
-1.231323927552033515e-01 -1.661802291039051749e-01
-4.179537233616796577e-02 -1.356607901617529199e-02
-6.938528702749049981e-02 -2.389874877948376664e-01
-4.505343136203784904e-02 -1.794561366065445529e-01
-3.650627294684899993e-01 -5.665148375786517310e-01
-5.275765437671156577e-02 -1.285723989327159852e-02
-8.500550176279203507e-02 3.788287401797586773e-02
-1.547033878441700927e-01 4.626467790145820658e-01
-2.653648093924476092e-01 -4.628399008701133965e-02
3.902102225781197559e-02 -3.237487481989276827e-01
-1.470882680111017075e-02 -4.724384845018930745e-02
4.626373292304115925e-02 -4.111911153650473216e-01
-8.699827010400107419e-02 4.738892289752133502e-02
-5.372291385260231922e-02 -2.700931656109981649e-01
1.117507136894891652e-02 -4.208566713149060057e-01
-4.378132057728673088e-01 -3.332329072336977505e-01
-2.725641662932155179e-02 -1.953218443054108855e-01
-2.307923484011348281e-02 3.109126926688939863e-01
-1.314183485459700651e-01 5.316146459173753946e-02
-2.214239738422425774e-01 8.831559129472352221e-02
-1.820051821144193921e-02 -1.683902423032680173e-01
-1.192766034685230347e-01 -2.760856560907338220e-01
6.169075766071657752e-02 -3.987095958916903049e-01
-5.117529544316214152e-02 -2.025558565456705151e-01
-5.326607500047177146e-02 1.177908540342125499e-01
-9.255449717826419453e-02 4.147428629025169955e-01
-3.639566041629905407e-02 -5.676447516551924588e-01
-1.446109543130922603e-01 -2.052228588227960060e-01
-6.435294426839383020e-02 -3.893041119265785444e-01
-4.553704114706112749e-02 -1.331859523287479696e-01
-1.175685012683294062e-01 -4.638950306976933891e-01
-8.021279354688916341e-02 1.124210493982184672e-01
-3.289299074948822538e-02 -4.923601504169890924e-02
8.398934099266584796e-03 3.024226270087917445e-01
-8.416406574527098006e-02 4.054914286107360044e-01
-5.623681702449322140e-02 -8.395709202236241453e-02
