# mf af
6.252810917228919152e+01 6.828595663702357044e-01
6.276432240624302494e+01 6.785593421056633767e-01
6.250651181236695209e+01 6.840879533623386299e-01
6.261480914379400531e+01 6.836703965960554408e-01
6.242203701264867277e+01 6.837584455850884702e-01
6.658623669666262401e+01 7.352971854052462453e-01
6.281095535462109325e+01 6.791173615446391976e-01
6.468717380967984809e+01 7.191027659151952856e-01
6.537565211467598658e+01 7.026062604348122242e-01
6.453747063408212625e+01 7.193367710850694374e-01
6.451670338173349251e+01 7.190905016646578218e-01
6.412908080231426311e+01 6.910937955486639028e-01
6.473613064400115036e+01 7.281193977667964612e-01
6.474109603498415311e+01 7.254799092450124887e-01
6.227075311568609095e+01 6.713161669031443290e-01
6.209094676953559144e+01 6.694084448420815070e-01
6.241523007736412865e+01 6.634213343286909925e-01
6.267814102345481331e+01 6.740492030675068191e-01
6.246173455985822898e+01 6.727833584892781715e-01
6.269042157037645779e+01 6.835166559842503764e-01
6.299518480114790009e+01 6.770246926290502953e-01
6.272564057001838478e+01 6.728576173090984325e-01
6.433686806317851392e+01 7.111569604591179150e-01
6.488399450746773311e+01 7.186830340553895802e-01
6.454139670223810299e+01 7.193163019109526379e-01
6.455866427863576007e+01 7.195056111405837562e-01
6.676329740374629296e+01 7.040518390770617030e-01
6.642107072920990163e+01 7.011123560769557672e-01
6.443407081856710761e+01 7.144005964804494013e-01
6.383307294051128622e+01 7.043941837754652546e-01
6.691601260188822664e+01 7.058021242605234669e-01
6.371974871121366846e+01 7.005047729489956021e-01
6.385892292636168577e+01 7.023548448091044838e-01
6.282342526603439126e+01 6.916796812368545266e-01
6.395629715102522539e+01 7.053668739103140517e-01
6.403077365220752881e+01 7.064236235644688611e-01
6.192139334017059582e+01 6.697784072272462419e-01
6.188013460745955285e+01 6.694309250004851775e-01
6.161151018167979743e+01 6.712537272352291362e-01
6.861300182323488173e+01 7.040347520824008498e-01
6.547483934619077672e+01 6.897662436361953198e-01
6.287065473282243744e+01 6.329470540039036086e-01
6.571186617070472380e+01 6.864252250593082527e-01
6.524501933957887445e+01 7.008363002691685439e-01
6.559964894384047795e+01 6.897785623487066031e-01
6.558254017044981765e+01 6.900409797539316381e-01
6.522024346284325702e+01 6.979363143952940218e-01
6.556389504885602548e+01 6.809930455370266644e-01
6.491324624954634714e+01 6.403151431761031631e-01
6.248455182988931256e+01 6.794347565022391677e-01
6.247373786776047666e+01 6.795731743938501213e-01
6.271818684729187510e+01 6.788873644936401774e-01
6.246337169210667639e+01 6.824975263965903371e-01
6.250841758098613354e+01 6.830061019728898009e-01
6.354027992739074193e+01 6.926770702017979175e-01
6.250655624540486599e+01 6.794199785045389461e-01
6.507431305681906508e+01 7.064576551732099086e-01
6.513815809253540579e+01 7.113636598952669532e-01
6.488010882513961519e+01 7.184464299201364090e-01
6.531254362659339563e+01 7.172739738540032661e-01
6.328979818420782522e+01 6.844349922196902858e-01
6.418367366460586254e+01 7.080695017879127251e-01
6.314099839336380882e+01 6.759579555172808840e-01
6.468872217281742110e+01 7.111314903124430487e-01
6.471068548299157897e+01 7.132033101614076998e-01
6.359709426075166050e+01 6.758056199440324319e-01
6.507951422300456557e+01 7.000413180688130899e-01
6.503472090561837149e+01 7.022718579279599860e-01
6.477043201524145388e+01 6.969629150487617331e-01
6.497811573556765552e+01 6.918400054843271141e-01
6.491160311305998221e+01 6.878930635547476635e-01
5.983838620857495272e+01 6.264261345304816819e-01
6.166153611272894608e+01 6.425512160653011895e-01
6.267917512383462508e+01 6.791754679193925393e-01
6.257030620597387838e+01 6.783530209289286850e-01
6.246898559821444508e+01 6.795636180222489608e-01
6.250351149721298327e+01 6.762728464328212619e-01
6.281911143436146006e+01 6.815752676621391615e-01
6.320861334244818153e+01 6.855358301754992389e-01
6.315915445709619291e+01 6.839972286679160129e-01
6.342991321121658643e+01 6.798518378676540186e-01
6.377767430661183568e+01 6.791598416931933224e-01
6.404633935515525422e+01 6.939646272242819824e-01
6.373459760294711884e+01 6.972322187795874093e-01
6.391258422615034362e+01 6.963672080081281246e-01
6.367355870669473461e+01 6.974340610668461338e-01
6.485327311469055189e+01 6.909306485646194984e-01
6.486521338571017736e+01 6.922330338776120362e-01
6.496343802733957773e+01 6.934725161626626999e-01
6.708539562296778058e+01 7.164204092557788783e-01
6.783658020415970213e+01 7.145438604516778369e-01
6.722835228913790218e+01 7.112668974738868277e-01
6.751266059867029412e+01 7.000583896852899946e-01
6.574290776341001674e+01 7.148417269082814052e-01
6.249020817888604995e+01 6.684681240293753879e-01
6.230447280485694250e+01 6.672196662156393288e-01
6.577158375685473857e+01 7.194266391453947307e-01
6.606466429725426792e+01 7.217485819217618337e-01
6.182722984350692030e+01 6.536476898311150974e-01
6.163284477362618929e+01 6.515702926782667159e-01
6.515260666857182059e+01 7.057612196254998693e-01
6.509883929067267161e+01 7.107601776545582339e-01
6.469818740617589015e+01 7.089648897686844364e-01
6.470169012827234667e+01 7.120090674628265504e-01
6.470697299657572898e+01 7.138868145440052659e-01
6.492543254270123043e+01 7.173033944184551425e-01
6.607820253706987046e+01 7.262751540794706306e-01
6.299887857742746178e+01 6.908922353797697369e-01
7.188113912074686596e+01 7.445377400089913111e-01
7.198114423113872817e+01 7.428350998848093356e-01
6.278948819687430216e+01 6.862097367786166302e-01
6.327912884340891253e+01 6.838803627010908714e-01
6.462629794556931984e+01 7.123685900432193963e-01
6.475881582855787144e+01 7.096743385103443380e-01
6.586959872419214435e+01 7.136616453046352726e-01
6.596479914756568519e+01 7.133493463220038633e-01
6.388990041850630064e+01 6.968790310796050269e-01
6.368558919992216261e+01 7.007625045452173795e-01
6.656673695450456307e+01 7.265190555491360946e-01
6.722013186456136680e+01 7.387156026247169160e-01
6.750906975409507993e+01 7.451923043890497089e-01
6.757122618077877974e+01 7.424021824651703128e-01
6.167588641902928259e+01 6.691752730670711413e-01
6.285205294875550663e+01 6.889663959605097920e-01
6.726400429932931502e+01 7.086179820394518103e-01
6.277384187025398887e+01 6.770339212728063716e-01
6.299139773225203243e+01 6.731950722160062739e-01
6.574798074359655686e+01 6.716241004395128167e-01
6.255401201387819299e+01 6.921398262359902409e-01
6.601463242937998643e+01 6.759273153653948540e-01
5.964709922466315106e+01 6.342095497090677325e-01
6.649353651175863433e+01 6.953011430158539952e-01
6.621957823124186859e+01 7.028844989382984076e-01
6.638745657896942021e+01 7.054354037909967845e-01
6.646456376005697564e+01 7.042307465820929480e-01
6.623902384447524128e+01 7.041344917473710829e-01
6.658726051675802182e+01 6.566997835469967626e-01
6.485309138749960312e+01 6.579448433078524117e-01
6.454901898144022709e+01 6.712243297302098455e-01
6.245274375312821746e+01 6.820774492934815747e-01
6.578009843035573567e+01 6.943716521720815216e-01
6.571066390210975783e+01 6.960866067632132115e-01
6.572042390720424976e+01 6.962409514145050382e-01
6.541577168599025072e+01 6.986112822782674092e-01
