# mf_modGR af_modGR
6.307331487502511891e+01 5.984559346247441125e-01
8.479083271933254196e+01 8.936897033270740920e-01
7.892240207422815956e+01 8.847850999183303200e-01
8.354486941970753833e+01 8.789079305965995514e-01
7.663997970493416290e+01 7.810347056616434580e-01
4.551744032590431743e+01 -2.554702565584543450e-02
4.528499049621044037e+01 1.904623587947299468e-01
4.053645520605060426e+01 -2.704551618152735148e-01
7.615261453796760804e+01 8.221188461273327697e-01
4.992650026359217463e+01 1.178122028563731716e-01
7.120576861133345403e+01 7.300768000393187407e-01
2.718871492566580628e+01 -2.717534017420342174e+00
3.553204241647880934e+01 -1.125309029607203914e+00
5.741734593642284068e+01 5.121581852859743433e-01
8.043353340319984568e+01 8.265447895645162690e-01
4.843655225314636681e+01 4.621051624269134628e-02
6.144516970975340087e+01 4.314535604162140769e-01
6.688071192514324537e+01 6.193512506240896887e-01
3.529810734668970440e+01 -1.589424435161939542e+00
7.311620499124271078e+01 7.809757761440205837e-01
3.753645418877863449e+01 -8.549350358061083011e-01
9.889816192032096609e+00 -4.764348732984171164e+00
1.398331658512259601e+01 -4.029024102568617316e+00
4.827397492382362287e+01 1.765963739387119702e-01
5.952194425769764052e+01 2.570184464825591153e-01
6.401353799717351478e+01 5.553825679964310424e-01
7.263307480452645848e+01 7.847555710448083088e-01
6.821863262931555028e+01 7.123532926686687583e-01
-1.950721781394266552e+00 -8.129820107085302894e+00
-1.423904518185768886e+01 -1.193021403772205424e+01
3.653443570078041347e+01 -1.331385792572438831e+00
5.908801158314022928e+01 4.522729983626950778e-01
4.665875113513605044e+01 1.402139713643999475e-01
2.681293988661177607e+01 -1.791287499970219965e+00
5.657788828526135205e+01 4.532401992078106678e-01
4.854908726026258847e+01 2.151350053622195224e-01
3.264509712049854784e+01 -1.618774028838439794e+00
7.207832092206075458e+01 7.707891803995831070e-01
4.381628156725000878e+01 6.243035250751005627e-02
5.420866863598574525e+01 7.162108071902828499e-02
3.295380805540510494e+01 -9.968320464290159055e-01
8.888456274983835215e+01 9.239535259872805328e-01
5.295169554521994826e+01 -1.008773312775286257e-01
6.387061124240676691e+01 4.195822594849616394e-01
6.549495715145381780e+01 5.829030106749575335e-01
7.254350823767843792e+01 8.139183168835072424e-01
6.911523411031923558e+01 7.787710137588444992e-01
5.443494689999274527e+01 7.753963553766574091e-02
5.994854429386351313e+01 5.489119994508172562e-01
7.286665733990871274e+01 7.851989590273387165e-01
7.630724196966211537e+01 8.396015376691708942e-01
2.606590745717955926e+01 -1.270318047688604679e+00
6.735261778377841324e+01 -2.703768675079267769e-01
7.433899058563230255e+01 7.654120830595282365e-01
8.151536118462458091e+01 8.609513560599768578e-01
