# freq_GR tau_GR
2.241705118499669425e+02 4.786407870079895620e-03
2.242227725581472271e+02 4.786138393185046698e-03
2.242441860063963190e+02 4.786155429262394997e-03
2.242666877020821516e+02 4.786266064265819187e-03
2.242721716813061619e+02 4.786304668021162598e-03
2.242500514199465158e+02 4.786282511237261068e-03
2.242721992261718071e+02 4.785945675835951221e-03
2.242816289162418570e+02 4.785897010098460157e-03
2.263575919799621943e+02 4.767540943768043549e-03
2.271236055864033005e+02 4.774805157727852502e-03
2.271543821011683235e+02 4.774905275195840369e-03
2.270430834105067106e+02 4.775996714435314962e-03
2.269862002133907311e+02 4.775499752196181967e-03
2.282667456920407290e+02 4.781918687704256841e-03
2.308752461118987185e+02 5.229905045011251641e-03
2.282024058690008701e+02 4.782787907417460765e-03
2.299769197633659132e+02 4.907825469771455451e-03
2.310371662944910156e+02 5.208180640286018404e-03
2.307511356750198956e+02 5.210920611583224130e-03
2.262630787795685023e+02 4.783037401648203811e-03
2.261160903971575635e+02 5.121186814163699794e-03
2.242394976370569566e+02 5.077143591406738793e-03
2.233092185220728538e+02 5.065008791800051056e-03
2.302380291545389923e+02 5.215706195581216661e-03
2.301217837543387930e+02 5.215513838866610470e-03
2.300327821088241649e+02 5.216479757762839883e-03
2.250332252255143999e+02 5.433316495888278891e-03
2.250397582522354298e+02 5.434296743274468801e-03
2.289846236543040447e+02 4.806510222185043750e-03
2.257783617917525021e+02 5.490014843974971165e-03
2.101255807198429579e+02 5.423128711963396374e-03
2.257443283517693260e+02 5.489464055353291717e-03
2.291824647630344032e+02 4.801441790731613909e-03
2.256832888879715142e+02 5.468771930287791121e-03
2.221659614656133499e+02 5.249076076087994501e-03
2.292350275309621850e+02 5.037930160302890245e-03
2.430129070572993726e+02 4.702519561909373688e-03
2.427634387902377000e+02 4.665824654343242624e-03
2.307645360675396944e+02 5.577408482992328269e-03
2.307773809189868359e+02 5.578547244597906705e-03
2.287512904641934881e+02 5.601194338909227383e-03
2.283602229454054680e+02 5.589926239446044859e-03
2.285374737153977662e+02 5.588939727386841964e-03
2.283919064524475857e+02 5.552644951035479344e-03
2.281451457324513115e+02 5.528897394356508017e-03
2.271800498476634118e+02 5.480670795157893509e-03
2.271970034884028280e+02 5.481388146694581194e-03
2.265865352694141563e+02 5.502991245865537610e-03
2.266387496616717954e+02 5.504217119892225972e-03
2.295769850499065683e+02 5.312783235915849098e-03
2.295906213758789818e+02 5.313380253576819624e-03
2.297129098243473209e+02 5.315151491523104066e-03
2.298882051175218635e+02 5.326101738323251247e-03
2.290402736111664694e+02 5.322261992044412769e-03
2.136205066070362193e+02 5.433100130154007099e-03
2.089963197797529517e+02 4.626806887230027962e-03
2.137018653588097834e+02 5.423042180222092772e-03
2.132411562564528822e+02 5.379676743588365263e-03
2.281162685503543912e+02 4.963271923156277986e-03
2.324319224425965729e+02 5.000068142723154349e-03
2.101060941911124758e+02 5.385338558403272337e-03
2.320296104442783758e+02 4.993735679548478266e-03
2.317761461932040277e+02 5.065752892257745742e-03
2.314773423297421573e+02 5.049219312209739588e-03
2.315791868742765303e+02 5.036999296457869008e-03
2.054699297106650420e+02 5.722447930770486156e-03
2.315510261261395613e+02 5.044423710333044257e-03
2.315350353946043924e+02 5.042876390510953391e-03
2.315471612721671306e+02 5.042372606736048382e-03
