# freq_modGR tau_modGR
2.556509104655134479e+02 1.151288854052491539e-02
2.557105101760980688e+02 6.158683582698000827e-03
2.566923592142514394e+02 7.836502969367558843e-03
2.567181169092659161e+02 7.815638304229358471e-03
2.567243944212494853e+02 7.815701341466507399e-03
2.571265328163737536e+02 1.433993418172689258e-02
2.581094757229010384e+02 1.075543663815617043e-02
2.581203281262243650e+02 1.363560610890557183e-02
2.531496205089028138e+02 9.402663770947493685e-03
2.530154520008142356e+02 1.011172218239631687e-02
2.538493534247390926e+02 7.771751783296435012e-03
2.537249750156582877e+02 7.773528236307934193e-03
2.541858830612320048e+02 8.824475855398639101e-03
2.673058480896580136e+02 2.609828119063927355e-03
2.598221767068873760e+02 4.529034188106677294e-03
2.581104034264238862e+02 8.781838273720246266e-03
3.095135727281403319e+02 3.839733603683506517e-03
2.910530097399405918e+02 3.651560359354306170e-03
2.731461139566110887e+02 4.187450548144923228e-03
3.596884489873298776e+02 1.678232049806775228e-03
2.803258647485738493e+02 2.628422029187014401e-03
3.243792453075856770e+02 3.275534034447305336e-03
2.620774385504540192e+02 2.414722339372931022e-03
6.443720750181885251e+02 3.485368656256006108e-03
6.625680385354698956e+02 6.180137761944821950e-03
6.114275315850362631e+02 2.576157672841145139e-03
2.694646466337368906e+02 5.978948246050708876e-03
2.636738472333341861e+02 4.997199077988747316e-03
4.175153109168766150e+02 3.354882110993875986e-03
2.557937969820104627e+02 4.274528055127746647e-03
4.996584341662767201e+02 1.776741770249725414e-03
2.774432856523579858e+02 4.219188952958098301e-03
6.346349079317648147e+02 6.341695576540930072e-03
2.405537226887398390e+02 5.919985427097027020e-03
2.824513824114201839e+02 5.261477926337763088e-03
5.275209434204392664e+02 4.257605531787537860e-03
2.512941466209454404e+02 4.298502085731668344e-03
2.579284097510241054e+02 2.469876723672514030e-03
5.670723484091358841e+02 3.020051506844904747e-03
5.752585752029361856e+02 3.905384023665960276e-03
2.499950288767362281e+02 4.589403577107388499e-03
2.515636340676976772e+02 3.133813570590610401e-03
