# omega_GR tau_GR
1.408504866358639674e+03 4.786407870079895620e-03
1.408833230072420747e+03 4.786138393185046698e-03
1.408967774735835519e+03 4.786155429262394997e-03
1.409109157059555400e+03 4.786266064265819187e-03
1.409143613917240600e+03 4.786304668021162598e-03
1.409004628216074707e+03 4.786282511237261068e-03
1.409143786986735677e+03 4.785945675835951221e-03
1.409203035476835112e+03 4.785897010098460157e-03
1.422246696097050290e+03 4.767540943768043549e-03
1.427059701534140686e+03 4.774805157727852502e-03
1.427253076079518451e+03 4.774905275195840369e-03
1.426553765781645097e+03 4.775996714435314962e-03
1.426196358113300448e+03 4.775499752196181967e-03
1.434242262649929444e+03 4.781918687704256841e-03
1.450631954161752901e+03 5.229905045011251641e-03
1.433838003619138817e+03 4.782787907417460765e-03
1.444987603247599282e+03 4.907825469771455451e-03
1.451649328673952596e+03 5.208180640286018404e-03
1.449852145288288284e+03 5.210920611583224130e-03
1.421652852145002043e+03 4.783037401648203811e-03
1.420729296900311510e+03 5.121186814163699794e-03
1.408938316842487893e+03 5.077143591406738793e-03
1.403093200775643709e+03 5.065008791800051056e-03
1.446628201937784524e+03 5.215706195581216661e-03
1.445897810547219478e+03 5.215513838866610470e-03
1.445338596715807171e+03 5.216479757762839883e-03
1.413925454364186635e+03 5.433316495888278891e-03
1.413966502581691657e+03 5.434296743274468801e-03
1.438752822914770377e+03 4.806510222185043750e-03
1.418607285489016249e+03 5.490014843974971165e-03
1.320257961441495354e+03 5.423128711963396374e-03
1.418393447078961117e+03 5.489464055353291717e-03
1.439995895262301019e+03 4.801441790731613909e-03
1.418009924816868534e+03 5.468771930287791121e-03
1.395909904836167925e+03 5.249076076087994501e-03
1.440326156873449463e+03 5.037930160302890245e-03
1.526895127077421876e+03 4.702519561909373688e-03
1.525327671727212419e+03 4.665824654343242624e-03
1.449936342437679059e+03 5.577408482992328269e-03
1.450017049019564638e+03 5.578547244597906705e-03
1.437286747242990259e+03 5.601194338909227383e-03
1.434829597554826250e+03 5.589926239446044859e-03
1.435943296988528118e+03 5.588939727386841964e-03
1.435028670900753241e+03 5.552644951035479344e-03
1.433478227570483568e+03 5.528897394356508017e-03
1.427414351287164664e+03 5.480670795157893509e-03
1.427520874153561863e+03 5.481388146694581194e-03
1.423685189209512146e+03 5.502991245865537610e-03
1.424013261911768723e+03 5.504217119892225972e-03
1.442474739332160425e+03 5.312783235915849098e-03
1.442560418895154271e+03 5.313380253576819624e-03
1.443328779877808302e+03 5.315151491523104066e-03
1.444430192688300394e+03 5.326101738323251247e-03
1.439102481906073535e+03 5.322261992044412769e-03
1.342217228425589610e+03 5.433100130154007099e-03
1.313162605694750027e+03 4.626806887230027962e-03
1.342728420539343915e+03 5.423042180222092772e-03
1.339833699876531000e+03 5.379676743588365263e-03
1.433296786884219500e+03 4.963271923156277986e-03
1.460412840010827949e+03 5.000068142723154349e-03
1.320135523970488066e+03 5.385338558403272337e-03
1.457885039174092981e+03 4.993735679548478266e-03
1.456292476315847352e+03 5.065752892257745742e-03
1.454415036271215286e+03 5.049219312209739588e-03
1.455054944417049910e+03 5.036999296457869008e-03
1.291005643425272865e+03 5.722447930770486156e-03
1.454878005218116641e+03 5.044423710333044257e-03
1.454777532488683846e+03 5.042876390510953391e-03
1.454853721624422633e+03 5.042372606736048382e-03
1.455193528879787436e+03 5.039473404584477075e-03
1.455658381579100933e+03 5.060134371813732566e-03
1.455288248205061564e+03 5.058757915411435553e-03
1.397048357659671638e+03 5.718953968780130480e-03
1.394745720295720048e+03 5.744672663794995679e-03
1.458290849767647614e+03 5.629536564177383719e-03
1.458646075698119830e+03 5.629630841428440863e-03
1.458743211135470801e+03 5.631555006581176470e-03
1.459721074254050563e+03 5.636552432267898094e-03
1.464248329432194851e+03 5.647385267440809507e-03
1.455237298072594513e+03 5.490712269209024887e-03
1.457130188431410261e+03 5.500026862098566019e-03
1.468369716504060534e+03 5.271444493743824601e-03
1.455615973814446079e+03 5.438710933012894620e-03
1.473412121801344256e+03 5.268095721745531812e-03
1.488229181702915866e+03 5.215976491106278680e-03
1.487884247195854641e+03 5.245659534120258177e-03
1.487858380050553933e+03 5.242667359153211845e-03
1.310292609040207253e+03 6.201121998621337943e-03
1.277310988282529706e+03 6.136167130700322624e-03
1.482590503397507973e+03 5.174106128715054605e-03
1.283784476835065789e+03 6.157847955162400709e-03
1.295279134784690768e+03 6.150869967385096289e-03
1.309858893671230135e+03 6.183137381369333690e-03
1.332980894267212534e+03 6.110484074883034029e-03
1.300531078740816156e+03 6.239945240216046053e-03
1.483475707190984167e+03 5.016531078825895752e-03
1.482049207013547402e+03 5.006986012020945599e-03
1.453161661618492417e+03 5.389794745970693905e-03
1.453314461192615227e+03 5.390911464843601078e-03
1.461635061637727858e+03 5.223661956133605552e-03
1.462220381072144846e+03 5.213583084597302186e-03
1.462534640247669131e+03 5.213120403468461672e-03
1.362874158173218120e+03 5.043440000843908873e-03
1.460085412249796718e+03 5.185342809399708618e-03
1.359602482322177366e+03 5.050904260697353619e-03
1.460745971505816442e+03 5.180294164020430268e-03
1.460786311570991074e+03 5.180192626059558492e-03
1.359354182428082822e+03 5.053033240409614268e-03
1.357539013855096528e+03 5.055364802155462405e-03
1.355745950510827697e+03 5.084579087614420588e-03
1.354277566099147407e+03 5.087496515237249078e-03
1.347443260313660403e+03 5.087505791871882281e-03
1.363126062230715434e+03 6.358771040617577051e-03
1.347050350759145886e+03 5.089931341167395346e-03
1.349293595939686384e+03 5.108617787835559136e-03
1.322780305884052268e+03 6.366060516330230082e-03
1.320304283077640093e+03 6.369108929727951805e-03
1.345331206403159285e+03 6.580804340387216671e-03
1.478532209041348324e+03 4.795522036442268453e-03
1.319148878626520855e+03 6.375181070470139003e-03
1.318662624544923119e+03 6.376060182646193543e-03
1.361404677585393529e+03 6.495396659402494048e-03
1.338830405640439722e+03 6.495728704173369880e-03
1.343198101969094068e+03 6.532750059937368799e-03
1.438038983855105926e+03 5.316463634971331162e-03
1.438569665927718233e+03 5.319431619586273245e-03
1.448141662804073803e+03 5.470939155910409767e-03
1.344206414671892617e+03 6.408751436316869644e-03
1.432261004280000634e+03 5.384038809175210188e-03
1.352427494006250072e+03 6.371867001621297523e-03
1.349775783537706047e+03 6.386983611172845562e-03
1.347880095090446275e+03 6.493354894936119795e-03
1.352444550275325355e+03 6.487489251733807340e-03
1.434631895587620193e+03 5.353899408246712982e-03
1.350951837498910663e+03 6.492922352229146821e-03
1.433543055367329089e+03 5.383170748201186392e-03
1.433815991523044204e+03 5.382019077534126728e-03
1.433601482471970485e+03 5.381824030013527584e-03
1.433417449116102944e+03 5.380200545117577726e-03
1.434236711992391520e+03 5.406781427155725114e-03
1.433260967530282414e+03 5.402686127951840389e-03
1.437491376960380876e+03 5.429384940144117710e-03
1.437425175574768446e+03 5.428607380928976954e-03
1.440344161777137288e+03 5.449444566883739939e-03
1.440708989112974450e+03 5.451299464401264568e-03
1.438898186200385908e+03 5.272063894422559030e-03
1.538464568574566329e+03 4.107420357394203289e-03
1.449867199308933323e+03 5.267000449521942219e-03
1.448058934414715168e+03 5.242948279811185386e-03
1.448070869418269012e+03 5.242587076724589297e-03
1.448334942875985462e+03 5.243918459990835543e-03
1.450310387891415076e+03 5.266962666678556143e-03
1.447306512917175951e+03 5.224968544240157255e-03
1.455622587215677186e+03 5.287429332946225018e-03
1.428993998747592741e+03 5.255383374671786408e-03
1.489862039190015139e+03 4.668375204878392679e-03
1.426604850194040182e+03 5.260877919621352768e-03
1.427471761768013494e+03 5.246959423579332892e-03
