# omega_modGR tau_modGR
1.606302044403998025e+03 1.151288854052491539e-02
1.606676520429855373e+03 6.158683582698000827e-03
1.612845659880249286e+03 7.836502969367558843e-03
1.613007500251110969e+03 7.815638304229358471e-03
1.613046943022171718e+03 7.815701341466507399e-03
1.615573653077869267e+03 1.433993418172689258e-02
1.621749665505957864e+03 1.075543663815617043e-02
1.621817853167066687e+03 1.363560610890557183e-02
1.590585976099626123e+03 9.402663770947493685e-03
1.589742970500917863e+03 1.011172218239631687e-02
1.594982527675358597e+03 7.771751783296435012e-03
1.594201035082891849e+03 7.773528236307934193e-03
1.597097005742801457e+03 8.824475855398639101e-03
1.679532177240117562e+03 2.609828119063927355e-03
1.632510883164133020e+03 4.529034188106677294e-03
1.621755494439102222e+03 8.781838273720246266e-03
1.944731132538111751e+03 3.839733603683506517e-03
1.828739994408391567e+03 3.651560359354306170e-03
1.716227649925379637e+03 4.187450548144923228e-03
2.259989177839405329e+03 1.678232049806775228e-03
1.761339354610651299e+03 2.628422029187014401e-03
2.038134908070624988e+03 3.275534034447305336e-03
1.646681111243473424e+03 2.414722339372931022e-03
4.048709154111103999e+03 3.485368656256006108e-03
4.163037764732862342e+03 6.180137761944821950e-03
3.841712482860182263e+03 2.576157672841145139e-03
1.693096308533434694e+03 5.978948246050708876e-03
1.656711642824000137e+03 4.997199077988747316e-03
2.623326067075435731e+03 3.354882110993875986e-03
1.607199826865046134e+03 4.274528055127746647e-03
3.139446532161908635e+03 1.776741770249725414e-03
1.743227575986524698e+03 4.219188952958098301e-03
3.987528728940133988e+03 6.341695576540930072e-03
1.511443615985242786e+03 5.919985427097027020e-03
1.774694375959998069e+03 5.261477926337763088e-03
3.314511840928817946e+03 4.257605531787537860e-03
1.578927689828957000e+03 4.298502085731668344e-03
1.620611994451830469e+03 2.469876723672514030e-03
3.563020647632105465e+03 3.020051506844904747e-03
3.614456227544151716e+03 3.905384023665960276e-03
1.570765092306245378e+03 4.589403577107388499e-03
1.580620929394860013e+03 3.133813570590610401e-03
1.573715736667458941e+03 4.275788680998743492e-03
1.649142890579727009e+03 5.047600238510474568e-03
1.610031161072231043e+03 1.283555430554440477e-02
1.617153441868451637e+03 1.262547035342494704e-02
1.617274124289695692e+03 1.247275835145380402e-02
1.579765121413781571e+03 3.797407144153180751e-03
1.580129161031698004e+03 5.069480369945409716e-03
1.559812918623695850e+03 7.527912535561474827e-03
1.566064694875571831e+03 6.633950954459949013e-03
1.566898838799176701e+03 4.248029431663147455e-03
1.687298375138034089e+03 4.517197421908748962e-03
1.650582305629772236e+03 9.049474142040101962e-03
1.563393749552914187e+03 3.826303513929847546e-03
1.510013258038397680e+03 5.401922319618376010e-03
1.701018963234844477e+03 3.722646876664233856e-03
1.580688568732637805e+03 3.076656028795839940e-03
1.583434709101292583e+03 7.235028734190556560e-03
1.760948910717132321e+03 2.106475219145910200e-03
1.528199474447241755e+03 3.649152378332718143e-03
1.961461145758183420e+03 3.827280160594861806e-03
1.898108650341241400e+03 4.569303783331983733e-03
1.851846888648418599e+03 4.184324954841116447e-03
1.923693565834292713e+03 2.626201270046991595e-03
1.881724988179608317e+03 3.435277686183334581e-03
1.493061199699305462e+03 5.182770682653307752e-03
1.803061855264204269e+03 5.425582210079569166e-03
1.825217231984475802e+03 3.233881100392849064e-03
1.722021343750768665e+03 2.943798495698343558e-03
1.552276355264046288e+03 3.098526236905151630e-03
1.566647159476013485e+03 4.099040564768272922e-03
1.751747998657881681e+03 3.727029056414928477e-03
1.752733475312086739e+03 3.748771955519770646e-03
1.612679257726162177e+03 5.052036184644007749e-03
1.534436733554431612e+03 4.758030052881087428e-03
1.540767136915971150e+03 5.278671799701131241e-03
2.011105146601277966e+03 2.934081563934733822e-03
2.052326340241082107e+03 3.224194563740903890e-03
1.657337846518411197e+03 3.082868040916071205e-03
2.009040867466915870e+03 2.470151958187737778e-03
2.099353699465499176e+03 2.361811953317396930e-03
1.792974204986801624e+03 2.512820699060270852e-03
1.837276297468728444e+03 3.386603598812060016e-03
1.740354378130620034e+03 3.900414848462198554e-03
2.298313235645976874e+03 2.134154985273879496e-03
2.665773641643918381e+03 3.196270156969695242e-03
1.897211296461345000e+03 4.762926054394350794e-03
2.017110506922323566e+03 3.391424958622246341e-03
4.223716163343574408e+03 3.033550430318150345e-03
1.973112483805445436e+03 4.926754699692685938e-03
1.696775329743543580e+03 4.632377672777982652e-03
2.246836780944448037e+03 4.349756028857986942e-03
2.199481239883609760e+03 4.999229337531867906e-03
2.000992254578355187e+03 3.066232641363022052e-03
1.640930193502752672e+03 2.540775337682970886e-03
1.709822711038636271e+03 3.066199827610928928e-03
1.617999164626901120e+03 1.125715086313682466e-02
1.618169296821973376e+03 4.103373401674740781e-03
1.560704636909082865e+03 3.479710999266436098e-03
2.375438143912726446e+03 2.316092523336505705e-03
3.790331751654365689e+03 2.315886980951200116e-03
1.519178550303916381e+03 6.262489914696490849e-03
1.612250773426701926e+03 3.456607104872389414e-03
1.558291937655435277e+03 4.133254916148704911e-03
2.261995909735608620e+03 1.841254106739305179e-03
2.259061107319366329e+03 1.841218016667674987e-03
1.475539047326191394e+03 5.542723477333400504e-03
1.456061009850523760e+03 4.799485246745669939e-03
1.470825949163204314e+03 4.792125705097403585e-03
1.469232923644498214e+03 5.910165135793920589e-03
1.508519761981227703e+03 5.958632347626394848e-03
2.903851610321301450e+03 2.182506560209933420e-03
1.494730692306037554e+03 4.650451990411341371e-03
1.491549141149286243e+03 7.454152465246852675e-03
1.616104702150229514e+03 7.229732496216480231e-03
1.595543350817089731e+03 7.153147094992662498e-03
1.713685996707417189e+03 5.607794043306664825e-03
3.944216332086596594e+03 4.691617334287877250e-03
1.652099981963482833e+03 5.251284652482412010e-03
1.646355987790530435e+03 5.206726631373431897e-03
1.824792865034324223e+03 3.641818312238223349e-03
1.778993523943718174e+03 4.980024328471181240e-03
1.986232178656807037e+03 2.506606415214353116e-03
3.664520807761872675e+03 3.085405044066798219e-03
3.987818088816976342e+03 2.999928299122346480e-03
2.021082052378068738e+03 2.987387024128372245e-03
2.673655457173763352e+03 4.266618216019294266e-03
1.831164906192669605e+03 2.542341450719687746e-03
1.632156286412207464e+03 3.441036007638369719e-03
1.805266911599582500e+03 3.939134746553087096e-03
2.150946665409528578e+03 3.253890172669038523e-03
1.893446684075529902e+03 2.927769035744977929e-03
1.563184219785138339e+03 3.921302569311567281e-03
1.902600768220735290e+03 3.614377255408655377e-03
2.083895104002237531e+03 3.521333089828450856e-03
1.716199663240347263e+03 3.292180224705938338e-03
1.596849150785783877e+03 4.857931753926438001e-03
2.153521414674458356e+03 2.665526297254383094e-03
1.642422168970465009e+03 2.274267348471765288e-03
2.118582475715136752e+03 2.313503633701457802e-03
1.787629437741559741e+03 2.443322228529235841e-03
2.074160122812350437e+03 2.055680936715687055e-03
3.643924146176349950e+03 2.087159707609692084e-03
3.233597119600394763e+03 3.204394748535890989e-03
3.454362168484994072e+03 1.953442650070735202e-03
1.229346327806186082e+03 2.446285699487771824e-03
4.102012001192567368e+03 3.322525766554973361e-03
4.063380110327654165e+03 5.507838655360169922e-03
4.115697125699906792e+03 4.515726008791506874e-03
4.085995099534105520e+03 5.031967745680958858e-03
3.445339602969429961e+03 1.396166720741629256e-03
2.478606982633850293e+03 1.653723947894758734e-03
4.072767114884888542e+03 3.250672439733631042e-03
1.723770100243562865e+03 2.760009308980208072e-03
1.796677146406541624e+03 5.390310481561969708e-03
1.529431882372342443e+03 6.010638265490769565e-03
1.579749812234911360e+03 8.627474373814295050e-03
1.564473881736482326e+03 5.403098498368954020e-03
1.534872667348289497e+03 6.631800936536557702e-03
4.329471490760965935e+03 3.965738845263330585e-03
1.545578318142408762e+03 5.481473412088469846e-03
1.938650310101226978e+03 4.122719195283230942e-03
2.561713213975723647e+03 1.867657529502875571e-03
1.987672695407011815e+03 1.038861183732728332e-03
1.651531444142715372e+03 1.308721018540412624e-02
1.654467440426644771e+03 9.280441190306716950e-03
1.688522646211404435e+03 3.314733562388925189e-03
1.685302193342199416e+03 7.019277147774947642e-03
1.649401846023808503e+03 6.423602976069574602e-03
1.671075955002694172e+03 6.436983717642024219e-03
1.594860667824555321e+03 4.487364024753790794e-03
1.583992528489448887e+03 5.750389683891620266e-03
1.604959773484477637e+03 5.492406574372429851e-03
1.611601677936365377e+03 7.335819114374772174e-03
1.618341032887213942e+03 1.140910571090932545e-02
1.616775395078018619e+03 6.304197518147741826e-03
1.593645785938331073e+03 4.933764276871584892e-03
1.623896426601679650e+03 7.175610997817767449e-03
1.626869612263982617e+03 9.337160429791709765e-03
1.838797692815828668e+03 3.379494875613254894e-03
1.884177967453240626e+03 2.993308378877256471e-03
1.667191126530436577e+03 4.480409826086984709e-03
1.722547618889479281e+03 2.865426379654663087e-03
1.555685667075780657e+03 3.640882264189582770e-03
2.467986260712529202e+03 2.298618516848175471e-03
1.610993968685654863e+03 6.122961993811495453e-03
1.614504869198089409e+03 7.684886313967985438e-03
1.584768013803824715e+03 6.304674568676988874e-03
2.206116604521805129e+03 3.178495652570754743e-03
1.570416504755324695e+03 2.530224815760848817e-03
1.680838759455164336e+03 3.798603629272610371e-03
1.513553109959054609e+03 4.661544731046699842e-03
1.501119118408416853e+03 4.754356332049096065e-03
1.563620219895694618e+03 4.724924349598056371e-03
1.760553641694156795e+03 3.430272547184256508e-03
1.927178008728360055e+03 2.654060467108302311e-03
1.740334903335630770e+03 4.749455980588747871e-03
1.685526083285328014e+03 4.293324246480107430e-03
1.980136009137725750e+03 3.334253530783602096e-03
1.608902539357941578e+03 6.179397218319016179e-03
1.843685433257660179e+03 5.411501715044863582e-03
1.591742236799736474e+03 4.635435908189604499e-03
1.538694650822723816e+03 6.084558352858161420e-03
