# domega dtau
1.404305961375318657e-01 1.405329602705324588e+00
1.404305961375318657e-01 2.867750735054617195e-01
1.447001761148429544e-01 6.373273048040690725e-01
1.447001761148429544e-01 6.329301796615069975e-01
1.447001761148429544e-01 6.329301796615069975e-01
1.466063494222368258e-01 1.996048425486693478e+00
1.508759293995479145e-01 1.247296013504695988e+00
1.508759293995479145e-01 1.849122344282341235e+00
1.183615194639122126e-01 9.722250698734561380e-01
1.139989229545806115e-01 1.117724566421491428e+00
1.175190682065801601e-01 6.276242847514248435e-01
1.175190682065801601e-01 6.276242847514248435e-01
1.198296760872278877e-01 8.478643730094200803e-01
1.710240459216327280e-01 -4.542299253697943406e-01
1.253791001091512092e-01 -1.340121571754209762e-01
1.310590808345451219e-01 8.361337453623640670e-01
3.458462399036106305e-01 -2.176303686157134987e-01
2.597670513710789164e-01 -2.988798562190859709e-01
1.837259788887820045e-01 -1.964086847078912457e-01
5.896913050394223532e-01 -6.491283866547923331e-01
2.397431083130816820e-01 -4.867552923635649065e-01
4.465749733020272227e-01 -3.548470758260071634e-01
1.736077905111164665e-01 -5.232540675383973161e-01
1.798721294585426289e+00 -3.317551783862298098e-01
1.879206078303213401e+00 1.849528067377989027e-01
1.658001724709747826e+00 -5.061501640052435969e-01
1.974438279667193319e-01 1.004233327057869607e-01
1.716767262867204547e-01 -8.043316107584255747e-02
8.233333935434703488e-01 -3.020129041837876782e-01
1.329420363938275396e-01 -2.213995450633732820e-01
1.377903882309614136e+00 -6.723769866774060855e-01
2.290155313227981437e-01 -2.314023900304856274e-01
1.769125066300129667e+00 3.207898487455413949e-01
6.589071735900632609e-02 8.250727998186813128e-02
2.713530936427351326e-01 2.362672986635699912e-03
1.301223111939942889e+00 -1.548899257603915114e-01
3.407736512404013762e-02 -8.591510803065363633e-02
6.246810078304181058e-02 -4.706451899401324912e-01
1.457363501656798288e+00 -4.585206523685314561e-01
1.492699123771049408e+00 -2.999281260102594215e-01
9.286827789882157180e-02 -1.806383961315782272e-01
1.016088127039508904e-01 -4.393819459590638243e-01
9.594559894382206910e-02 -2.349553064516718415e-01
1.492055343706662762e-01 -9.095570074777098446e-02
1.231640147063665230e-01 1.321539610889866712e+00
1.329250265770345052e-01 1.303635964520875712e+00
1.329250265770345052e-01 1.275474390365002542e+00
1.096309306209271583e-01 -3.099376367341638572e-01
1.096309306209271583e-01 -7.898248569731713964e-02
8.134504965117164699e-02 4.169432858978235901e-01
8.561462962848272185e-02 2.485368330252962776e-01
8.561462962848272185e-02 -2.007698297145172894e-01
1.681411699084741640e-01 -1.518754909607039072e-01
1.469525807804849538e-01 7.003060269424982165e-01
1.647844450534755312e-01 -2.957421320668008891e-01
1.499057706105640098e-01 1.675270767249145143e-01
2.668376845345860615e-01 -3.135500789131280830e-01
1.797647490716960395e-01 -4.280964869380532445e-01
1.047500584602936297e-01 4.577135498934354896e-01
2.057884335665495779e-01 -5.787106977308764666e-01
1.576080233421587595e-01 -3.223912779562229103e-01
3.454155115477222648e-01 -2.335837524862919568e-01
3.033842316779029602e-01 -9.800105127206482081e-02
2.732588996027756068e-01 -1.712926897980414642e-01
3.220762372000990914e-01 -4.786179001665147315e-01
4.575652691858491661e-01 -3.996838891776863245e-01
2.624494586091724591e-02 2.742572398049610005e-02
2.394072736191569517e-01 7.589038277613606442e-02
2.545709612279936085e-01 -3.586588392788061519e-01
1.833624253925772718e-01 -4.158519632189485726e-01
6.637407162807940075e-02 -3.876592973173300649e-01
7.652017489201935752e-02 -1.897140299438715427e-01
2.538921713435897676e-01 -3.483023159898042120e-01
2.566688320366128928e-01 -3.474350628982070255e-01
1.058694210301831529e-01 -1.025840001125852829e-01
5.195959398172569910e-02 -1.548237909550383984e-01
5.622917395903677396e-02 -6.266177041113096813e-02
3.777324874404492938e-01 -4.794545780967409687e-01
4.016245052073454946e-01 -4.290818828441658739e-01
1.388780707541588388e-01 -4.385303964652695341e-01
3.787655237790614193e-01 -5.508836556399585582e-01
4.297173769448911496e-01 -5.519611453520175681e-01
2.317632103804873611e-01 -5.379749484740057319e-01
2.469534289038806119e-01 -3.571484312950292117e-01
1.694128831281268843e-01 -2.522177093564808570e-01
5.446855089550812767e-01 -5.931579296383375777e-01
7.916850671992998745e-01 -3.903351217983908050e-01
4.479294803097889632e-01 -2.319251168654210271e-01
5.791851204807431097e-01 -4.473056410647044956e-01
1.848875770932361995e+00 -4.137054101997116873e-01
5.369499471358236686e-01 -1.999226457739401996e-01
3.099688585855218670e-01 -2.468743938107777203e-01
7.153273469381777883e-01 -2.965131193810416343e-01
6.500470857031627192e-01 -1.818603442432565886e-01
5.385962606258749563e-01 -5.086122516586604192e-01
1.061389044313467978e-01 -4.935194663883888389e-01
1.536882196267095602e-01 -3.876156593508569559e-01
1.134336993344685213e-01 1.088604741683800281e+00
1.134336993344685213e-01 -2.388349487030972940e-01
6.777996633465398213e-02 -3.338560135614113689e-01
6.245418096080581627e-01 -5.557580102292738466e-01
1.591618446050960811e+00 -5.557580102292738466e-01
1.146873254535892422e-01 2.417100061958903645e-01
1.042167532805076957e-01 -3.333888940560614245e-01
1.461379027448522216e-01 -1.816802095595361211e-01
5.485210665368600580e-01 -6.445657237908075654e-01
5.464692470248280198e-01 -6.445657237908075654e-01
8.547063480584489448e-02 9.691015547012127307e-02
7.257397024314427014e-02 -5.061544822654399922e-02
8.488315868398205177e-02 -5.751771729333643446e-02
8.488315868398205177e-02 1.617040165222220494e-01
1.195423261310993579e-01 1.712286120924479960e-01
1.130288379615627115e+00 -6.567722683724803723e-01
1.096323841671282967e-01 -8.634288388166311279e-02
1.054296452882289292e-01 4.591329347434033314e-01
2.217483847933010843e-01 1.356682013422204625e-01
2.084663901096079630e-01 1.231001344010927284e-01
2.738023087185207372e-01 -1.478558314078822211e-01
1.667656685439372399e+00 -2.166702631429817671e-02
2.523984280558432269e-01 -1.762924700591828875e-01
2.485043233546532504e-01 -1.833943717243057825e-01
3.403750516494497003e-01 -4.393231848332982969e-01
3.287668971730014489e-01 -2.333386206120924289e-01
4.787336102880441757e-01 -6.163014974985305816e-01
1.548276402033272436e+00 -4.196508702192155438e-01
1.772071581424091047e+00 -4.360434509437926542e-01
3.956383579660265881e-01 -4.539535280883147950e-01
9.890214984775056450e-01 -3.342512565175512762e-01
2.785134139103357387e-01 -5.278003110996978275e-01
2.068345945684129661e-01 -4.599642448966981267e-01
3.374568825557481277e-01 -3.832558549763146472e-01
5.957997104076194761e-01 -4.988892143864486206e-01
4.000179775873763943e-01 -5.487053739684393250e-01
