# mf_modGR af_modGR
1.009180355234300208e+02 9.726429213377256744e-01
8.267161719870847492e+01 8.889280714943185169e-01
9.001941164436249210e+01 9.366153114785290557e-01
8.993417617447207135e+01 9.362476893343155693e-01
8.993294337126270932e+01 9.362523626801326770e-01
1.058789654093299646e+02 9.831465592504543549e-01
9.845042463658171528e+01 9.689347557308687353e-01
1.043675205257430036e+02 9.813862804002291274e-01
9.617629461957321269e+01 9.564616382764146163e-01
9.823089969267138599e+01 9.628616820725099945e-01
9.044179300501826901e+01 9.337739478660883607e-01
9.047820871706170465e+01 9.337348056589418466e-01
9.410091353630535593e+01 9.503330512162786459e-01
4.632448855288609479e+01 9.559527735994799436e-02
7.112798146911698893e+01 7.765657365335071338e-01
9.296547559306038977e+01 9.514769526470737704e-01
6.002236551092908456e+01 7.819608443448372581e-01
5.995239038204557858e+01 7.116881524818731153e-01
6.662720276053248369e+01 7.602542366165574439e-01
2.839769522083258479e+01 -4.071162307351574583e-01
4.684829199169810465e+01 2.285041218489155534e-01
5.378442919974079928e+01 7.114938233816940905e-01
4.179897802471827362e+01 -2.134554584434709135e-01
3.713424722779322451e+01 9.504715509386820749e-01
4.203404008220881849e+01 9.865140099284864794e-01
3.457741483776255365e+01 8.889763932620409204e-01
7.916529158499817243e+01 8.946678478512111177e-01
7.418169005036723718e+01 8.304649900844354171e-01
4.818348862448294057e+01 8.535810057945772966e-01
6.936390197072701369e+01 7.316382455685126462e-01
3.094929382589853262e+01 5.394957112044228564e-01
6.642416772226488320e+01 7.736470197388867209e-01
4.372403336364469340e+01 9.860110773607474455e-01
8.424416001352120986e+01 8.592313004197171811e-01
7.307831546973841341e+01 8.727430992040244861e-01
4.536047847978371550e+01 9.504765477110308503e-01
7.010813461325780338e+01 7.232883984913022202e-01
4.286357383448815028e+01 -1.888833111659642405e-01
3.851021018536876994e+01 9.085539779930089654e-01
4.159980496771490976e+01 9.505074162471645050e-01
7.292080472305063665e+01 7.620915341915915908e-01
5.571606299648170335e+01 3.629576860212027078e-01
6.998460655917520512e+01 7.172042644745255657e-01
7.471440302443001258e+01 8.326802319564898802e-01
1.034793267127574694e+02 9.784751556802752104e-01
1.027260003801273598e+02 9.779082137658745566e-01
1.024193632216580028e+02 9.773255293099106789e-01
6.480735382880246220e+01 6.200980633283683652e-01
7.655249166405283745e+01 8.163846305216054811e-01
9.078511665787212337e+01 9.251193778761835906e-01
8.645633144392212444e+01 9.008272909123655747e-01
6.983579507965660582e+01 7.093175236697879527e-01
6.992249903689757673e+01 7.926834631750765414e-01
9.264623335925773517e+01 9.563401005350264938e-01
6.535888122479954632e+01 6.172694371313863781e-01
8.081444238820444070e+01 8.242779568156294312e-01
6.237491278533526895e+01 6.697970358133384927e-01
5.477806885536331549e+01 3.292969799397313935e-01
8.865764434167036256e+01 9.207915991282203949e-01
3.515928362513071193e+01 -5.107861720297337538e-01
6.356881767168955122e+01 5.391966990262672121e-01
5.967681613025524001e+01 7.848000081070694023e-01
6.615637715500032812e+01 8.483748261171165650e-01
6.424892813812211045e+01 8.009025667498829160e-01
4.659325787246208250e+01 3.969702670671662048e-01
5.712178436279464933e+01 6.868136485724656293e-01
7.963315602080251665e+01 8.002388080763320755e-01
7.332860102213646769e+01 8.859246590487549478e-01
5.546715397502542544e+01 6.036096423509464959e-01
5.220599445361838775e+01 4.026471033003478084e-01
