	maP	maxL	KL	stdev	mean	median	stacc	injection	value
dist	1928.7081387623168	2136.8876422422823	None	480.822122764	2313.4165210430474	2346.6912664402553	None	None
chain	14.0	14.0	None	10.4665278297	17.448869427352687	17.0	None	None
v1_end_time	1251009263.7336302	1251009263.7333486	None	0.0139709529556	1251009263.7398107	1251009263.732748	None	None
f_ref	20.0	20.0	None	0.0	20.0	20.0	None	None
h1l1_relative_phase	0.010441097668390853	0.10317239206643425	None	0.108964257561	0.09670158330087283	0.09602745552786995	None	None
l1_optimal_snr	12.374497889427428	13.073656669801789	None	0.788595170078	12.610286697347348	12.606665032290222	None	None
v1_spcal_freq_5	82.3969071844436	82.3969071844436	None	1.42108547152e-14	82.39690718444362	82.3969071844436	None	None
h1_cplx_snr_arg	-0.012355426744518894	0.025176063748353947	None	0.0857597922961	0.055584818319419686	0.055359645186026214	None	None
sky_frame	1.0	1.0	None	0.0	1.0	1.0	None	None
mc_source	28.227006756613253	29.171595938176434	None	1.77055632371	26.161297512767405	25.970805878170797	None	None
v1_spcal_amp_9	-0.020044138100418017	-0.009607515091045514	None	0.0498352026043	-0.0008409127318838789	-0.0009294315190282263	None	None
v1_spcal_amp_8	0.015456854110811304	0.035033290014602966	None	0.0494282461574	0.002096505395696369	0.001988172576084862	None	None
v1_spcal_amp_1	-0.022235986829545445	0.006733604126536871	None	0.0493797169263	-0.00187239139371127	-0.0018793158419601575	None	None
v1_spcal_amp_0	-0.006835857607568353	0.007428548684960009	None	0.0498168213307	0.00013416883475846842	0.00025034575640951176	None	None
v1_spcal_amp_3	0.017701277764738253	-0.07047472579151846	None	0.0499928994817	0.0012641312856030058	0.0012635865604166494	None	None
v1_spcal_amp_2	0.07412454519498225	0.03209598524269432	None	0.0498317953615	-0.0006309030781835508	-0.0005598153675625507	None	None
v1_spcal_amp_5	0.009817995914077688	-0.1084326238967297	None	0.0494875440134	-0.0010545917006547405	-0.0008815269547378154	None	None
v1_spcal_amp_4	0.020032706071343363	0.06257849050109693	None	0.050750102655	-0.0032703286326943976	-0.0036062429660420545	None	None
v1_spcal_amp_7	-0.03749724661818865	0.03550930652921251	None	0.0497602659917	-0.0007837919956777512	-0.0009666549853878936	None	None
v1_spcal_amp_6	-0.015504753765275964	0.03361581670257575	None	0.048866083974	-0.0005503340962251136	-0.0003394593939604748	None	None
psi	0.5510534395420147	0.011475368302061313	None	0.987884461664	1.5256640897351095	1.4871177972510132	None	None
h1v1_relative_phase	-0.4266106545957564	-0.22424157593918004	None	0.780539122033	0.07184715213779158	0.11813303185418134	None	None
costheta_jn	-0.4851999319635996	-0.6816861424084454	None	0.710296809051	-0.4222512283407416	-0.794383850714728	None	None
l1_cplx_snr_amp	12.420398923952774	12.544614429091302	None	0.165667587034	12.294194523568507	12.314423529457741	None	None
eta	0.24074330719930057	0.24163588213584639	None	0.0151707102414	0.23788027179105148	0.24363338359161904	None	None
l1_cplx_snr_arg	-0.022796524412909906	-0.07799632831808008	None	0.077445926758	-0.04111676498145313	-0.041168119494531474	None	None
t0	1251009263.7336302	1251009263.7333486	None	0.0139708943265	1251009263.7398155	1251009263.7327497	None	None
lal_approximant	94.0	94.0	None	0.0	94.0	94.0	None	None
e_rad_evol	3.932491857335485	4.55373894236056	None	0.577462558245	3.469968494973113	3.405457943340771	None	None
lal_amporder	1.0	1.0	None	0.0	1.0	1.0	None	None
psdscaleflag	0.0	0.0	None	0.0	0.0	0.0	None	None
logl	-2800.1840610563954	-2795.6094648460703	None	3.15177878762	-2804.9219321939654	-2804.6643555200812	None	None
m1_source	39.548752972529336	40.45623340042886	None	5.83469058397	36.78057121452354	35.67469123040879	None	None
v1h1_delay	0.020906686782836914	0.0211489200592041	None	0.0140566940962	0.013705070433397578	0.021178722381591797	None	None
h1_cplx_snr_amp	11.64699348691999	11.923488649838806	None	0.168009872213	11.526571001612627	11.548160503236899	None	None
l1v1_delay	-0.021376848220825195	-0.02145242691040039	None	0.0139972892735	-0.014067037320389924	-0.02149033546447754	None	None
loglv1	1.239291184501326	1.3069825253720637	None	25.1049232753	1.4598979219528123	1.1557320882499198	None	None
ra	2.5026386746211537	2.482984736966084	None	1.16069810089	3.024104446161665	2.4839988145446736	None	None
l1_end_time	1251009263.755007	1251009263.754801	None	0.00110782367235	1251009263.753878	1251009263.7539968	None	None
af_evol	0.7994053245362505	0.8453458345592114	None	0.0459312976733	0.7776124797794021	0.7785920678629522	None	None
mf_source_evol	62.40091358665129	63.84740009724346	None	4.39911776561	58.57212067706885	58.03309042993341	None	None
h1_optimal_snr	10.315944276609777	10.866530601648591	None	0.67072425757	10.527480155009973	10.522255614981226	None	None
domega220	0.207169400852316	0.18149714028014655	None	0.35143922935	0.257235579815128	0.15498673254571274	None	None
loglh1	66.93121193543277	70.48515081993412	None	24.1872184987	65.71211730662903	65.28807231722021	None	None
mf_evol	84.41201688902274	88.42853002896547	None	6.52399064866	82.502689459287	81.64020429817101	None	None
