# df dtau f tau ell mf af z
1.346033788580388579e-01 7.801804234659037718e-02 2.540910564133330638e+02 4.233443507448972527e-03 9.052251621861670117e+01 6.860378341860257478e+01 6.906506125015005049e-01 9.794499586531527080e-02
3.333473696542940123e-01 6.965293877327558558e-01 2.505025490309299130e+02 4.744385684535154524e-03 7.142024961706003694e+01 6.971629859038057475e+01 7.054707657243414198e-01 1.010847213186905347e-01
1.775589727375414262e-01 5.050912163948952927e-01 2.518172477918259915e+02 4.802175858964122593e-03 8.038069256209760738e+01 6.850002464865613661e+01 6.906943932130267250e-01 1.054616178263833998e-01
8.721977397227949069e-01 -5.427715581039431747e-01 2.427880438585092406e+02 4.003375168082058677e-03 4.038398594894985649e+01 6.873777366092724606e+01 6.939849476215802504e-01 1.081073077882499650e-01
2.313081179533440779e-01 3.374688584046480755e-01 2.405532409315051439e+02 4.068471633483752153e-03 4.162462907581000593e+01 6.840911011285534471e+01 6.886009574620760576e-01 7.090957649113024952e-02
9.863030456069694640e-01 -5.792942813405352886e-01 2.505050447986918698e+02 3.912803822310072753e-03 5.073661304344737744e+01 6.863803284043433450e+01 6.963158903691962776e-01 9.623056464762413942e-02
2.233579185318701477e-01 -1.544418005033336705e-01 2.555703705257497802e+02 3.793414223662323198e-03 8.150114952482024933e+01 6.853869477073342864e+01 6.893380520684759816e-01 1.221020900538425519e-01
4.726374261650396202e-01 -6.637748817763117204e-01 2.475170044667349600e+02 3.791370930741323059e-03 5.766603342755537653e+01 6.873529854580397114e+01 6.933291725485498658e-01 1.124934287195910460e-01
4.190169345914536159e-01 2.203840206835623317e-01 2.487552043825834005e+02 4.573672564182476759e-03 7.737116330739986836e+01 7.295874780968013340e+01 7.332602960079847021e-01 9.961002335326199497e-02
-6.714155060648718809e-02 6.471324760509244989e-01 2.381231500130862173e+02 4.072918752766835002e-03 1.381252932352396101e+01 6.901402328989436796e+01 6.949148575531628458e-01 1.061717718617342793e-01
1.221249232905315812e-01 4.320454804398730086e-01 2.513425435317305414e+02 5.009656853529264112e-03 8.858220409318694522e+01 6.877065179589918387e+01 6.946970414760530455e-01 1.150203547576798407e-01
7.260193254492945947e-01 2.015728775790641136e-01 2.488643766100117034e+02 3.998253360355907664e-03 4.715588818696095075e+01 6.729498292162134021e+01 6.807076447151350074e-01 9.405197803841500170e-02
8.413696685381749640e-01 -8.672271479299654695e-01 2.564704623828607168e+02 3.659239602576026297e-03 5.560540826027826000e+01 6.748978196764542759e+01 6.829622762671686553e-01 8.862607708141122254e-02
1.082207904843048851e-01 -2.771785673836579811e-01 2.534216202790546788e+02 3.387129088618208699e-03 8.584272890588184168e+01 6.729242096151790520e+01 6.832718298003280788e-01 1.058102601309133944e-01
7.031881783505460337e-01 3.281771103282464797e-01 2.492610010385655244e+02 4.027022460487268869e-03 4.728314401577171111e+01 6.730966834140355104e+01 6.851398221323767856e-01 1.063007787869153647e-01
2.089627790737780266e-01 -2.191628334662671929e-01 2.407741098668167581e+02 4.000072774483325912e-03 9.275272249583089490e+00 6.790772766231054902e+01 6.858321182588084097e-01 9.662359017320604204e-02
4.311822468998482982e-01 8.821906645069859110e-01 2.608262013883746704e+02 4.899218180542615035e-03 7.250941494872816406e+01 6.786317261788543931e+01 6.771455986283605455e-01 8.740205060001678128e-02
7.740858953211153803e-01 -7.831259279008229157e-02 2.464037035447346398e+02 4.102943048858010908e-03 5.509168258761784642e+01 6.991454213358034053e+01 6.982078403268724420e-01 8.831866125976289839e-02
9.515553841425852255e-01 6.380012198140492252e-01 2.548078018335727677e+02 4.139846875894076864e-03 5.170106822177493910e+01 6.736654117335832836e+01 6.833249709237801950e-01 9.827277356121205676e-02
3.192811961410733090e-01 -2.087796448447392095e-01 2.427705747202148814e+02 3.955680194300387024e-03 2.088037390366695689e+01 6.722998755842198193e+01 6.818773018659239904e-01 5.984040993850110041e-02
2.088832254399951294e-01 9.213907754460334276e-01 2.474892732340818498e+02 4.462769428671930529e-03 6.192068732041724388e+01 6.707671519096903978e+01 6.710371942454874672e-01 1.240182710940860439e-01
5.290779454695859751e-01 -5.097331013400739907e-01 2.415400365559885074e+02 4.002031807599140852e-03 2.385595759246833936e+01 6.797779928597785215e+01 6.911636840554732375e-01 9.444707336424242039e-02
6.853672089190281369e-01 -5.891636736159268084e-01 2.441559996554442478e+02 3.914893553029039248e-03 4.136975562030876574e+01 6.766204520320138727e+01 6.778406665628072814e-01 1.067615464684428528e-01
8.102851656988708795e-01 -4.138305451503550003e-01 2.374921835319953516e+02 4.073238545509263488e-03 2.007303853052714970e+01 6.911983983233238860e+01 6.913379322929348314e-01 7.659511002598812235e-02
4.082444988437299305e-01 4.104730159466636330e-01 2.589893163231128028e+02 4.346503775278400331e-03 7.009304150765126451e+01 6.752077440640704253e+01 6.785466643216481186e-01 5.269092582139429937e-02
3.976226390598339711e-01 -4.785966470341279644e-01 2.503390021093517817e+02 3.763495418317119607e-03 5.624416064398518245e+01 6.709404697798586881e+01 6.802099806811217064e-01 9.710743265864776874e-02
1.649688521925251061e-01 -4.445522855195653822e-01 2.399363083760004827e+02 4.011859666990729573e-03 6.860055450782095221e+00 6.811669300277702632e+01 6.851820826087976490e-01 8.861073938797447980e-02
2.345412637688524260e-01 1.584560974088153884e-01 2.452887890684431511e+02 4.068081332275790517e-03 5.869266670732105950e+01 6.791021224764219255e+01 6.831587576549208451e-01 8.881757829858655251e-02
2.237212579479942454e-01 -3.495917324926711700e-03 2.416066379597625939e+02 3.966621004971056588e-03 8.770907388267973559e+00 6.742157487629441448e+01 6.792547134077836501e-01 8.376052472130605941e-02
2.524742062926239039e-01 6.395115497292174211e-01 2.511104729062095657e+02 4.568237056623226239e-03 7.065915639154420091e+01 6.756048782734450242e+01 6.682032379698058522e-01 7.842637221383530477e-02
5.182441903537806649e-01 6.802823276833902533e-01 2.423174064448949991e+02 3.959247468500093695e-03 2.565848486690516594e+01 6.716424820186114175e+01 6.744870539253300379e-01 8.579313789788763078e-02
4.427435824402925491e-01 5.688386721519451683e-01 2.475789135233024751e+02 3.827812582336029973e-03 1.211462127222167418e+01 6.523476244880164643e+01 6.638808159638026618e-01 1.028990908402781235e-01
8.935458857195639482e-01 4.445005830017163539e-01 2.459152098487973888e+02 4.055868252106143053e-03 4.589304139505266278e+01 6.782348947597580491e+01 6.690197514543618773e-01 9.571610338568252441e-02
1.484481972648127313e-02 2.922670134278528842e-01 2.411931797583484638e+02 4.037870189803439286e-03 4.804444865502048856e+01 6.762104775849876148e+01 6.804507405911844886e-01 9.755222348241279762e-02
4.294336903774731429e-01 -4.261093544819172241e-02 2.596843092155024806e+02 3.913025436284232363e-03 6.604682947439670215e+01 6.695478591961473569e+01 6.864662639659648846e-01 1.010683042954456934e-01
9.098491127383745436e-01 3.798947448764087298e-01 2.501382331840605104e+02 3.993012729972046128e-03 4.505472953142199088e+01 6.688197801723921998e+01 6.754271267534984746e-01 1.242233377034625691e-01
-6.631264000456411623e-01 -2.754826657657996059e-01 2.424333686116271736e+02 3.924169221653641543e-03 1.629385014049866953e+01 6.682907197854748915e+01 6.700126664599878046e-01 5.584715932339298639e-02
7.622091669435606676e-01 3.287603580172664408e-01 2.527434749615418923e+02 4.181760034191800077e-03 5.781328186639842670e+01 6.869979324645044017e+01 6.902656331953899160e-01 8.828671670533892735e-02
-6.660652086820019191e-01 1.426327325645529998e-01 2.463575931764274003e+02 3.811226096511403493e-03 3.013478193258330773e+00 6.510340949024327983e+01 6.514738992293730435e-01 6.847035640515332366e-02
1.390479736581891612e-01 -1.080918836338735645e-01 2.410425610604816882e+02 3.991334382349195735e-03 2.092592742248098503e+01 6.778917681357523861e+01 6.843658795055002075e-01 1.092163529454464876e-01
9.380895058407658915e-01 4.664741186879187707e-01 2.483683404428860513e+02 4.027266430991380437e-03 4.429723525357679392e+01 6.731137018268799466e+01 6.773137301264720023e-01 1.210260303362419854e-01
9.692933839349511249e-01 7.851845871302940427e-01 2.453720571276745659e+02 4.103804215165322150e-03 4.124918167125741064e+01 6.818217882294329968e+01 6.913166786945700304e-01 1.056837030661162552e-01
9.090650487524409851e-01 9.527185631846961655e-01 2.405929740719552399e+02 4.035801865753551633e-03 2.836373254907895358e+01 6.815932703465148279e+01 6.835557169629012941e-01 9.800291720023114606e-02
4.868202997936816878e-01 -3.984809927648913508e-01 2.477614794145336816e+02 3.890744199809019824e-03 5.758287096937330318e+01 6.866205436277758167e+01 6.910963210215190777e-01 9.649022188512704212e-02
1.890520477909991004e-01 8.013094047390314500e-01 2.442157037619256812e+02 4.729949730480575987e-03 7.102503184470677411e+01 6.791251197813298290e+01 6.468745515629925613e-01 7.640932781279549668e-02
6.422056673837926999e-01 -3.333263146732498572e-01 2.487841560961779237e+02 3.914788589464369452e-03 5.551832299703816886e+01 6.846563323694934411e+01 6.823830310225970086e-01 6.720491937608978616e-02
7.292563502300073441e-01 7.356232154263638856e-01 2.407105824715898166e+02 4.053950978615000408e-03 3.292355577649723131e+01 6.830040563385961150e+01 6.847917151543224668e-01 1.064397682675537193e-01
1.112882570369588819e-02 1.757338442764448949e-01 2.419833909688093740e+02 4.004362911909805506e-03 5.827558391987014375e+01 6.688428746732651575e+01 6.659702264502079805e-01 7.892521690308390570e-02
1.801417761592540856e-01 8.817138458388029676e-01 2.478734977013385503e+02 4.959990677469891009e-03 7.328345940385689516e+01 6.853812022338634335e+01 6.903357317783772595e-01 9.279233956033419717e-02
1.076032357410561247e-02 -2.004799244741832243e-01 2.415034101204457215e+02 3.901004809862437545e-03 8.686111081562870595e-01 6.659302718344858363e+01 6.558400459039771535e-01 6.647361249519935511e-02
8.212801581437458864e-01 4.339888787359935662e-02 2.449235046610702682e+02 3.903574683012018837e-03 3.649294689786973578e+01 6.654444517940132187e+01 6.590454037147522870e-01 8.586546048281638865e-02
7.483663203296142541e-01 -1.358149325387447703e-01 2.427554285887408980e+02 3.901381792232064011e-03 1.721813036499719018e+01 6.652610855724805106e+01 6.625359373796922968e-01 7.287087718412610382e-02
-6.652476377579938926e-01 -6.144635597347511968e-01 2.423184819722757481e+02 3.878983907779069706e-03 1.428618170721718172e+01 6.626189518330306782e+01 6.534030232682318529e-01 1.129705658081023717e-01
-9.669328065872169198e-01 9.899071915891477502e-01 2.409598681478267395e+02 3.914570742854167965e-03 2.390478760854011853e+01 6.659975524090347676e+01 6.565137290895777245e-01 1.044538893222667214e-01
7.041155141274039186e-01 5.194845242417868159e-01 2.537111333327951002e+02 4.125979920472161271e-03 5.489785117841710615e+01 6.713638076130330035e+01 6.724177287463900532e-01 8.631555111370181610e-02
-3.234930463920742127e-01 -6.403561498922769601e-01 2.431285626924071437e+02 3.926445994878344399e-03 9.566905084552006500e+00 6.680472652839236503e+01 6.741367367614357065e-01 1.003357819017702546e-01
-8.433479764855518201e-01 6.686520520950973712e-01 2.430517209349063990e+02 3.953636075212356264e-03 8.512546309925525634e+00 6.715954757421253873e+01 6.827144907155607845e-01 7.125794945459133778e-02
2.755665635771618049e-01 1.544557907160724886e-01 2.560198687317267741e+02 4.119975626785511193e-03 7.109039421314520268e+01 6.735719965704393530e+01 6.887185501495191042e-01 7.720704837868797021e-02
2.805504294868718107e-01 -9.790488707918298950e-02 2.556398875398635084e+02 3.834962084276052202e-03 6.882117132975746188e+01 6.669938104302697468e+01 6.744065394223038856e-01 1.048569825346608170e-01
-1.292271429445555064e-01 8.574155399986143353e-04 2.422988040396586200e+02 3.975014543484962568e-03 3.019572711532005371e+01 6.747062891190310552e+01 6.869055594586678248e-01 7.357423997233944468e-02
2.337490708487271196e-01 -9.366951240783486510e-01 2.414164627070302913e+02 3.948713020225529981e-03 2.966419644116255938e+01 6.758210707618167135e+01 6.794886768435300928e-01 1.207320129748787468e-01
-7.193529207566062844e-01 7.019765267318509583e-01 2.409366678139591897e+02 3.928523221434682827e-03 2.869095980570162752e+01 6.666512605229196708e+01 6.611484278088209932e-01 1.036428700179317514e-01
3.582419625636159566e-01 9.898893819382363901e-01 2.458043000697969944e+02 4.040479085337590759e-03 4.296518996190611972e+01 6.653460949733411667e+01 6.689753723099144400e-01 1.078702285258685278e-01
8.129169836898375578e-01 -5.559149729970869203e-01 2.428210611257592291e+02 3.940050848067656528e-03 1.511914772564665554e+00 6.699753627816298263e+01 6.768757709462650540e-01 9.950305425609687338e-02
6.466053817215710042e-01 4.446592193071907673e-02 2.404605951668196155e+02 3.972040655352835833e-03 5.011450103512979126e+01 6.795963779475314936e+01 6.286637717895499078e-01 9.226498666951578331e-02
9.063629353949722578e-01 1.035283688119830181e-01 2.518792828525013192e+02 3.966643576138352903e-03 4.829833359601933296e+01 6.707176516030492053e+01 6.776495355298005618e-01 1.044909649426472853e-01
5.442403713009091870e-01 7.287997431418755667e-01 2.482452897732594579e+02 4.363008244188148685e-03 6.246942277283588396e+01 6.775913566465052895e+01 6.246688938815831982e-01 1.021080186728281769e-01
-4.183950713401591859e-01 -4.293632038120671068e-01 2.431917033827712089e+02 3.924530753385674017e-03 3.051891748122629267e+01 6.691367445847657791e+01 6.824350963519240088e-01 6.808856134490280654e-02
9.462918936509772116e-01 4.455882073677122079e-01 2.537085202550559870e+02 4.029012646049923846e-03 4.790570451522842887e+01 6.687096484401062924e+01 6.840283974066588835e-01 7.755270828702058583e-02
7.979760384224422465e-01 -1.778503118293510710e-01 2.526647809741986066e+02 3.923194445038305327e-03 5.405273573214829241e+01 6.767526789213134464e+01 6.775143004867354435e-01 6.148060521410902979e-02
1.306216929834436158e-02 -8.607420647541021985e-01 2.411347169363708076e+02 3.965715638638624488e-03 1.659943959874334851e+00 6.744132366255745126e+01 6.763348301447940081e-01 8.920340105046428714e-02
3.670475515399160282e-01 2.486200185958352959e-01 2.410772738920073550e+02 3.966896431832088454e-03 1.266188404653573230e+01 6.746058718020552192e+01 6.762023233062999239e-01 9.919265093856545479e-02
6.892518022293305791e-01 4.932698558383235010e-01 2.587244070799771407e+02 4.359997422658558330e-03 6.458872158420868459e+01 6.870199715135595397e+01 6.922556206399730350e-01 7.602224752559791354e-02
7.653049135540874737e-01 7.333487294031604264e-01 2.502347332164447380e+02 4.276096796230033359e-03 5.405901416495204614e+01 6.865072032853942119e+01 6.947833305929322911e-01 1.255942946461902909e-01
8.484443716421721238e-01 5.774987056338867220e-01 2.489069095815500248e+02 4.299698754633984876e-03 5.353810396757613432e+01 6.983214434330361087e+01 7.166328475721450708e-01 1.027565748975242110e-01
8.594135915815561688e-01 -3.967730103222605886e-01 2.529732269192777494e+02 3.888660317463386688e-03 5.381096804535422962e+01 6.806999258563055832e+01 6.878993640552395483e-01 1.278731558159534598e-01
6.044903471934468531e-01 6.875813712635614472e-02 2.580256706667186677e+02 4.114347799536456109e-03 6.666155836268008272e+01 6.891154660489776518e+01 6.950382996706233607e-01 8.825758122560908858e-02
9.201061282288691690e-01 -7.215957503426303488e-01 2.577433095347295762e+02 3.723875350588300333e-03 5.609112412408070014e+01 6.774092324329166104e+01 6.872060584957614404e-01 1.297153396492074784e-01
7.098533981025375583e-01 8.261423898980742031e-01 2.556159523186541094e+02 4.505257128462379981e-03 6.191020637351851974e+01 6.901382415114494506e+01 6.991879347632247166e-01 1.166758799283291043e-01
-6.410511608331082023e-01 8.289648513464811241e-01 2.362944186909546715e+02 4.144613264313659617e-03 4.149699968645434467e+01 6.871856919080278203e+01 6.971291901781694333e-01 1.142546499780487806e-01
5.035612752274006843e-01 2.287822952372362550e-01 2.493195130543849132e+02 4.147828589223712462e-03 5.836757290681542543e+01 6.865607252013296602e+01 6.966448026393745607e-01 1.037164359302600730e-01
7.789144404025796220e-01 -5.432312147096189925e-01 2.424547956491500145e+02 3.888632459254662017e-03 2.124344106027228918e+01 6.643816216707921285e+01 6.569023198711475553e-01 1.328094354131033328e-01
-6.293929968097038419e-01 -3.868421929289201366e-01 2.422618237038608413e+02 3.894851416036503814e-03 1.855455655978971663e+00 6.645411274340700913e+01 6.582162986030458685e-01 1.264694630436257738e-01
1.695240259641377367e-01 -2.222236117795577393e-01 2.495335586993672905e+02 3.730054228330392796e-03 1.187936324253158205e+00 6.384855347670298897e+01 6.394356303960253562e-01 9.040041467185219726e-02
-4.216185260086369180e-01 -1.193074914428220445e-01 2.495398543295525542e+02 3.736887671407358898e-03 1.703575410356514652e+01 6.394057949771708138e+01 6.426092625328915231e-01 9.322385678415186228e-02
2.999825373413007590e-01 8.419514414649746925e-01 2.494525339035715774e+02 4.654939747843965005e-03 6.671618086669681702e+01 6.870652125062392201e+01 6.979289875653246211e-01 1.075233064996239107e-01
3.837031526213302568e-01 7.477158141906938837e-01 2.458759157715962829e+02 4.314458608702433258e-03 5.627044466558705693e+01 6.855892299516017374e+01 6.928490154977854365e-01 1.050387846835351552e-01
7.389788549863571809e-01 4.195214811869737437e-01 2.525166794353690705e+02 3.984265512921789099e-03 4.934296499995497243e+01 6.622000154879330580e+01 6.631936553338546592e-01 7.813449071699907211e-02
-1.428042343132283065e-01 6.565581173577583751e-02 2.457973802611527958e+02 3.816434493892459107e-03 1.298640957763491599e+01 6.521255460808404791e+01 6.500972738644238413e-01 9.021217533333301952e-02
9.733705195314223957e-01 3.592506081999987111e-01 2.516108305532499969e+02 3.880340893084565420e-03 4.218108803139322305e+01 6.546920841349128750e+01 6.524020876353833209e-01 8.410278686840687301e-02
2.290038761386621324e-01 -5.220515607036313455e-02 2.466785573695789537e+02 3.843226621838484285e-03 3.614013321640429410e+01 6.559673906329786064e+01 6.614792258872125297e-01 8.453790786877599106e-02
7.733850887538196162e-03 7.452143067155969636e-03 2.547492565059858123e+02 4.422024279577733454e-03 1.914069142943503152e+02 6.896940485295090184e+01 6.916821634568224297e-01 1.165309865706053438e-01
4.284038465472379542e-01 8.674456030753585623e-01 2.540698471863067596e+02 4.704046707463524317e-03 6.759768716498754770e+01 6.870399671711366807e+01 6.950553023503339700e-01 1.010741016461550595e-01
-9.104857216164286005e-01 -8.980612796417482002e-01 2.397834358003201203e+02 4.034946050053071255e-03 3.425083012249817926e+00 6.842185810703537641e+01 6.919758945153923202e-01 1.006183337431537511e-01
-8.121240375355895935e-01 -6.548999005466984435e-01 2.429127030338227371e+02 3.947213448859196970e-03 9.946515106591903077e+00 6.708554018758579218e+01 6.800819961813701076e-01 1.185689699566072064e-01
2.229742107747716418e-01 1.197629880070342212e-01 2.573181414176701765e+02 4.222736055035316086e-03 8.206733732554906169e+01 6.826044613192044608e+01 6.894609026533108365e-01 9.819665026535778773e-02
-4.181609663282531697e-02 -7.167006607269688079e-01 2.417073797001228002e+02 3.912345762436345194e-03 2.327573733851691529e+01 6.681978546209975889e+01 6.642131597451017555e-01 8.557302623732986058e-02
4.328679106634041318e-01 6.128193237981656161e-01 2.472190821708756516e+02 4.099652048398693543e-03 5.215825308596905785e+01 6.689614038253392891e+01 6.618807944011705358e-01 7.790185016565792653e-02
2.158991516761569751e-01 -4.031663653452790541e-01 2.491396472975546317e+02 3.612677237053508236e-03 7.068749493962860697e+01 6.782439084471863566e+01 6.751627117470690997e-01 9.611002319501166236e-02
-4.352595109854380251e-01 -2.453748508759003855e-01 2.437570796118781971e+02 3.832363430643993211e-03 1.379532726432157741e+00 6.554510949421408839e+01 6.445014790411371930e-01 1.092118989660818551e-01
1.531200193500725504e-01 6.109810879181060139e-01 2.437218823515397048e+02 4.051623355941714327e-03 4.598087922692853624e+01 6.710488824458494150e+01 6.770837503123794399e-01 6.472186744539308589e-02
-4.839684450747779032e-02 3.889027750065969791e-01 2.414948591678024457e+02 4.000504316180714635e-03 4.391109026312697949e+01 6.712686120240854848e+01 6.731256275495938191e-01 7.418790455153609353e-02
1.554705017952320301e-01 -9.621408650889544667e-01 2.452016873078860897e+02 3.901952231562339380e-03 1.092813140879768952e+01 6.635375154069701864e+01 6.769045938765082537e-01 6.007448944189107409e-02
-6.255674382140745671e-01 -1.520859918033341529e-01 2.451078741911625229e+02 3.902549275232735423e-03 3.683432564000796106e+00 6.636044249141177431e+01 6.764335036129089929e-01 5.583470192346947497e-02
6.202144463094549920e-02 9.415751600681649958e-01 2.467315353278173973e+02 4.460711800216036679e-03 6.195278556465954978e+01 6.648553906810326453e+01 6.786211917146075523e-01 9.800415272839824166e-02
3.543928579734201278e-01 3.460819393536040955e-01 2.497716297181788718e+02 4.049124139433146752e-03 5.493384324651790962e+01 6.676822873755952514e+01 6.762978975516236169e-01 7.363051083098805238e-02
2.018556185688431259e-01 4.660273920134749837e-01 2.496896720811409693e+02 4.230582049867304822e-03 6.333183394259427956e+01 6.694500335747767394e+01 6.809032025619696782e-01 8.447801031530575988e-02
9.611718720046257269e-01 5.036609813767523036e-01 2.489561406940490542e+02 4.089458919379008496e-03 4.867077859965834108e+01 6.780801635998270172e+01 6.724095262397965511e-01 1.051094775308410306e-01
-1.548564249332543552e-01 -2.738318377042836538e-02 2.391879306821756757e+02 3.983899507684319878e-03 9.967031958103493849e-01 6.782288064027829932e+01 6.712183710535124526e-01 1.019684572120548860e-01
9.918425563578475712e-01 2.622396402505843271e-01 2.615659020725326513e+02 4.092652213646507178e-03 5.885395300943862651e+01 6.762687041990261605e+01 6.736734195097935363e-01 9.190240193445052552e-02
-1.019958774841016602e-01 -3.336603191930596068e-01 2.403285548883463321e+02 3.936509742853014707e-03 3.989325368444227138e+01 6.750879834955183867e+01 6.751822432175611510e-01 8.838075131019498820e-02
-9.073220955858740666e-02 -2.393269676899443255e-01 2.341311765657948740e+02 4.096799170026249083e-03 3.744929231374613465e+01 6.983114102837139114e+01 6.863209897852478036e-01 1.096724243408325888e-01
9.711648963638204179e-01 7.269038231732904976e-02 2.540497531947482628e+02 3.981971995760921583e-03 4.956246534449051921e+01 6.729140960805059990e+01 6.879184450745784440e-01 7.217244891081822655e-02
-2.718550155117611666e-01 9.250544222296666064e-01 2.426547542166908897e+02 3.976502545967244319e-03 2.098114324870238079e+01 6.738605837157881240e+01 6.865126150583421571e-01 8.270737926495394521e-02
1.560394835866452667e-01 6.490417222826454502e-01 2.453197795096434675e+02 4.601821854684132358e-03 7.119451024755875324e+01 6.784795402235567963e+01 6.640873227624285446e-01 1.109462261695861041e-01
1.886959859238359627e-01 -5.847373281609262730e-01 2.443965525501135119e+02 3.864118723534632534e-03 2.475673692238449775e+01 6.604147043092018521e+01 6.616104231910356903e-01 8.087884089935502840e-02
8.829508135747992092e-01 -1.253738430001898052e-01 2.454027724364896130e+02 3.867296829090151235e-03 2.039844469055753962e+01 6.592142284295576360e+01 6.646240704510349984e-01 7.735310651006943594e-02
1.310251267974994471e-01 -2.834165194211042405e-01 2.420950458656934927e+02 3.912131956824638733e-03 4.973236971688108099e+01 6.762480706374765305e+01 6.776267590263600482e-01 9.897983126039493207e-02
8.533347722371934507e-01 3.388554967057185729e-01 2.562720465689281468e+02 4.086502470857671099e-03 5.368405356772833414e+01 6.746747900999302772e+01 6.935439261443088199e-01 5.870598418078454978e-02
4.709244261392058206e-01 5.261825157349888649e-01 2.505616970174239100e+02 4.493937546537673557e-03 6.591949510604283091e+01 7.017698204848424837e+01 7.182706018559611438e-01 1.071319940558180667e-01
3.089154979883195207e-01 9.715402809262905226e-01 2.418160509842666386e+02 4.080289720391404480e-03 4.109189895921555546e+01 6.764692826841024953e+01 6.745782550552129608e-01 1.103414564081512395e-01
3.213599522897941929e-02 2.119365629545759688e-01 2.413635726871089844e+02 4.043299137271785283e-03 5.486430689832739205e+01 6.753435883888909075e+01 6.761701493004291796e-01 9.790808024718965219e-02
1.151094679101330176e-01 1.934901213207420589e-01 2.507118345039769451e+02 4.390071074687466011e-03 8.651751470061282134e+01 6.782224800843614787e+01 6.727633644205756047e-01 7.973767328833565593e-02
1.552298510634076978e-01 1.624480630745224752e-01 2.526453462110939086e+02 4.278967816935944947e-03 8.355409941513423178e+01 6.779863930646203585e+01 6.715716039906149959e-01 9.566375117893015367e-02
-7.680329900409579302e-01 -4.218395724249761614e-01 2.395583358552844686e+02 3.888070586237164263e-03 6.536638250279729334e-01 6.656227405175778244e+01 6.399501695232872045e-01 8.907513239246243886e-02
6.032847611232550200e-01 -8.446236556129649298e-01 2.472225804492117618e+02 3.647840387815819239e-03 5.272962212066784105e+01 6.683774322416678615e+01 6.379218296650588371e-01 8.307663217038552261e-02
8.256509091954935542e-01 7.185083532373223170e-01 2.416787308674648500e+02 4.253168971061191406e-03 4.763633855565906572e+01 6.992731690548555434e+01 6.964058137946019800e-01 8.476156968189162144e-02
4.450974617776217723e-01 7.016607530595138087e-01 2.396014297761024352e+02 4.007475315064890770e-03 3.953101408258581984e+01 6.739221004050628494e+01 6.478881395905417007e-01 1.178334880849463001e-01
7.808770599912755461e-01 -4.574596418506554629e-02 2.563402211914335567e+02 4.108609531211890493e-03 6.284821763406951334e+01 6.983710934094233380e+01 7.109342319575385760e-01 7.459684289888354747e-02
4.915825641462250317e-01 1.911984493493912307e-01 2.451044412350298387e+02 4.644899139927836755e-03 7.794616972726608140e+01 7.478259617040741603e+01 7.365599196990398889e-01 8.035884557873418377e-02
