# freq tau
6.728059343281223903e+01 1.305797787425514757e-02
6.671541299285456716e+01 1.501723197509931274e-02
6.737514130022020709e+01 1.374811528820146442e-02
6.364874723288911440e+01 1.600756257861082887e-02
5.466222062017932615e+01 1.862640867375445555e-02
6.346373773078266112e+01 1.547178568787000233e-02
6.848603480595538429e+01 1.408318389452469822e-02
6.546098959436858422e+01 1.572291539559042203e-02
6.375902686216938520e+01 1.611467861102261825e-02
6.709940098228574357e+01 1.530109821713871061e-02
5.977910366842141343e+01 1.688883021801707365e-02
6.885809350818338714e+01 1.434814925286667653e-02
6.615150569591286001e+01 1.515154381539485229e-02
6.916718447548782933e+01 1.412416048764435737e-02
6.373951481150742637e+01 1.511215521542066606e-02
6.532872948925326284e+01 1.545359955795218461e-02
6.733645333301602420e+01 1.398539962565438499e-02
6.741975119184624532e+01 1.514649620300729735e-02
6.805876909526652696e+01 1.433249579922962584e-02
6.419329318492238201e+01 1.443403645783957953e-02
6.604958317561177239e+01 1.521234494728092301e-02
6.561312111090605015e+01 1.569122455479503297e-02
6.819216783437829577e+01 1.463944985524448690e-02
6.556468958973849226e+01 1.447043808918208399e-02
6.443671116186743575e+01 1.495055319414705271e-02
6.580515750931107277e+01 1.558777284983482551e-02
6.663910316191667960e+01 1.540447326257530190e-02
6.644674871025516438e+01 1.524777601936596304e-02
7.007080903227507918e+01 1.471676635853814627e-02
6.881285937527728436e+01 1.388992259508529427e-02
6.662699317357066775e+01 1.488414696940593314e-02
6.311633091008497587e+01 1.520883769694628997e-02
6.866890002303230744e+01 1.391255806021577009e-02
6.704806333485670677e+01 1.441052676164428052e-02
5.563835780417607424e+01 1.696453726608846899e-02
6.305795816944706189e+01 1.634997397638520561e-02
6.479175234860427679e+01 1.505036853561226955e-02
6.418683594627923128e+01 1.508393513858849282e-02
6.113926205554219706e+01 1.627596437132228235e-02
6.825980928612247567e+01 1.509574387707360993e-02
7.124483103752962165e+01 1.447225351716856928e-02
6.655887479505808813e+01 1.499201413875497595e-02
6.662816562790115427e+01 1.509031266727463294e-02
6.507156391323530897e+01 1.218099039845904098e-02
6.626366121922832519e+01 1.196319997652866771e-02
6.875355371558799789e+01 1.467523509337854797e-02
6.950376008336334621e+01 1.479687596587312727e-02
4.982222987645381096e+01 1.893844946521947709e-02
6.592607690752345206e+01 1.564179251453684527e-02
