# freq tau
6.855435808177337265e+01 2.024135805246379122e-02
6.879093917470130748e+01 1.514732015326133822e-02
6.975984570825632147e+01 1.792470599853370622e-02
6.656702520118081168e+01 1.685166637470193740e-02
6.973221040218358269e+01 1.816624422175405415e-02
6.650202118948251950e+01 1.867376664029013478e-02
6.414767120772333442e+01 1.922419652251761146e-02
6.604732342938689271e+01 1.920440742235323892e-02
6.588441496525518914e+01 1.926976089133118977e-02
6.757036005933078116e+01 1.927664677239085064e-02
6.846300476114228672e+01 1.709609655659180896e-02
6.746353578079326496e+01 1.807135624043403402e-02
6.769453946911509945e+01 1.784924136690988969e-02
6.912232782732708358e+01 1.900801317015559516e-02
6.434063105163386354e+01 1.767646608843964282e-02
6.574655799019051017e+01 1.772281381135937944e-02
6.873237968981366919e+01 1.667893756943299166e-02
6.838933099952974715e+01 1.729896726144936406e-02
6.420679141421550185e+01 1.829606867506117229e-02
6.858455461046416701e+01 1.752865294159885318e-02
6.746642963320972797e+01 1.702307461972744559e-02
6.670908202854930380e+01 1.830983566493215101e-02
6.720975623415272082e+01 1.868880896606091996e-02
5.266613772218288148e+01 1.744155022598115057e-02
6.724846161895868590e+01 1.850296604716814355e-02
6.628807255277170896e+01 1.865331287079386585e-02
6.789139968029216732e+01 1.788861170056302644e-02
6.345526272289085057e+01 1.903639591964264091e-02
6.743403952194535123e+01 1.680089465450395822e-02
6.743042679508982928e+01 1.760393127494153803e-02
6.841742033540953116e+01 1.826980256794314555e-02
7.111918901732217080e+01 1.801006075630575201e-02
6.738694291083412224e+01 1.806950650284144116e-02
6.857591555675155348e+01 1.857385916841844398e-02
6.766147025347656552e+01 1.838199942760064542e-02
6.770063556253406034e+01 1.844439323929512875e-02
6.614013455220158733e+01 1.926708653294455231e-02
7.182301731818694179e+01 1.897898804565902042e-02
5.276827477904635089e+01 1.872174081191307904e-02
6.572703860912498897e+01 1.809796825239423992e-02
6.957882169767603386e+01 1.905633996068890196e-02
5.125048612827878713e+01 1.892762585022363456e-02
5.632150380997757821e+01 1.776228105718117775e-02
6.561608852029321781e+01 1.655930917069994845e-02
4.838172459161310712e+01 1.811112693606874505e-02
4.803102520780289098e+01 1.807117021760360279e-02
6.786826017325564919e+01 1.917466013486929244e-02
6.629239038693552288e+01 1.972683285683012044e-02
6.467198111844129471e+01 2.013521364503788671e-02
6.850308177901432316e+01 1.929876478275282040e-02
7.029602743156175393e+01 1.797514133609659157e-02
6.820253629358509784e+01 1.957860835948695491e-02
6.894276772461132907e+01 1.825146908685440147e-02
7.097425326236449905e+01 1.823259181509138266e-02
6.927821651592327612e+01 1.754181491064644993e-02
6.924382239102575909e+01 1.809385835297877554e-02
6.868145775336053305e+01 1.916827545526280513e-02
6.722898590274940034e+01 1.914931704846930746e-02
6.974055713849656968e+01 1.874517834613561099e-02
7.101374409630300022e+01 1.856839107310217368e-02
7.231038968535081324e+01 1.846376074964689584e-02
6.867751645344954170e+01 1.970264426883696143e-02
7.372019904223860465e+01 1.964610340257275795e-02
