# freq_modGR tau_modGR
6.681851481008067140e+01 2.729769466627247551e-02
6.698644044239546247e+01 2.750215624792537797e-02
6.737710530913408036e+01 2.438889496302643761e-02
6.743750599059288220e+01 2.666249495796845642e-02
6.737636618195051597e+01 2.950074860780754066e-02
6.365003765142486003e+01 2.841666100042164467e-02
6.629484946330185835e+01 3.340063072935896965e-02
6.287040275210033258e+01 2.538572316127662987e-02
6.529236840985387857e+01 2.751495228195807372e-02
6.387407354588845720e+01 2.658209497252213283e-02
6.704493328754682580e+01 2.597519282645818078e-02
6.710494658242350852e+01 2.651224853575891854e-02
6.686487461078354499e+01 2.762160667660977856e-02
6.512157679379080832e+01 2.334041082065566042e-02
6.439827661514047463e+01 2.187060457312489659e-02
6.619238761636822233e+01 2.379518770508793832e-02
6.544676124145087215e+01 1.482111019679781261e-02
6.592942183484314000e+01 2.313336826186228670e-02
6.692835208565983862e+01 2.541388579738798614e-02
6.671101126084958821e+01 2.643575704402961052e-02
6.718394885690389629e+01 2.897123694661199803e-02
6.687980088160554715e+01 3.425188301665271773e-02
6.655753048718385401e+01 3.326620178248974879e-02
6.618604162523300261e+01 3.077626336040962737e-02
6.600167911602736126e+01 2.897281759095110543e-02
6.692668377306512184e+01 2.959765993472207590e-02
6.654348792386181799e+01 2.960788538784482268e-02
6.653763335329782080e+01 2.089710571374637019e-02
6.648178236028313393e+01 2.943170583075779834e-02
6.337253676049352435e+01 3.157078705047948464e-02
6.645009415520881646e+01 3.755577810918625525e-02
6.577869788383891603e+01 3.618674120955495815e-02
6.567398957386109259e+01 2.610874221904920661e-02
6.634445051421806738e+01 3.244163660255637571e-02
6.516170315411262948e+01 3.651130936223806467e-02
6.632170118280890847e+01 2.402449499046619211e-02
6.370782856883217704e+01 2.677690277590611539e-02
6.635929274161949820e+01 2.655935975197362339e-02
6.526775372222429894e+01 3.064360544151264673e-02
6.462327937708849390e+01 3.875642996462538153e-02
6.286274178438392113e+01 2.469027626652846308e-02
6.550720852424504415e+01 2.997602669790351559e-02
6.655076421239589024e+01 2.728779733120081583e-02
6.513854173503197842e+01 1.905179244890988638e-02
6.513803158096450829e+01 2.548778782819936112e-02
6.760190713381835792e+01 3.080936068277263795e-02
6.508849287256857963e+01 3.589569377973833575e-02
6.536256301128129564e+01 2.391432008750842692e-02
6.569971410872302897e+01 2.343815600935926155e-02
6.400537040102997821e+01 2.063166040102758919e-02
6.588075658775963461e+01 3.126734282575276136e-02
6.627553119135718873e+01 3.290731829792700042e-02
6.844320556886671625e+01 2.317974540512659012e-02
6.749035507772373421e+01 3.022544280931584518e-02
6.912345884544832586e+01 2.421141574472483390e-02
6.651554305724614835e+01 3.378229576356489572e-02
6.741625382754442342e+01 2.454211047161830236e-02
6.885473564880743425e+01 1.983014939120988224e-02
6.528422837022451120e+01 1.987869445734457424e-02
6.744427860656068674e+01 3.066329650591254063e-02
6.818668363738176197e+01 3.386739755967883847e-02
6.714829651977905201e+01 2.931617740023318222e-02
6.628445118820503978e+01 3.257622259785201979e-02
6.583608947864537697e+01 2.989443492183513698e-02
6.344179794695075714e+01 2.561541122184909924e-02
6.513917839371104890e+01 2.342187619157757444e-02
6.642046226105757967e+01 3.817351898694532758e-02
6.539059601849882597e+01 3.127581584487419686e-02
6.609922828651687610e+01 3.091366450560625520e-02
6.369961922053367687e+01 3.159402240727117450e-02
6.590914640929133839e+01 2.583999838978582458e-02
6.506693928069898902e+01 3.233654576284757803e-02
6.486329660488620164e+01 2.798513404041202621e-02
6.630646205040665109e+01 2.888602406814257811e-02
6.519486935222946045e+01 2.778494959516863289e-02
6.667036713829456573e+01 2.978124820445246165e-02
6.702694525986763097e+01 2.526265455948357649e-02
6.782375435236882311e+01 3.337114848003962242e-02
6.886404944324365829e+01 2.334554634902602163e-02
6.402989127995054730e+01 2.098900220423120105e-02
6.433371559433875575e+01 2.305494988084186639e-02
6.751553763970184718e+01 2.559193009959269405e-02
6.361720970551681376e+01 3.322835978248431243e-02
6.382960692446487627e+01 1.955629408718378634e-02
6.663893654129681465e+01 2.754096535792982525e-02
6.438254512206047764e+01 2.826549680439843087e-02
6.790650688396186752e+01 2.318951899447475873e-02
6.601209925082540053e+01 3.100161848136706241e-02
6.705137398422303363e+01 3.641333295892189986e-02
6.473834073680123424e+01 3.444334784156007773e-02
6.458670835450644176e+01 2.722912870561940146e-02
6.676023509209285578e+01 3.497725207006725096e-02
6.824592978545624078e+01 2.349397698877093987e-02
6.746293268710886082e+01 3.098623389229738373e-02
6.267441470356743594e+01 2.796713984288684562e-02
6.835530571325610083e+01 2.550049866556299699e-02
6.479040045766392097e+01 3.306630082918151498e-02
6.712687852371328745e+01 2.866122085204165365e-02
6.583423015215866769e+01 2.802525010781995937e-02
6.690994018052288084e+01 2.849461138058400483e-02
6.744488690826648281e+01 2.911747191549679536e-02
6.751835803287160331e+01 2.732004057919146245e-02
6.708968504132664634e+01 2.947316375701292818e-02
6.594510096538274979e+01 2.742143876504950228e-02
6.655942900398753181e+01 3.618812590142515134e-02
6.794282820935139000e+01 3.037551337450997146e-02
