# f, tau
2.609024774897126235e+02 4.053096563430420574e+00
2.444377477050616960e+02 5.185305084766265615e+00
2.560265621820627757e+02 4.922765698283385838e+00
2.688514962110691613e+02 4.415065003491841722e+00
2.520421616340867104e+02 4.962799550726480824e+00
2.619136627209184098e+02 5.332834063742483366e+00
2.596477717828646519e+02 6.121364227487484655e+00
2.582905068452264459e+02 5.719518650211608879e+00
2.492779274981244271e+02 4.998130895115079575e+00
2.593844940282496054e+02 4.705985251066825192e+00
2.578146593988143991e+02 5.108813749108983338e+00
2.564403008022852077e+02 4.369991206436699471e+00
2.653212005927598511e+02 3.958364525985682558e+00
2.634623230289763569e+02 4.371012792412035886e+00
2.754243030878798777e+02 4.477964069460974805e+00
2.574278525479329005e+02 5.374725652704061218e+00
2.622358076526103901e+02 4.471421225964220980e+00
2.598788622214880206e+02 4.255359611805960895e+00
2.712777203368906953e+02 3.116341529127048648e+00
2.638930834854791669e+02 3.992206943053432155e+00
2.575963345425009834e+02 4.673445669151270465e+00
2.761991653824438799e+02 4.302105067539167216e+00
2.607382123162827270e+02 5.552852977215809283e+00
2.884386639435784900e+02 3.810205833328735192e+00
2.864319107233169461e+02 3.631753444921788976e+00
2.529512078221347338e+02 4.153972974661017226e+00
2.509332382293440844e+02 3.805629625636519631e+00
2.762485479573673501e+02 3.741726245741876067e+00
2.613183769851478928e+02 4.765650601090888117e+00
2.557821451147403877e+02 4.299452830360792177e+00
2.304821586187174489e+02 3.548866149531171743e+00
2.645674619269549339e+02 6.369820337437258395e+00
2.726088129556617332e+02 4.052674318200539361e+00
2.738907752548933559e+02 4.500586962076789987e+00
2.383763607140466831e+02 3.771361265657946493e+00
2.393120849916330997e+02 5.116397971361384300e+00
2.609873666881182999e+02 5.238465763323823410e+00
2.769444505791621509e+02 3.849085061570569621e+00
2.813518091438494366e+02 4.356655723087338394e+00
2.656326425491506598e+02 4.853905817286164215e+00
2.584567629690828880e+02 4.740394724532127846e+00
2.539496543137050821e+02 4.289327352701727492e+00
2.640768195258854689e+02 5.201329625704079085e+00
2.622474592528735684e+02 4.654311333048501531e+00
2.660400852915159362e+02 4.750756823398448070e+00
2.584873465039707980e+02 4.609249245660125283e+00
2.629140735817231302e+02 4.873096814340066807e+00
2.468974886007980842e+02 4.492586992278953417e+00
2.511390603474547731e+02 4.435511259268712259e+00
2.488103451832659516e+02 3.500720085930721037e+00
2.654187746463416033e+02 4.336871224489364351e+00
