# domega, dtau
1.720627781881186591e-01 -6.909836906923251532e-02
9.410390060278165519e-03 3.466720232521003364e-01
1.331920166082444790e-01 1.681887780824634637e-01
2.067356218969412240e-01 4.177188043795797973e-02
1.169659432358408357e-01 1.984707944264378077e-01
1.745648427569562455e-01 2.932159333598536866e-01
1.632962671606961458e-01 4.925379328808298096e-01
1.021388020350661452e-01 3.971685352689189319e-01
1.298817316583741610e-01 1.935351397602076418e-01
1.701052680079831181e-01 8.954070958112879397e-02
9.429186659696578432e-02 2.619095929856447014e-01
1.558892808268002583e-01 1.049345033532106397e-02
1.656893953865308800e-01 -9.664208483093844615e-02
1.610610376731113347e-01 3.070735780841049589e-03
2.332207097726180234e-01 2.929202503014578796e-02
1.445215728986975479e-01 3.047100384955054864e-01
1.298712713424045595e-01 5.063956384355083884e-02
1.637649612108399988e-01 -4.679408670494598910e-02
1.971301378509843494e-01 -3.012519573742811207e-01
1.527722970303660999e-01 -8.165098116393632033e-02
1.156552977595473736e-01 8.745786623848303409e-02
2.264283230046939543e-01 -5.140909287015382745e-03
1.336306650963677289e-01 3.074647929937579516e-01
3.000826744935910506e-01 -1.292201148674744227e-01
2.884687420532555668e-01 -1.718554507754617711e-01
2.742158092331248298e-02 3.628905288560835274e-02
2.848342118043212939e-02 -2.971519205995337698e-02
1.570512925457925868e-01 -7.222225051154726461e-02
7.303188217360849499e-02 2.011260438222265412e-01
1.329345788171548692e-01 -3.855928099881134052e-02
-5.505918157746769737e-02 -1.097497588099303201e-01
2.326520472380179672e-01 4.780196851998009810e-01
2.010902976425529842e-01 -7.380155727220308326e-02
2.245103263038885633e-01 3.352030271306306874e-02
-4.387742161758399068e-02 -3.759815903979381313e-02
-4.090579424927219543e-02 3.304990565479214437e-01
1.355652071216846000e-01 2.310454958962350758e-01
2.300007558163852939e-01 -1.187691701884103779e-01
2.563734760284079872e-01 9.362801576133561454e-03
1.627850264650408385e-01 1.342590747249039485e-01
1.206714460170056208e-01 1.062306468815734511e-01
9.278090916749537342e-02 -7.109283077131517414e-03
1.535288575485726503e-01 2.145952002778886147e-01
1.440151334473319666e-01 8.595947502162536169e-02
1.617296543916487972e-01 1.066551493026142716e-01
1.160938421718069324e-01 7.072268547943444394e-02
1.422180331019299304e-01 1.334599820958991545e-01
2.485470820638660538e-02 1.068000246345705562e-01
8.141758202180851556e-02 2.331990519149877011e-02
2.171467627971504499e-03 -1.182112855313805500e-01
9.440970023185009385e-02 1.088582127280128820e-01
7.442473576026299720e-02 1.830639498127539788e-02
5.439198927924207561e-02 3.181804454423812767e-01
5.609558301173526301e-02 9.117005089419927266e-02
9.536732134342061629e-02 9.986467917049313137e-02
2.035388577931649956e-01 -7.678243034813403423e-03
1.919755422061099059e-01 1.746421758243489886e-01
7.177304684270065238e-02 3.692896097610161577e-01
4.291663910892334205e-02 -7.971224779989276310e-02
1.620375009334662775e-01 -6.871256905008685245e-02
1.390255783407464141e-01 2.873401082732012224e-01
1.621650524342278799e-01 -1.441612033913983737e-01
2.116385670069202141e-01 -9.993119673774897294e-02
1.220647065919533841e-01 9.655795769817462904e-02
1.678253462592438627e-01 1.876498726539229112e-01
2.047116097677987023e-01 -1.206808090874389450e-01
6.651698907244847636e-02 5.178467613905179956e-02
1.616567738472954874e-01 1.286619229403688711e-02
2.017657013853275116e-01 -1.731791796270359257e-02
1.859084264137740583e-01 -2.808362787702618768e-02
1.503403562225711365e-01 7.497748692992856068e-02
8.162511761433013935e-02 -2.049342563799392281e-01
-5.850464572291047549e-03 -1.204598632029816874e-01
8.369779875105945455e-02 2.541384942444200878e-01
1.503017626420356800e-01 -1.703340676760700112e-01
1.279019428801818625e-01 -2.587147547951929027e-02
1.056720580823801436e-01 -1.076140065354893594e-01
2.237627617393650459e-01 1.746486881156779081e-01
1.529266764255358124e-01 -6.086080151128805960e-02
5.909272699972966530e-02 -3.813412735350185656e-03
8.830322082563664410e-02 7.288824132627466645e-02
1.391115999010719417e-01 -1.250698720303249634e-01
1.208686319637083256e-01 -2.550770649533258827e-01
2.193947543587306259e-01 2.355084444272596278e-01
1.818963728881788089e-01 7.824499260111546228e-02
8.543611610348704477e-02 -3.827944244097558624e-02
1.429194114979548680e-01 6.234349829896698725e-02
8.557778943417403139e-02 -5.832237429494911696e-02
7.084402909166054307e-02 1.559600991327859953e-01
1.087406801119912558e-01 2.444442166323017585e-01
1.496330706973250310e-02 -4.031787718117586100e-02
1.699149745383285448e-02 -1.845095041525222079e-01
1.711054926475432114e-01 3.889435078637021315e-02
4.631483933070471709e-02 3.595885033343941273e-01
9.149611148828995510e-02 1.794466525375514321e-01
3.313073497656358196e-02 2.663295785875867683e-01
2.255522246728524846e-02 1.062046269367983298e-01
3.719021565546544450e-02 1.990441804295863260e-01
8.047774037036493910e-02 2.522416577155250361e-01
9.642501261649728816e-02 3.141873905613790652e-01
1.245762243423245291e-01 1.495009118141932269e-02
1.376359921218457960e-01 1.215985974864030317e-01
5.190265934609149256e-02 1.752933516930710311e-01
6.725854379169540764e-02 1.565153783015350020e-01
1.095355472829389748e-01 2.258819564142072744e-01
5.210623353644812383e-02 3.300045510326071185e-01
1.331597968562337753e-01 3.060104122477351751e-01
9.105433598775121429e-02 3.097557944182884881e-01
1.095970380397586347e-01 3.217283370589555380e-01
5.495682314867972318e-02 -5.685923391613963152e-02
3.363777250380203115e-02 3.521307618373407666e-01
1.090773903048743165e-01 2.353139613914255190e-01
8.071556375873632783e-02 2.872895983240038031e-01
1.436755424396547187e-01 2.918672334164855164e-01
-2.048699601789782943e-02 5.202156649229430774e-02
1.340948767149208187e-02 2.498856603852865899e-01
1.264071450390692464e-01 -7.442947463061133639e-02
1.534067826699590520e-01 2.413579976510167313e-01
1.638566961026420576e-02 1.000236871517748843e-01
1.782466256869281729e-01 4.634477662289418487e-02
1.745963348808087789e-01 6.283638771659563749e-02
3.537264739009435971e-02 -1.921807667829433242e-01
-1.326991471659266786e-02 -1.459254085510028887e-01
7.756918818856983755e-02 -1.074812918644616339e-01
1.569126550356427646e-02 1.987951728554321895e-01
4.591328055127329860e-02 4.486859797339927680e-01
2.623862987666654156e-01 -2.915158512821991454e-02
1.841936220885307535e-02 2.452562486967497513e-01
1.328330235333563536e-01 2.224635226605906763e-02
6.878425081949571251e-02 -6.398359454010522918e-03
6.280599096838346274e-02 1.250087136206832761e-01
1.204610011256451903e-02 1.945676139164247420e-01
7.041135539582751846e-02 -9.613907210163674666e-02
2.605776908669037509e-02 1.468874442024742377e-02
1.011385122640160450e-01 2.873968078056680087e-01
1.053023503486194695e-01 -2.036293187121795412e-01
7.262779731373518455e-02 -1.173097787826897775e-01
1.004183289747878072e-01 3.865153332661988572e-02
6.614600530210897056e-02 2.307096125875929826e-01
9.306715261152492813e-02 1.659918211279431122e-01
1.178270669946819282e-01 1.384442669254954961e-01
4.058064993213411631e-01 -2.278696337702694752e-01
1.426404620784902100e-01 -2.880864037159399510e-02
5.244639565879704451e-02 3.055297035300076902e-01
1.228094946644345126e-01 -2.570705851501842165e-02
2.967172311536729612e-02 -1.173094511334560330e-01
5.408529587072398448e-02 -1.066083376689157258e-02
7.801529357365780126e-02 2.390874396624857734e-01
1.173845756702042442e-01 7.008353768215425106e-02
9.457704921610288196e-02 8.358921647878306271e-02
9.412611836207224192e-02 -2.487388068538223806e-02
8.706475356314499758e-02 1.592975194733062816e-01
6.747231798148520254e-02 3.151468458337078893e-01
4.856538724206917179e-02 2.004378627419116099e-01
1.120664230428925767e-01 4.646607901788308431e-02
1.580640248027160299e-01 1.843772568082369112e-01
8.647218087333846670e-02 -2.480223962773217550e-02
6.518185122042638446e-02 2.063035518847296801e-01
7.021808840206639202e-02 9.169282922688488935e-03
1.191560467764671283e-01 7.346350341025870145e-02
4.621262250454622605e-02 1.336242429739109561e-01
3.349361359035825103e-01 -1.060037341209060235e-01
4.404287036739792938e-02 1.010439102471600292e-01
5.488603425803981195e-02 2.028553344003240222e-01
3.340773982289585442e-02 1.054812052042446435e-01
8.837608369979464695e-02 -5.345962930389402956e-02
1.228391571484943254e-02 4.353869682302335953e-01
1.500261676919969339e-02 1.295328152227828711e-01
5.844162790042607691e-02 3.279183844445801022e-01
-1.035425713780700231e-02 3.130361833093044388e-01
-1.504998878864023670e-02 4.358996422347747313e-01
1.740134979797886006e-03 1.642126482676670440e-01
1.745070714629532449e-01 -3.219036142528459293e-02
8.482146098317594474e-02 2.040982497996457479e-01
8.095350145622827454e-02 8.365741580368922514e-02
4.176123416934589272e-02 1.438129297073217905e-01
7.148597271203069314e-02 -4.309807125146904172e-02
7.268909919245296336e-02 -4.873828785722487261e-02
2.156169715842640860e-02 3.582564085131469955e-01
7.177529224888100357e-02 1.904819248639424700e-01
4.958132234882564604e-02 2.740367290550664303e-01
1.584331667925247822e-01 2.617317257725293445e-02
2.051606178379388190e-01 -3.169378179272954732e-01
1.380829989771752142e-01 5.319462343722891617e-02
1.946453379189765354e-01 2.239025956413343010e-01
6.404615203115149313e-02 2.322325948720389555e-01
2.691586132986747981e-01 -5.957097624044224715e-02
7.821178766700118135e-02 -5.810189567292090018e-02
5.359569122584517675e-02 -1.254951401763974295e-01
1.403875658950664296e-01 2.854370227742296096e-01
1.514015058284575166e-01 1.373121285985856588e-01
1.599901391352764046e-01 -3.034609626654969361e-01
8.027241186521512362e-02 -3.980218223347700701e-02
2.278824529239859009e-02 3.765252003900466660e-01
1.353251669299045112e-01 -3.577080732398668639e-02
1.462146182882697876e-01 -5.381816588209448193e-02
2.429608868970935809e-01 -1.680748689482669533e-02
1.465811582677245539e-01 1.726084541736808142e-01
2.117321657689730796e-01 1.124990776362895795e-01
7.923772775087320475e-02 2.881766066269736415e-02
1.015060007040597262e-01 3.370171711836747463e-02
6.407747770562019496e-02 3.058535340227633847e-01
1.391361537183266606e-01 3.802698081322291035e-01
1.645210735327721219e-01 5.116058570273357420e-02
1.502223386710045683e-02 2.954106178316318054e-01
7.071551404627224313e-02 2.085802131416838734e-01
8.340872615122182920e-02 1.027623017442775843e-01
1.019203907214918520e-01 2.089821077954751860e-01
4.705058831037248201e-02 4.683921676113049770e-01
9.240173284822923716e-02 2.089811493402520814e-01
1.000787154146108582e-03 1.657455941214447392e-01
6.617819179586467704e-03 -1.121729789324094062e-01
1.694843088120170094e-01 -1.845668552723045419e-02
8.667624844840354781e-02 -1.135299818845173225e-01
1.083136324244114851e-01 9.594315344326995176e-02
5.145276182177164342e-02 1.154642230734620190e-01
1.661915539605177128e-01 4.221553574022639255e-02
1.343925667772282728e-01 -1.286803753385706850e-02
1.023803621439389466e-01 1.248033057498634524e-01
1.064775497523040432e-01 1.148056852524560467e-01
6.695756931197800743e-02 2.224768994288113255e-01
1.218916818772218524e-01 1.891288105031019018e-01
7.045179592645209321e-02 -2.157776928412392659e-01
7.639485877067975217e-02 1.732620625498717259e-01
1.480066886671376203e-01 2.217229154312294614e-01
1.906080827781195530e-01 1.014591504320348780e-01
2.064703075690372813e-01 1.415815468784586972e-02
1.845127367018849218e-01 2.342794774276432679e-02
1.307581005406623920e-01 2.537279835534297368e-01
1.036168340617739936e-01 2.039756657074124346e-01
7.116249743788997939e-02 -3.246203111361556370e-02
1.745618059307550984e-01 3.987947254804661279e-01
2.141715300988047688e-01 1.581992293499069613e-03
1.907446694398955978e-01 -2.530676890003478660e-02
2.124506538307272263e-01 6.120473674220891502e-02
1.910185306325327959e-01 -7.742565983240372318e-02
1.834897829630087740e-01 -3.424680671015215006e-02
2.444637410094173680e-01 -1.240047768404976547e-01
2.868637448901523168e-01 -1.959788170585274880e-01
3.460200330384751721e-01 -1.060149277219987196e-01
3.645784801196076952e-01 1.180980810991802965e-01
4.098787336776340759e-03 1.684173183404591434e-02
8.083177795871160365e-02 5.482659851888950497e-02
1.590734051326036513e-01 1.901582561121634984e-01
9.762735811063893987e-02 6.067098288193178979e-02
4.838794370356198915e-02 4.342425332938233962e-01
1.569346872373803270e-01 -1.302422219096918410e-01
1.574991382652417560e-01 3.934857246516766383e-01
9.325663040249833335e-02 1.355180560985069504e-01
1.566622875536301807e-01 3.018580703560957978e-02
2.317748597597779070e-01 7.041320010235496696e-02
1.972802386204501879e-01 2.092635176549861864e-02
2.139800012142201724e-01 -9.492159124708132723e-02
1.049440455148043932e-01 2.652681257863475639e-01
4.299696411437286397e-02 1.110005067300784132e-01
1.688863712639889214e-01 -1.156770298987464807e-01
3.035938943815515434e-01 6.600781439492159341e-02
1.603251552544832648e-01 6.428641094001849576e-02
1.717119697169239290e-01 -2.076890286859307544e-01
1.480014117349904013e-01 9.895006702533216958e-02
1.556169465551474618e-01 7.301088404531225207e-02
1.593371418936709583e-01 3.349080583443778680e-01
1.800148124816438322e-01 3.461456790060329913e-02
1.141223626676338837e-01 -4.681038196675368912e-02
1.398003349240143911e-01 1.086836101706887686e-01
1.225818619335501541e-01 -6.153152436531202085e-04
1.704588853323344422e-01 -6.394708032684651156e-02
1.006546303528195740e-01 5.066922613861923885e-02
1.063194245957875123e-01 6.896934597116466392e-02
6.232141286894581772e-02 1.643480636032676467e-01
6.123778995335978081e-02 8.997621846258353762e-02
6.638244784773081331e-02 -1.978964507090770764e-01
5.402012099426689584e-02 8.251408474628484091e-02
8.074908842363774653e-02 -6.217453887487224551e-02
1.867720065449587907e-02 5.719346136424099392e-01
7.164069698516679907e-02 2.234812154047223776e-01
1.487347253778768530e-01 9.222086337618459750e-02
-1.158199202006767424e-02 2.296355824997511896e-01
8.371915233976853776e-02 2.056888273853356153e-01
6.546820886696799735e-02 3.469704800380869480e-01
-3.227291416005262370e-02 2.360064918287274049e-01
1.606473415547020681e-02 2.237742588115655962e-01
1.573834142155960125e-01 3.083194963856780713e-02
-3.367499140680414033e-02 6.907676289562925120e-02
4.112266137051111270e-02 2.452218777530617566e-01
1.439400118576668608e-01 3.636699648391353290e-01
1.674463378570315020e-01 3.997610648372496023e-02
9.164654316717400773e-02 3.171177522784531799e-01
8.938255557071389523e-02 4.028433077770687820e-02
1.737091682742200605e-01 -5.200031562031205701e-02
7.111970691343921791e-02 3.607798965704476224e-01
1.022102218204962581e-01 1.261557637961746026e-01
1.061469698210291412e-01 9.559090355192463584e-02
2.706226553784808059e-02 1.718311021719909626e-01
2.800025216410662598e-01 -2.832646239460123727e-01
3.315075705635802117e-01 -1.456992436270803659e-01
6.261026940650658845e-02 1.973520699497223474e-02
1.069583601785486088e-01 3.663817008192504776e-01
2.271263091979524584e-01 -5.712145733964879568e-02
5.609046325744818096e-02 -1.670372165613451254e-02
1.355293351658530820e-01 -6.408047155578010246e-02
4.448181841696557948e-02 -1.101909049037160249e-01
1.533071331481228317e-01 -8.250255786740678943e-02
9.965028910223833192e-02 4.125207851940421167e-01
1.176949218506109368e-01 2.084229491348934538e-01
1.510433942958661624e-01 5.785568732158757888e-02
1.640913850124279538e-01 5.182843479874521542e-02
1.030570187709898694e-01 3.195977524224148381e-01
8.420980609668360373e-02 2.721994129526427164e-01
1.094711807248306551e-01 2.713809527651746545e-01
1.063550157772679972e-01 4.135530891518809926e-02
1.236643278394581047e-01 2.299920458393271971e-01
9.077907780866920073e-02 1.295193279841941880e-01
1.657904999776123600e-01 -1.107290873384764035e-01
1.394382943500906968e-01 -3.542041032906939613e-02
1.845801155395460080e-01 1.667393396649103354e-01
2.374263201861289696e-01 2.968678623813574835e-01
3.545439924120470931e-01 -1.734545228854385002e-01
1.867729948066592927e-01 -1.503052759946887917e-01
4.953876560445534816e-01 -2.297273033753765015e-01
2.059101746522875309e-01 2.566464532298071144e-01
1.850748603487907540e-02 9.905756937399981532e-02
1.915841439135552715e-01 9.652360379914493027e-02
8.850196809495848582e-02 1.660155573926009320e-01
1.841217134914085729e-01 4.859596085798817411e-02
2.005637641654249015e-01 2.383317515925298391e-02
2.030490602670956268e-01 1.283451062347634175e-01
1.445342906623773571e-01 1.450470429049940391e-01
1.584563825475466259e-01 1.489823553810101231e-01
1.439563682716120396e-01 5.259257905019606993e-02
6.492165385969411728e-02 2.098562807209383152e-01
2.057481515399430250e-01 9.510727723914172427e-02
4.975992426193040497e-02 5.613336859155988734e-02
1.278166479847195891e-01 -1.503014001544611400e-02
1.565985570986199171e-01 -2.811623614128289095e-03
7.814197749274237603e-02 1.246428290787074122e-01
1.431851649519265413e-01 3.618705005088185267e-01
7.192432186138211780e-02 2.712856392345798229e-01
1.566157116826306372e-01 3.390706982440049311e-01
1.578549220321755209e-01 1.950277809021794262e-01
2.500826561604053977e-02 1.020370442735399896e-01
6.526468465688958775e-02 -9.732402695335723442e-02
8.592364932573168246e-02 8.909838898220204251e-02
1.289075684296775992e-01 -2.442212619261377449e-02
1.418962452792782158e-01 -1.145042572168020190e-01
2.638702158622884819e-01 -5.189002844896453692e-02
2.489286340858309216e-02 3.050166597091223397e-01
1.627653079976255635e-01 2.364895238079564865e-01
1.597034532343468149e-01 2.209677324534753129e-01
8.214134249077853500e-02 -8.939560639973448408e-03
8.188810033097942975e-02 3.133084321924641813e-01
1.432107917866303759e-01 3.140966014281614815e-01
2.018144698481382227e-01 1.536398355902304780e-01
1.237740362345802064e-01 2.148331477632478836e-01
1.116097574226069394e-01 -1.329549552103648224e-01
1.660611218979947401e-01 8.217502920907739095e-02
1.097494969447097984e-01 2.122452625385973235e-01
5.186981702106446129e-02 2.986720017307308850e-01
5.074001532130699432e-02 4.696734574991533462e-01
5.545097612793856851e-02 2.449873010068045198e-01
1.955814911956889335e-02 1.357606213532625283e-01
8.445270575574198579e-02 -7.614769558663372906e-02
6.119580034641276117e-02 8.712309595355727243e-02
3.098917882392316150e-02 2.344489880961964645e-01
1.061384786273270875e-01 3.382235828330634742e-02
9.667008505454348366e-02 1.421302170860923586e-01
1.263954099206287263e-01 3.473064201880590174e-01
9.131533210511699750e-02 1.266620944852591413e-01
1.951917644176855149e-01 6.290279252727087878e-02
1.158949142235920493e-01 2.563058965991105720e-01
6.906202712656080156e-02 2.343992410244917501e-01
5.809132374196645382e-02 3.801386661588267990e-01
-3.201134332508018265e-02 3.667264224817590734e-01
5.857485511022858526e-02 -1.459780331557649635e-01
1.392473572462432641e-01 7.556740710698603425e-02
1.663325283372718566e-01 -1.019074070408880206e-01
1.785171292833725304e-02 2.258485081040881581e-01
4.554400538314875430e-02 2.685508270028922340e-01
3.433534519209965191e-04 1.923059523290595318e-01
7.746760929026719200e-02 8.148623153190999446e-02
4.824406574036015777e-02 2.144011554428998378e-01
4.401309424730373565e-02 8.928953687453131116e-02
3.467820413442110339e-02 1.799711835582120945e-01
1.572500502151679136e-01 2.972880753186973868e-01
2.334448580073995028e-01 -1.458254853967759501e-01
-3.029369685211093233e-02 -3.500664325900376683e-02
2.585643433777227995e-02 2.369685938752144616e-01
1.478209762099044200e-01 -1.012982335581460169e-01
2.821137778983391353e-01 -1.728922519853063056e-01
3.966742508321599581e-02 1.942737303526069215e-01
1.248382709023602849e-01 1.586399065951183407e-01
1.846393070791573499e-01 1.825459313513171089e-01
2.270363906521354891e-01 -1.865691907280275785e-01
6.814557231126995573e-02 2.396715305841531918e-01
7.036170208579271834e-02 8.382090407695243217e-02
1.177012967634993856e-01 5.902798197815779802e-02
2.146875487300377999e-02 1.240374928233940466e-01
7.417208647998023430e-02 3.784397118107500901e-01
7.709228390240603634e-02 2.668927418492591519e-01
7.538915281486702202e-02 2.869879670567043739e-01
9.140234762293682202e-02 1.705610458977474542e-01
8.858477623434489467e-02 3.002916258711565978e-01
9.427624789027595764e-02 -2.583749844310188545e-02
1.447659307834137099e-01 1.480367077787221319e-01
2.673514403464991585e-01 -7.529450018087192886e-02
2.096083306994829532e-01 1.151172349783256832e-02
1.173661427035058435e-01 3.749364521295227015e-01
-4.456546038825989764e-03 4.181617380349830215e-01
1.213274483663620389e-02 1.513989478706999903e-01
1.460808444329315947e-02 2.527760318880931667e-01
1.684813564915995515e-02 2.164525210642678221e-01
4.930958998794089665e-02 -9.635388984491083386e-02
1.085027850392339954e-01 9.105524737864897911e-02
-1.816301906972022512e-02 9.074733000075851930e-02
2.435437348980708586e-02 4.643946828058583276e-01
5.952754726755667136e-02 -2.136251928877541673e-01
1.489023401900080035e-01 1.041002945781271255e-01
8.327361666085514313e-02 7.212806452389372569e-02
1.634342444640285441e-01 -1.172088495582858658e-01
1.257737731642499523e-01 1.166560799233452017e-01
9.121193795032747631e-02 -1.722786035871589905e-01
9.672957487309499780e-02 1.229374662637794380e-02
1.137060107254848074e-01 8.156701316443246141e-02
8.750572400340388135e-02 7.962425656079230585e-02
5.103069416877336478e-02 2.911338968747463340e-01
1.011494706239822738e-01 1.350812909585130950e-01
1.570943865554024210e-01 -6.991880986680966414e-02
1.356490578058358043e-01 -2.570099047770634249e-01
6.572456317360897415e-02 -3.597102722388623164e-02
2.741301157865440041e-01 7.813899447294900269e-02
1.498011073012777139e-01 -1.044027632643169112e-01
5.400669182912745669e-02 2.066534197265184891e-01
3.102053121600575197e-02 8.467537759745415171e-02
2.785389318215943932e-01 1.705812489646933439e-01
3.578426171397663946e-02 2.117786310877062261e-01
6.145948272523547862e-02 4.063014190613309928e-01
1.245752445032381472e-01 4.510601193388247276e-02
1.414393334746908426e-01 5.259665316601591645e-02
1.456732202518709607e-01 -2.152558459930793422e-01
1.540149595752056122e-01 2.978941136419414049e-01
9.731622351560928474e-02 1.206842222648762952e-02
3.900439225757906803e-02 1.055777917148986167e-01
5.577642118693586226e-02 -8.290360502428739675e-02
5.213697284999909559e-02 -2.450233878760492701e-01
1.257676816431964606e-01 3.707594517988996863e-01
9.472963176298515586e-02 1.715233664183221929e-01
2.638110141816919496e-01 -7.778468838401331187e-03
1.155942349069570552e-01 -1.441583061946780653e-01
-2.337431233470226022e-02 -7.354673353052509910e-02
7.008428824919482603e-02 2.990747914348806380e-01
3.620116991698479891e-02 6.785628799891418872e-02
4.989165747061687084e-02 2.526359173914323464e-02
7.145226207190859269e-02 2.118252137816410696e-02
-2.758724881182774563e-02 2.194371508541513860e-01
1.081391132973737873e-01 -3.146587522720150493e-02
4.117341653191664008e-02 9.708715224661940146e-02
1.236242200801584978e-01 -3.560431612684505920e-02
1.259162426014664438e-01 -6.323639950243963026e-02
1.102096078446379579e-01 1.005094868017624155e-01
1.196658682931935891e-01 6.277325390319887788e-03
2.719616007371856159e-01 -2.661107109593461306e-01
3.409099542209907407e-01 -1.579879912876869796e-01
1.102876663875549251e-01 2.982785482662078103e-01
6.501719456769652905e-02 1.748734470212937042e-01
3.138115002406147158e-02 3.672290581561094558e-01
8.451925194379353301e-02 1.403059017467682967e-01
4.056119758408166520e-02 2.255328648686685256e-01
1.182162786471364913e-01 -4.928024241117978654e-02
8.959384748467744131e-02 -5.038021526052793853e-02
7.923378042859796633e-02 -1.624124037348831373e-02
2.290795115055010434e-01 -1.902617912701863867e-01
1.060378171620194460e-01 3.834434777568290764e-02
5.582105708842460823e-02 2.477340236630160009e-01
9.380458064304209032e-02 -6.423781727435323718e-02
1.440201974837632126e-02 3.776528803896223030e-01
-6.488442321770947208e-03 2.560250336753375211e-02
8.413845843109493683e-02 2.139196947170079466e-01
1.926528642730192808e-01 1.319503407745152290e-01
1.047596573201203252e-01 9.617673638241518164e-02
1.021093480468243664e-01 3.502319578121664001e-02
2.103072616626373015e-01 1.285943428464859928e-02
1.216802722944453075e-01 -1.279586966317911717e-02
4.921056612872931613e-02 3.059410456939729017e-02
1.320222727838220311e-01 2.923536561310508541e-01
1.089228201710268074e-01 2.927341786305105442e-01
7.430622089609216496e-02 1.222431008479981651e-01
4.794843238768758953e-02 -1.280005461970355751e-01
5.995547709766754774e-02 1.045882942836426355e-01
1.093625214769065879e-01 1.977724542354623583e-01
4.580339150439759893e-02 2.183558890388914708e-01
3.150817900659642207e-02 1.868361407342217229e-01
9.520002859495307890e-02 8.743172574127518193e-02
8.121265288999815479e-02 -1.149768916608057134e-01
4.114752816737995977e-02 5.659496259862264456e-01
1.128841495399273004e-01 2.602635620139633066e-02
1.301864161999566338e-01 5.972997476793681648e-03
1.052728008143279936e-01 1.285368422463921689e-01
9.433892566445983840e-02 3.533015704672440305e-01
3.909143796682258698e-02 1.628934920689855681e-01
1.558245080608723354e-01 1.184067057998710870e-01
2.491476205547390188e-01 -8.673011707597344522e-02
3.112259983586935716e-02 3.175179651418142401e-01
1.802943102030430955e-01 -7.402932562750225154e-02
1.294149382319595420e-01 1.307303209374870434e-01
1.963546892548306833e-01 -1.124644793102355100e-01
7.892925552521086463e-02 -1.512440287779957815e-02
8.651148579040507380e-02 5.131761537168340048e-01
1.059742752539756527e-01 -2.992624888226381660e-02
7.781977976004078590e-02 1.849433247159321392e-01
1.609761704059954335e-01 -1.192323407159687210e-01
4.638173764997528814e-02 1.592263149315753523e-01
6.936283834510900692e-02 1.471028634546490688e-01
1.219954253063494781e-01 1.448272442541959359e-01
3.836694288277867071e-02 -1.545776256736243193e-01
1.598256126887937223e-01 4.374522584705989314e-02
1.155939531659687103e-01 -5.895384262421440869e-02
8.206292809356979800e-02 2.280559392665562624e-01
4.445625495208552908e-02 1.108905121305299724e-01
4.732193202538043098e-02 -1.500774882281581679e-02
-1.754816094663230047e-02 1.916776063017547327e-02
4.110384112328099859e-02 3.345092706887780043e-01
8.035093326281762816e-02 1.761533798974718179e-01
3.481645453696103482e-02 1.063029031395164026e-01
5.628480032208568740e-02 3.219240446445195136e-01
1.060146169187209109e-01 6.456042561248674649e-02
1.044618435078750046e-01 1.110104385175763042e-01
5.062838458335796460e-03 2.880147919087048258e-01
5.446782605674515415e-02 1.013460672954464292e-01
2.132360547397629535e-01 -1.198836642980583012e-01
2.772879242116824683e-01 2.242573890062997677e-01
1.236528103144181670e-02 9.681735199689450733e-02
1.121942406420188276e-01 4.229291889917929925e-01
1.728241202328777426e-01 -2.243711567602526546e-01
2.571659293987746051e-02 1.764816040546198506e-01
5.439146592455287865e-02 2.075034433809481993e-01
9.558982544519550872e-02 4.013168608765557699e-02
2.725892200389211650e-01 -2.404399948290813493e-01
1.469908910352951958e-01 -8.223654433690144594e-02
1.173820482253066511e-01 2.477841114551074253e-01
2.281019351609313572e-01 -2.464260058014091648e-01
1.554718413106799535e-01 -2.455280794217971907e-02
1.615163889704316902e-01 -2.144161623732891014e-02
3.879197223434718844e-02 1.283773214334052448e-03
1.101701641042917290e-01 4.805490104764010284e-01
3.443124201737006174e-01 -2.641316402237099403e-01
6.087461649938345765e-02 3.584883560739814956e-01
2.052989534049561582e-01 -1.122287981929270817e-01
1.220166799759725279e-01 1.137703882833275559e-01
1.294542510698256377e-01 1.815733587685332828e-01
6.208565378115157851e-02 1.586657044992834942e-01
1.165414568583269112e-01 2.937845357359367693e-01
4.609229626680186320e-03 1.397668835081103123e-01
4.691147419632542281e-02 2.870450805847099551e-01
3.657162249797209913e-02 -3.307162835626525910e-02
-1.764345864171028982e-02 -7.721220676259132887e-03
2.766320665127097733e-02 5.023446470791111812e-03
2.470269064253383384e-01 -1.181000620024643677e-01
1.356513399443664281e-01 4.026241998968270730e-01
